head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
P23500,protein_protein,P38310,-0.6606350541114807,-0.2036837140803804,REJECT,Mitochondrial RNA-splicing protein MRS4,Iron transporter FTH1,[],False,False,False,False,,,
P23500,protein_protein,Q2W031,-0.5896998643875122,-0.2036837140803804,REJECT,Mitochondrial RNA-splicing protein MRS4,Iron transporter MagA,[],False,False,False,False,,,
P23500,protein_protein,Q12078,-0.8564762473106384,-0.2036837140803804,REJECT,Mitochondrial RNA-splicing protein MRS4,Iron transporter SMF3,[],False,False,False,False,,,
P23500,protein_protein,O94607,-0.8158496618270874,-0.2036837140803804,REJECT,Mitochondrial RNA-splicing protein MRS4,Siderophore iron transporter 2,[],False,False,False,False,,,
P23500,protein_chemicalentity,5957,-1.3808534145355225,-0.1571110372511136,REJECT,Mitochondrial RNA-splicing protein MRS4,ATP,[],False,False,False,False,,,
P23500,protein_chemicalentity,5461108,-0.8374849557876587,-0.1571110372511136,REJECT,Mitochondrial RNA-splicing protein MRS4,ATP(4-),[],False,False,False,False,,,
P23500,protein_phenotype,WBPhenotype:0001893,-0.629166841506958,-0.0497034494975703,REJECT,Mitochondrial RNA-splicing protein MRS4,mitochondrial membrane potential reduced,[],False,False,False,False,,,
P23500,protein_phenotype,WBPhenotype:0002263,-0.5877843499183655,-0.0497034494975703,REJECT,Mitochondrial RNA-splicing protein MRS4,mitochondrial membrane potential increased,[],False,False,False,False,,,
P23500,protein_phenotype,regulation of mitochondrial membrane potential disrupted abnormal,-0.7087864875793457,-0.0497034494975703,REJECT,Mitochondrial RNA-splicing protein MRS4,    regulation of mitochondrial membrane potential disrupted abnormal  ,[],False,False,False,False,,,
P23500,protein_phenotype,ZP:0101952,-0.8074158430099487,-0.0497034494975703,REJECT,Mitochondrial RNA-splicing protein MRS4,"regulation of mitochondrial membrane potential disrupted, abnormal",[],False,False,False,False,,,
P23500,protein_phenotype,ZP:0107048,-0.586547315120697,-0.0497034494975703,REJECT,Mitochondrial RNA-splicing protein MRS4,"regulation of mitochondrial membrane potential process quality, abnormal",[],False,False,False,False,,,
P23500,protein_biologicalprocess,GO:0009266,-0.11508271098136902,-0.5776643345681309,ACCEPT,Mitochondrial RNA-splicing protein MRS4,response to temperature stimulus,[],False,False,False,False,,,
P23500,protein_biologicalprocess,GO:0071502,-0.1881474405527115,-0.5776643345681309,ACCEPT,Mitochondrial RNA-splicing protein MRS4,cellular response to temperature stimulus,[],False,False,False,False,,,
P23500,protein_biologicalprocess,GO:0033636,-0.8133305907249451,-0.5776643345681309,REJECT,Mitochondrial RNA-splicing protein MRS4,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
P38310,protein_protein,Q2W031,-0.6283543109893799,-0.2036837140803804,REJECT,Iron transporter FTH1,Iron transporter MagA,[],False,False,False,False,,,
P38310,protein_protein,Q12078,-0.9106521010398865,-0.2036837140803804,REJECT,Iron transporter FTH1,Iron transporter SMF3,[],False,False,False,False,,,
P38310,protein_protein,O94607,-0.8720760345458984,-0.2036837140803804,REJECT,Iron transporter FTH1,Siderophore iron transporter 2,[],False,False,False,False,,,
P38310,protein_chemicalentity,5957,-1.259696364402771,-0.1571110372511136,REJECT,Iron transporter FTH1,ATP,[],False,False,False,False,,,
P38310,protein_chemicalentity,5461108,-0.8807026147842407,-0.1571110372511136,REJECT,Iron transporter FTH1,ATP(4-),[],False,False,False,False,,,
P38310,protein_phenotype,WBPhenotype:0001893,-0.9316666126251221,-0.0497034494975703,REJECT,Iron transporter FTH1,mitochondrial membrane potential reduced,[],False,False,False,False,,,
P38310,protein_phenotype,WBPhenotype:0002263,-1.0051465034484863,-0.0497034494975703,REJECT,Iron transporter FTH1,mitochondrial membrane potential increased,[],False,False,False,False,,,
P38310,protein_phenotype,regulation of mitochondrial membrane potential disrupted abnormal,-0.9073373675346375,-0.0497034494975703,REJECT,Iron transporter FTH1,    regulation of mitochondrial membrane potential disrupted abnormal  ,[],False,False,False,False,,,
P38310,protein_phenotype,ZP:0101952,-1.087964653968811,-0.0497034494975703,REJECT,Iron transporter FTH1,"regulation of mitochondrial membrane potential disrupted, abnormal",[],False,False,False,False,,,
P38310,protein_phenotype,ZP:0107048,-0.9440943598747253,-0.0497034494975703,REJECT,Iron transporter FTH1,"regulation of mitochondrial membrane potential process quality, abnormal",[],False,False,False,False,,,
P38310,protein_biologicalprocess,GO:0009266,-0.23920835554599762,-0.5776643345681309,ACCEPT,Iron transporter FTH1,response to temperature stimulus,[],False,False,False,False,,,
P38310,protein_biologicalprocess,GO:0071502,-0.32796475291252136,-0.5776643345681309,ACCEPT,Iron transporter FTH1,cellular response to temperature stimulus,[],False,False,False,False,,,
P38310,protein_biologicalprocess,GO:0033636,-0.930084228515625,-0.5776643345681309,REJECT,Iron transporter FTH1,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
Q2W031,protein_protein,Q12078,-1.26435387134552,-0.2036837140803804,REJECT,Iron transporter MagA,Iron transporter SMF3,[],False,False,False,False,,,
Q2W031,protein_protein,O94607,-1.1878833770751953,-0.2036837140803804,REJECT,Iron transporter MagA,Siderophore iron transporter 2,[],False,False,False,False,,,
Q2W031,protein_chemicalentity,5957,-1.5492382049560547,-0.1571110372511136,REJECT,Iron transporter MagA,ATP,[],False,False,False,False,,,
Q2W031,protein_chemicalentity,5461108,-0.9831876754760742,-0.1571110372511136,REJECT,Iron transporter MagA,ATP(4-),[],False,False,False,False,,,
Q2W031,protein_phenotype,WBPhenotype:0001893,-1.1799952983856201,-0.0497034494975703,REJECT,Iron transporter MagA,mitochondrial membrane potential reduced,[],False,False,False,False,,,
Q2W031,protein_phenotype,WBPhenotype:0002263,-1.549881935119629,-0.0497034494975703,REJECT,Iron transporter MagA,mitochondrial membrane potential increased,[],False,False,False,False,,,
Q2W031,protein_phenotype,regulation of mitochondrial membrane potential disrupted abnormal,-1.286220908164978,-0.0497034494975703,REJECT,Iron transporter MagA,    regulation of mitochondrial membrane potential disrupted abnormal  ,[],False,False,False,False,,,
Q2W031,protein_phenotype,ZP:0101952,-1.527700662612915,-0.0497034494975703,REJECT,Iron transporter MagA,"regulation of mitochondrial membrane potential disrupted, abnormal",[],False,False,False,False,,,
Q2W031,protein_phenotype,ZP:0107048,-1.259759783744812,-0.0497034494975703,REJECT,Iron transporter MagA,"regulation of mitochondrial membrane potential process quality, abnormal",[],False,False,False,False,,,
Q2W031,protein_biologicalprocess,GO:0009266,-1.2144238948822021,-0.5776643345681309,REJECT,Iron transporter MagA,response to temperature stimulus,[],False,False,False,False,,,
Q2W031,protein_biologicalprocess,GO:0071502,-1.2171108722686768,-0.5776643345681309,REJECT,Iron transporter MagA,cellular response to temperature stimulus,[],False,False,False,False,,,
Q2W031,protein_biologicalprocess,GO:0033636,-1.6458172798156738,-0.5776643345681309,REJECT,Iron transporter MagA,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
Q12078,protein_protein,O94607,-0.6821001172065735,-0.2036837140803804,REJECT,Iron transporter SMF3,Siderophore iron transporter 2,[],False,False,False,False,,,
Q12078,protein_chemicalentity,5957,-1.0660243034362793,-0.1571110372511136,REJECT,Iron transporter SMF3,ATP,[],False,False,False,False,,,
Q12078,protein_chemicalentity,5461108,-0.8493639826774597,-0.1571110372511136,REJECT,Iron transporter SMF3,ATP(4-),[],False,False,False,False,,,
Q12078,protein_phenotype,WBPhenotype:0001893,-0.6687935590744019,-0.0497034494975703,REJECT,Iron transporter SMF3,mitochondrial membrane potential reduced,[],False,False,False,False,,,
Q12078,protein_phenotype,WBPhenotype:0002263,-0.7430571913719177,-0.0497034494975703,REJECT,Iron transporter SMF3,mitochondrial membrane potential increased,[],False,False,False,False,,,
Q12078,protein_phenotype,regulation of mitochondrial membrane potential disrupted abnormal,-0.7666608095169067,-0.0497034494975703,REJECT,Iron transporter SMF3,    regulation of mitochondrial membrane potential disrupted abnormal  ,[],False,False,False,False,,,
Q12078,protein_phenotype,ZP:0101952,-0.7758628129959106,-0.0497034494975703,REJECT,Iron transporter SMF3,"regulation of mitochondrial membrane potential disrupted, abnormal",[],False,False,False,False,,,
Q12078,protein_phenotype,ZP:0107048,-0.6739139556884766,-0.0497034494975703,REJECT,Iron transporter SMF3,"regulation of mitochondrial membrane potential process quality, abnormal",[],False,False,False,False,,,
Q12078,protein_biologicalprocess,GO:0009266,-0.14071938395500183,-0.5776643345681309,ACCEPT,Iron transporter SMF3,response to temperature stimulus,[],False,False,False,False,,,
Q12078,protein_biologicalprocess,GO:0071502,-0.2218439131975174,-0.5776643345681309,ACCEPT,Iron transporter SMF3,cellular response to temperature stimulus,[],False,False,False,False,,,
Q12078,protein_biologicalprocess,GO:0033636,-0.7858232259750366,-0.5776643345681309,REJECT,Iron transporter SMF3,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
O94607,protein_chemicalentity,5957,-1.1488736867904663,-0.1571110372511136,REJECT,Siderophore iron transporter 2,ATP,[],False,False,False,False,,,
O94607,protein_chemicalentity,5461108,-0.7960293292999268,-0.1571110372511136,REJECT,Siderophore iron transporter 2,ATP(4-),[],False,False,False,False,,,
O94607,protein_phenotype,WBPhenotype:0001893,-0.8294724225997925,-0.0497034494975703,REJECT,Siderophore iron transporter 2,mitochondrial membrane potential reduced,[],False,False,False,False,,,
