head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
119307,chemicalentity_chemicalentity,54580480,-0.5545701384544373,-0.2425281074611494,REJECT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",[],False,False,False,False,,,
119307,chemicalentity_biologicalprocess,GO:0097194,-0.5513158440589905,-0.232143107153421,REJECT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",execution phase of apoptosis,[],False,False,False,False,,,
119307,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.5645561218261719,-0.596142909254255,ACCEPT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5646, 'chemicalentity_noeffect_biologicalprocess': -1.9946, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7852, 'chemicalentity_promotes_biologicalprocess': -1.0223, 'chemicalentity_inhibits_biologicalprocess': -0.7906, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6897}"
119307,chemicalentity_pathway,R-HSA-111459,-0.3119979798793793,-0.3200630854546729,ACCEPT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",Activation of caspases through apoptosome-mediated cleavage,[],False,False,False,False,,,
119307,chemicalentity_chemicalentity,145722610,-0.45706549286842346,-0.2425281074611494,REJECT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R)-6-amino-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-1-[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-phenylpropanoyl]amino]-4-methylpentanoyl]pyrrolidine-2-carbonyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoyl]amino]-4-methylpentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-4-carboxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]hexanoic acid",[],False,False,False,False,,,
54580480,chemicalentity_biologicalprocess,GO:0097194,-0.7566052675247192,-0.232143107153421,REJECT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",execution phase of apoptosis,[],False,False,False,False,,,
54580480,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.46641770005226135,-0.596142909254255,ACCEPT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4664, 'chemicalentity_noeffect_biologicalprocess': -2.3482, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6968, 'chemicalentity_promotes_biologicalprocess': -0.9712, 'chemicalentity_inhibits_biologicalprocess': -0.8608, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7368}"
54580480,chemicalentity_pathway,R-HSA-111459,-0.26953187584877014,-0.3200630854546729,ACCEPT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",Activation of caspases through apoptosome-mediated cleavage,[],False,False,False,False,,,
54580480,chemicalentity_chemicalentity,145722610,-0.4456489682197571,-0.2425281074611494,REJECT,"(2R,3R,4S,5S,6R)-2-[[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R)-6-amino-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-1-[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-phenylpropanoyl]amino]-4-methylpentanoyl]pyrrolidine-2-carbonyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoyl]amino]-4-methylpentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-4-carboxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]hexanoic acid",[],False,False,False,False,,,
GO:0097194,biologicalprocess_chemicalentity,145722610,-0.07262315601110458,-0.03613698155982,REJECT,execution phase of apoptosis,"(2R)-6-amino-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-1-[(2R)-2-[[(2R)-2-[[(2R)-2-[[(2R,3S)-2-[[(2R)-2-[[(2R)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-phenylpropanoyl]amino]-4-methylpentanoyl]pyrrolidine-2-carbonyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoyl]amino]-4-methylpentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]-4-carboxybutanoyl]amino]-5-carbamimidamidopentanoyl]amino]hexanoic acid",[],False,False,False,False,,,
