head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
SLC2A13,gene_molecularfunction,GO:0005365,-0.0037970764096826315,-0.0286995250249342,ACCEPT,solute carrier family 2 member 13,myo-inositol transmembrane transporter activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
SLC2A13,gene_biologicalprocess,GO:0055085,-0.0011456479551270604,-0.0356325677219588,ACCEPT,solute carrier family 2 member 13,transmembrane transport,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
SLC2A13,gene_promotes_biologicalprocess,GO:0055085,-0.052048441022634506,-0.0617563253450388,ACCEPT,solute carrier family 2 member 13,transmembrane transport,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.0644, 'gene_promotes_biologicalprocess': -0.052, 'gene_negativelyassociatedwith_biologicalprocess': -0.111, 'gene_positivelyassociatedwith_biologicalprocess': -0.0911, 'gene_notassociatedwith_biologicalprocess': -0.1185}"
SLC2A13,gene_biologicalprocess,GO:0006884,-0.002843945287168026,-0.0356325677219588,ACCEPT,solute carrier family 2 member 13,cell volume homeostasis,[],False,False,False,False,,,
SLC2A13,gene_promotes_biologicalprocess,GO:0006884,-0.08345465362071991,-0.0617563253450388,REJECT,solute carrier family 2 member 13,cell volume homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1033, 'gene_promotes_biologicalprocess': -0.0835, 'gene_negativelyassociatedwith_biologicalprocess': -0.1408, 'gene_positivelyassociatedwith_biologicalprocess': -0.1274, 'gene_notassociatedwith_biologicalprocess': -0.1687}"
SLC2A13,gene_biologicalprocess,GO:0009819,-0.04196948558092117,-0.0356325677219588,REJECT,solute carrier family 2 member 13,drought recovery,[],False,False,False,False,,,
SLC2A13,gene_positivelyassociatedwith_biologicalprocess,GO:0009819,-0.2934620976448059,-0.0730086550790463,REJECT,solute carrier family 2 member 13,drought recovery,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.348, 'gene_promotes_biologicalprocess': -0.3243, 'gene_negativelyassociatedwith_biologicalprocess': -0.3252, 'gene_positivelyassociatedwith_biologicalprocess': -0.2935, 'gene_notassociatedwith_biologicalprocess': -0.4026}"
SLC2A13,gene_phenotype,embryo phenotype,-0.03235076367855072,-0.0347684314162952,ACCEPT,solute carrier family 2 member 13,embryo phenotype,[],False,False,False,False,,,
SLC2A13,gene_phenotype,muscle phenotype,-0.012801132164895535,-0.0347684314162952,ACCEPT,solute carrier family 2 member 13,muscle phenotype,[],False,False,False,False,,,
SLC2A13,gene_phenotype,terminal phenotype,-0.04715518280863762,-0.0347684314162952,REJECT,solute carrier family 2 member 13,terminal phenotype,[],False,False,False,False,,,
SLC2A13,gene_phenotype,skeleton phenotype,-0.018783176317811012,-0.0347684314162952,ACCEPT,solute carrier family 2 member 13,skeleton phenotype,[],False,False,False,False,,,
GO:0005365,molecularfunction_biologicalprocess,GO:0055085,-0.0010103107197210193,-0.0147993624499696,ACCEPT,myo-inositol transmembrane transporter activity,transmembrane transport,[],False,False,False,False,,,
GO:0005365,molecularfunction_biologicalprocess,GO:0006884,-0.002449655206874013,-0.0147993624499696,ACCEPT,myo-inositol transmembrane transporter activity,cell volume homeostasis,[],False,False,False,False,,,
GO:0005365,molecularfunction_biologicalprocess,GO:0009819,-0.022006653249263763,-0.0147993624499696,REJECT,myo-inositol transmembrane transporter activity,drought recovery,[],False,False,False,False,,,
GO:0055085,biologicalprocess_biologicalprocess,GO:0006884,-0.00014784911763854325,-0.0422867482620858,ACCEPT,transmembrane transport,cell volume homeostasis,[],False,False,False,False,,,
