head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
176907,chemicalentity_biologicalprocess,GO:0090398,-0.7051250338554382,-0.232143107153421,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",cellular senescence,[],False,False,False,False,,,
176907,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.07623133063316345,-0.7050372264239742,ACCEPT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4876, 'chemicalentity_noeffect_biologicalprocess': -0.775, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3709, 'chemicalentity_promotes_biologicalprocess': -0.2838, 'chemicalentity_inhibits_biologicalprocess': -0.0762, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6264}"
176907,chemicalentity_protein,PR:000007204,-1.1171114444732666,-0.3552259656009227,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",estrogen receptor,[],False,False,False,False,,,
176907,chemicalentity_protein,P03372,-0.17192554473876953,-0.3552259656009227,ACCEPT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",Estrogen receptor,[],False,False,False,False,,,
176907,chemicalentity_protein,P81559,-0.8234448432922363,-0.3552259656009227,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",Estrogen receptor,[],False,False,False,False,,,
176907,chemicalentity_protein,Q29040,-0.626697838306427,-0.3552259656009227,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",Estrogen receptor,[],False,False,False,False,,,
176907,chemicalentity_protein,P49884,-0.5412173271179199,-0.3552259656009227,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",Estrogen receptor,[],False,False,False,False,,,
176907,chemicalentity_chemicalentity,91469,-1.2338753938674927,-0.2425281074611494,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
176907,chemicalentity_chemicalentity,382975,-0.45512303709983826,-0.2425281074611494,REJECT,"7-hydroxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,PR:000007204,-0.1124536544084549,-0.4342587681103441,ACCEPT,cellular senescence,estrogen receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,P03372,-0.7467797994613647,-0.4342587681103441,REJECT,cellular senescence,Estrogen receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,P81559,-0.16061387956142426,-0.4342587681103441,ACCEPT,cellular senescence,Estrogen receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q29040,-0.31889593601226807,-0.4342587681103441,ACCEPT,cellular senescence,Estrogen receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,P49884,-0.10166358202695847,-0.4342587681103441,ACCEPT,cellular senescence,Estrogen receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_molecularfunction,GO:0016209,-0.0003984830982517451,-0.2123315010681272,ACCEPT,cellular senescence,antioxidant activity,[],False,False,False,False,,,
GO:0090398,biologicalprocess_chemicalentity,91469,-0.00043954429565928876,-0.03613698155982,ACCEPT,cellular senescence,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
91469,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.001552728470414877,-0.7050372264239742,ACCEPT,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0473, 'chemicalentity_noeffect_biologicalprocess': -0.2534, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0484, 'chemicalentity_promotes_biologicalprocess': -0.0179, 'chemicalentity_inhibits_biologicalprocess': -0.0016, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0656}"
GO:0090398,biologicalprocess_chemicalentity,382975,-0.012704826891422272,-0.03613698155982,ACCEPT,cellular senescence,"3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
382975,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.1980365514755249,-0.7050372264239742,ACCEPT,"3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.57, 'chemicalentity_noeffect_biologicalprocess': -1.2129, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7827, 'chemicalentity_promotes_biologicalprocess': -0.4919, 'chemicalentity_inhibits_biologicalprocess': -0.198, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7976}"
PR:000007204,protein_protein,P03372,-5.46100378036499,-0.2036837140803804,REJECT,estrogen receptor,Estrogen receptor,[],False,False,False,False,,,
PR:000007204,protein_protein,P81559,-0.7296522855758667,-0.2036837140803804,REJECT,estrogen receptor,Estrogen receptor,[],False,False,False,False,,,
PR:000007204,protein_protein,Q29040,-1.0125550031661987,-0.2036837140803804,REJECT,estrogen receptor,Estrogen receptor,[],False,False,False,False,,,
PR:000007204,protein_protein,P49884,-1.3522089719772339,-0.2036837140803804,REJECT,estrogen receptor,Estrogen receptor,[],False,False,False,False,,,
PR:000007204,protein_molecularfunction,GO:0016209,-1.6291990280151367,-0.5690634813738988,REJECT,estrogen receptor,antioxidant activity,[],False,False,False,False,,,
PR:000007204,protein_chemicalentity,91469,-2.93709659576416,-0.1571110372511136,REJECT,estrogen receptor,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
PR:000007204,protein_chemicalentity,382975,-1.1068792343139648,-0.1571110372511136,REJECT,estrogen receptor,"3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",[],False,False,False,False,,,
P03372,protein_protein,P81559,-0.34996306896209717,-0.2036837140803804,REJECT,Estrogen receptor,Estrogen receptor,[],False,False,False,False,,,
P03372,protein_protein,Q29040,-0.22534288465976715,-0.2036837140803804,REJECT,Estrogen receptor,Estrogen receptor,['Protein_Protein'],False,True,True,False,Protein_Protein,,
P03372,protein_protein,P49884,-0.14809291064739227,-0.2036837140803804,ACCEPT,Estrogen receptor,Estrogen receptor,['Protein_Protein'],False,True,True,False,Protein_Protein,,
P03372,protein_molecularfunction,GO:0016209,-0.03649657592177391,-0.5690634813738988,ACCEPT,Estrogen receptor,antioxidant activity,[],False,False,False,False,,,
