head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GO:0010150,biologicalprocess_biologicalprocess,GO:0090398,-0.04737092927098274,-0.0422867482620858,REJECT,leaf senescence,cellular senescence,[],False,False,False,False,,,
GO:0010150,biologicalprocess_biologicalprocess,GO:0090399,-0.011551132425665855,-0.0422867482620858,ACCEPT,leaf senescence,replicative senescence,[],False,False,False,False,,,
GO:0010150,biologicalprocess_biologicalprocess,GO:1990636,-0.044712238013744354,-0.0422867482620858,REJECT,leaf senescence,reproductive senescence,[],False,False,False,False,,,
GO:0010150,biologicalprocess_chemicalentity,16441,-0.027785465121269226,-0.03613698155982,ACCEPT,leaf senescence,perillyl aldehyde,[],False,False,False,False,,,
16441,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.8031675219535828,-0.596142909254255,REJECT,perillyl aldehyde,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8032, 'chemicalentity_noeffect_biologicalprocess': -2.3153, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0174, 'chemicalentity_promotes_biologicalprocess': -1.3146, 'chemicalentity_inhibits_biologicalprocess': -1.0234, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9484}"
GO:0010150,biologicalprocess_chemicalentity,5282224,-0.015726648271083832,-0.03613698155982,ACCEPT,leaf senescence,(+)-abscisic aldehyde,[],False,False,False,False,,,
5282224,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.35362207889556885,-0.596142909254255,ACCEPT,(+)-abscisic aldehyde,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3536, 'chemicalentity_noeffect_biologicalprocess': -1.6318, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5281, 'chemicalentity_promotes_biologicalprocess': -0.6856, 'chemicalentity_inhibits_biologicalprocess': -0.3607, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6735}"
GO:0010150,biologicalprocess_chemicalentity,249,-0.017688632011413574,-0.03613698155982,ACCEPT,leaf senescence,betaine aldehyde,[],False,False,False,False,,,
249,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.19905374944210052,-0.596142909254255,ACCEPT,betaine aldehyde,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1991, 'chemicalentity_noeffect_biologicalprocess': -1.477, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2968, 'chemicalentity_promotes_biologicalprocess': -0.4715, 'chemicalentity_inhibits_biologicalprocess': -0.2202, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2354}"
GO:0010150,biologicalprocess_chemicalentity,5280536,-0.01941431686282158,-0.03613698155982,ACCEPT,leaf senescence,coniferyl aldehyde,[],False,False,False,False,,,
5280536,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.6479179263114929,-0.596142909254255,REJECT,coniferyl aldehyde,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6479, 'chemicalentity_noeffect_biologicalprocess': -1.8294, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8108, 'chemicalentity_promotes_biologicalprocess': -1.022, 'chemicalentity_inhibits_biologicalprocess': -0.6965, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7804}"
GO:0010150,biologicalprocess_chemicalentity,5460179,-0.027852388098835945,-0.03613698155982,ACCEPT,leaf senescence,(R)-lactate,[],False,False,False,False,,,
5460179,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.883940577507019,-0.596142909254255,REJECT,(R)-lactate,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8839, 'chemicalentity_noeffect_biologicalprocess': -2.2459, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0867, 'chemicalentity_promotes_biologicalprocess': -1.4681, 'chemicalentity_inhibits_biologicalprocess': -1.3563, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2942}"
GO:0010150,biologicalprocess_chemicalentity,5460161,-0.01647290401160717,-0.03613698155982,ACCEPT,leaf senescence,(S)-lactate,[],False,False,False,False,,,
5460161,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.7528507709503174,-0.596142909254255,REJECT,(S)-lactate,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7529, 'chemicalentity_noeffect_biologicalprocess': -2.1483, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9634, 'chemicalentity_promotes_biologicalprocess': -1.2965, 'chemicalentity_inhibits_biologicalprocess': -1.0896, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0369}"
GO:0010150,biologicalprocess_protein,D3VVE9,-0.31976041197776794,-0.4342587681103441,ACCEPT,leaf senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,Q5STF9,-0.6302090883255005,-0.4342587681103441,REJECT,leaf senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090398,biologicalprocess_biologicalprocess,GO:0090399,-0.0008181770099326968,-0.0422867482620858,ACCEPT,cellular senescence,replicative senescence,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0090398,biologicalprocess_biologicalprocess,GO:1990636,-0.010458522476255894,-0.0422867482620858,ACCEPT,cellular senescence,reproductive senescence,[],False,False,False,False,,,
GO:0090398,biologicalprocess_chemicalentity,16441,-0.005433923564851284,-0.03613698155982,ACCEPT,cellular senescence,perillyl aldehyde,[],False,False,False,False,,,
16441,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.04459323734045029,-0.7050372264239742,ACCEPT,perillyl aldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4747, 'chemicalentity_noeffect_biologicalprocess': -0.8537, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3853, 'chemicalentity_promotes_biologicalprocess': -0.2063, 'chemicalentity_inhibits_biologicalprocess': -0.0446, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4056}"
GO:0090398,biologicalprocess_chemicalentity,5282224,-0.004015064332634211,-0.03613698155982,ACCEPT,cellular senescence,(+)-abscisic aldehyde,[],False,False,False,False,,,
5282224,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.013394597917795181,-0.7050372264239742,ACCEPT,(+)-abscisic aldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2335, 'chemicalentity_noeffect_biologicalprocess': -0.5002, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2597, 'chemicalentity_promotes_biologicalprocess': -0.0847, 'chemicalentity_inhibits_biologicalprocess': -0.0134, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4044}"
GO:0090398,biologicalprocess_chemicalentity,249,-0.0024237739853560925,-0.03613698155982,ACCEPT,cellular senescence,betaine aldehyde,[],False,False,False,False,,,
249,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.004498654510825872,-0.7050372264239742,ACCEPT,betaine aldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1213, 'chemicalentity_noeffect_biologicalprocess': -0.3826, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1247, 'chemicalentity_promotes_biologicalprocess': -0.0438, 'chemicalentity_inhibits_biologicalprocess': -0.0045, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1313}"
GO:0090398,biologicalprocess_chemicalentity,5280536,-0.006237086374312639,-0.03613698155982,ACCEPT,cellular senescence,coniferyl aldehyde,[],False,False,False,False,,,
5280536,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.043658509850502014,-0.7050372264239742,ACCEPT,coniferyl aldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3887, 'chemicalentity_noeffect_biologicalprocess': -0.7395, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4281, 'chemicalentity_promotes_biologicalprocess': -0.1997, 'chemicalentity_inhibits_biologicalprocess': -0.0437, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4369}"
GO:0090398,biologicalprocess_chemicalentity,5460179,-0.011139817535877228,-0.03613698155982,ACCEPT,cellular senescence,(R)-lactate,[],False,False,False,False,,,
5460179,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.13196037709712982,-0.7050372264239742,ACCEPT,(R)-lactate,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4506, 'chemicalentity_noeffect_biologicalprocess': -1.0017, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5901, 'chemicalentity_promotes_biologicalprocess': -0.3757, 'chemicalentity_inhibits_biologicalprocess': -0.132, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7912}"
GO:0090398,biologicalprocess_chemicalentity,5460161,-0.007078666239976883,-0.03613698155982,ACCEPT,cellular senescence,(S)-lactate,[],False,False,False,False,,,
