head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ARG2,gene_protein,Q8IWR4,-0.014638775959610939,-0.0280984394514378,ACCEPT,arginase 2,N-acetylglutamate synthase conserved domain form,[],False,False,False,False,,,
ARG2,gene_protein,Q8R4H7,-0.020016321912407875,-0.0280984394514378,ACCEPT,arginase 2,N-acetylglutamate synthase conserved domain form,[],False,False,False,False,,,
ARG2,gene_protein,Q8N159,-0.013239379972219467,-0.0280984394514378,ACCEPT,arginase 2,N-acetylglutamate synthase conserved domain form,[],False,False,False,False,,,
ARG2,gene_chemicalentity,389,-0.008049062453210354,-0.0285922419958417,ACCEPT,arginase 2,ornithine,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
ARG2,gene_chemicalentity,6992102,-0.022276746109128,-0.0285922419958417,ACCEPT,arginase 2,N(2)-acetyl-L-ornithine zwitterion,[],False,False,False,False,,,
ARG2,gene_chemicalentity,232,-0.004645915701985359,-0.0285922419958417,ACCEPT,arginase 2,arginine,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
ARG2,gene_chemicalentity,25201356,-0.019611278548836708,-0.0285922419958417,ACCEPT,arginase 2,N(omega)-phosphonato-L-arginine,[],False,False,False,False,,,
ARG2,gene_pathway,KEGG:map01100,-0.12514854967594147,-0.0346968297443117,REJECT,arginase 2,Metabolic pathways,[],False,False,False,False,,,
ARG2,gene_pathway,hsa01100,-0.005603310186415911,-0.0346968297443117,ACCEPT,arginase 2,Metabolic pathways,[],False,False,False,False,,,
ARG2,gene_biologicalprocess,GO:0034605,-0.0014649888034909964,-0.0356325677219588,ACCEPT,arginase 2,cellular response to heat,[],False,False,False,False,,,
ARG2,gene_promotes_biologicalprocess,GO:0034605,-0.043396465480327606,-0.0617563253450388,ACCEPT,arginase 2,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0542, 'gene_promotes_biologicalprocess': -0.0434, 'gene_negativelyassociatedwith_biologicalprocess': -0.1389, 'gene_positivelyassociatedwith_biologicalprocess': -0.0938, 'gene_notassociatedwith_biologicalprocess': -0.1226}"
ARG2,gene_biologicalprocess,GO:1900034,-0.004752077162265778,-0.0356325677219588,ACCEPT,arginase 2,regulation of cellular response to heat,[],False,False,False,False,,,
ARG2,gene_promotes_biologicalprocess,GO:1900034,-0.1291881799697876,-0.0617563253450388,REJECT,arginase 2,regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1486, 'gene_promotes_biologicalprocess': -0.1292, 'gene_negativelyassociatedwith_biologicalprocess': -0.2669, 'gene_positivelyassociatedwith_biologicalprocess': -0.1694, 'gene_notassociatedwith_biologicalprocess': -0.1565}"
ARG2,gene_biologicalprocess,GO:1900036,-0.014232886023819447,-0.0356325677219588,ACCEPT,arginase 2,positive regulation of cellular response to heat,[],False,False,False,False,,,
ARG2,gene_promotes_biologicalprocess,GO:1900036,-0.19715562462806702,-0.0617563253450388,REJECT,arginase 2,positive regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2076, 'gene_promotes_biologicalprocess': -0.1972, 'gene_negativelyassociatedwith_biologicalprocess': -0.3134, 'gene_positivelyassociatedwith_biologicalprocess': -0.328, 'gene_notassociatedwith_biologicalprocess': -0.2586}"
ARG2,gene_biologicalprocess,GO:1900035,-0.00975616555660963,-0.0356325677219588,ACCEPT,arginase 2,negative regulation of cellular response to heat,[],False,False,False,False,,,
ARG2,gene_promotes_biologicalprocess,GO:1900035,-0.15022575855255127,-0.0617563253450388,REJECT,arginase 2,negative regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1623, 'gene_promotes_biologicalprocess': -0.1502, 'gene_negativelyassociatedwith_biologicalprocess': -0.2978, 'gene_positivelyassociatedwith_biologicalprocess': -0.2292, 'gene_notassociatedwith_biologicalprocess': -0.2747}"
Q8IWR4,protein_protein,Q8R4H7,-0.15401890873908997,-0.2036837140803804,ACCEPT,N-acetylglutamate synthase conserved domain form,N-acetylglutamate synthase conserved domain form,[],False,False,False,False,,,
Q8IWR4,protein_protein,Q8N159,-0.07860787212848663,-0.2036837140803804,ACCEPT,N-acetylglutamate synthase conserved domain form,N-acetylglutamate synthase conserved domain form,[],False,False,False,False,,,
Q8IWR4,protein_chemicalentity,389,-0.17059460282325745,-0.1571110372511136,REJECT,N-acetylglutamate synthase conserved domain form,ornithine,[],False,False,False,False,,,
Q8IWR4,protein_chemicalentity,6992102,-0.521399974822998,-0.1571110372511136,REJECT,N-acetylglutamate synthase conserved domain form,N(2)-acetyl-L-ornithine zwitterion,[],False,False,False,False,,,
Q8IWR4,protein_chemicalentity,232,-0.1323062777519226,-0.1571110372511136,ACCEPT,N-acetylglutamate synthase conserved domain form,arginine,[],False,False,False,False,,,
Q8IWR4,protein_chemicalentity,25201356,-0.6441490054130554,-0.1571110372511136,REJECT,N-acetylglutamate synthase conserved domain form,N(omega)-phosphonato-L-arginine,[],False,False,False,False,,,
Q8IWR4,protein_pathway,KEGG:map01100,-0.09688138216733932,-0.0332625891724323,REJECT,N-acetylglutamate synthase conserved domain form,Metabolic pathways,[],False,False,False,False,,,
Q8IWR4,protein_pathway,hsa01100,-0.03928781673312187,-0.0332625891724323,REJECT,N-acetylglutamate synthase conserved domain form,Metabolic pathways,[],False,False,False,False,,,
Q8IWR4,protein_biologicalprocess,GO:0034605,-0.004458279814571142,-0.5776643345681309,ACCEPT,N-acetylglutamate synthase conserved domain form,cellular response to heat,[],False,False,False,False,,,
