head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
O75208,protein_cellularcomponent,GO:0110142,-0.03460061177611351,-0.143767219171222,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial",ubiquinone biosynthesis complex,['Protein_CellularComponent'],False,True,True,False,Protein_CellularComponent,,
O75208,protein_protein,A8K3L2,-0.04804180562496185,-0.2036837140803804,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial",[],False,False,False,False,,,
O75208,protein_protein,Q5RJV0,-0.2390061914920807,-0.2036837140803804,REJECT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial",[],False,False,False,False,,,
O75208,protein_protein,Q7L5V7,-0.05825158208608627,-0.2036837140803804,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial",[],False,False,False,False,,,
O75208,protein_protein,Q7Z5T6,-0.0557887963950634,-0.2036837140803804,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial",[],False,False,False,False,,,
O75208,protein_protein,Q68FT1,-0.2155076116323471,-0.2036837140803804,REJECT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Ubiquinone biosynthesis protein COQ9, mitochondrial",['Protein_Protein'],False,True,True,False,Protein_Protein,,
O75208,protein_pathway,hsa00130,-0.030614331364631653,-0.0332625891724323,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial",Ubiquinone and other terpenoid-quinone biosynthesis,[],False,False,False,False,,,
O75208,protein_pathway,R-HSA-163200,-0.06605058908462524,-0.0332625891724323,REJECT,"Ubiquinone biosynthesis protein COQ9, mitochondrial","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",[],False,False,False,False,,,
O75208,protein_biologicalprocess,GO:0010286,-0.010267737321555614,-0.5776643345681309,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial",heat acclimation,[],False,False,False,False,,,
O75208,protein_biologicalprocess,GO:0070370,-0.011336862109601498,-0.5776643345681309,ACCEPT,"Ubiquinone biosynthesis protein COQ9, mitochondrial",cellular heat acclimation,[],False,False,False,False,,,
