head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
123831,chemicalentity_biologicalprocess,GO:0006954,-0.0025890765246003866,-0.232143107153421,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,inflammatory response,[],False,False,False,False,,,
123831,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-0.05286279320716858,-0.596142909254255,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0529, 'chemicalentity_noeffect_biologicalprocess': -1.3045, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1187, 'chemicalentity_promotes_biologicalprocess': -0.1898, 'chemicalentity_inhibits_biologicalprocess': -0.0747, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0982}"
123831,chemicalentity_pathway,R-HSA-2559582,-0.0014676997670903802,-0.3200630854546729,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
123831,chemicalentity_protein,P54379,-0.5652894973754883,-0.3552259656009227,REJECT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
123831,chemicalentity_protein,E5RK50,-0.16238901019096375,-0.3552259656009227,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
123831,chemicalentity_pathway,R-HSA-6788467,-0.0026324763894081116,-0.3200630854546729,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
123831,chemicalentity_gene,IL-6,-0.3046388030052185,-0.2458965898096785,REJECT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,interleukin 6,[],False,False,False,False,,,
123831,chemicalentity_protein,B2R4L8,-0.011718611232936382,-0.3552259656009227,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,IL-8(9-77),[],False,False,False,False,,,
123831,chemicalentity_protein,P10145,-0.0106364656239748,-0.3552259656009227,ACCEPT,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,IL-8(9-77),[],False,False,False,False,,,
GO:0006954,biologicalprocess_protein,P54379,-0.10200139135122299,-0.4342587681103441,ACCEPT,inflammatory response,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
GO:0006954,biologicalprocess_protein,E5RK50,-0.12930315732955933,-0.4342587681103441,ACCEPT,inflammatory response,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
GO:0006954,biologicalprocess_gene,IL-6,-0.24802260100841522,-0.085789182677173,REJECT,inflammatory response,interleukin 6,[],False,False,False,False,,,
IL-6,gene_notassociatedwith_biologicalprocess,GO:0006954,-0.9225507378578186,-0.1941926147433079,REJECT,interleukin 6,inflammatory response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3015, 'gene_promotes_biologicalprocess': -1.2016, 'gene_negativelyassociatedwith_biologicalprocess': -1.0953, 'gene_positivelyassociatedwith_biologicalprocess': -0.9706, 'gene_notassociatedwith_biologicalprocess': -0.9226}"
GO:0006954,biologicalprocess_protein,B2R4L8,-0.9299044609069824,-0.4342587681103441,REJECT,inflammatory response,IL-8(9-77),[],False,False,False,False,,,
GO:0006954,biologicalprocess_protein,P10145,-0.9031950831413269,-0.4342587681103441,REJECT,inflammatory response,IL-8(9-77),['Protein_BiologicalProcess'],False,True,True,False,Protein_BiologicalProcess,,
R-HSA-2559582,pathway_pathway,R-HSA-6788467,-0.0012348986929282546,-0.0291625673052831,ACCEPT,Senescence-Associated Secretory Phenotype (SASP),IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
R-HSA-2559582,pathway_gene,IL-6,-0.3139110505580902,-0.0605865656309756,REJECT,Senescence-Associated Secretory Phenotype (SASP),interleukin 6,[],False,False,False,False,,,
P54379,protein_pathway,R-HSA-2559582,-2.377398729324341,-0.0332625891724323,REJECT,Sigma-G-dependent sporulation-specific SASP protein,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
P54379,protein_protein,E5RK50,-1.8751609325408936,-0.2036837140803804,REJECT,Sigma-G-dependent sporulation-specific SASP protein,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
P54379,protein_pathway,R-HSA-6788467,-2.9827728271484375,-0.0332625891724323,REJECT,Sigma-G-dependent sporulation-specific SASP protein,IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
P54379,protein_protein,B2R4L8,-4.671237945556641,-0.2036837140803804,REJECT,Sigma-G-dependent sporulation-specific SASP protein,IL-8(9-77),[],False,False,False,False,,,
P54379,protein_protein,P10145,-4.660828113555908,-0.2036837140803804,REJECT,Sigma-G-dependent sporulation-specific SASP protein,IL-8(9-77),[],False,False,False,False,,,
E5RK50,protein_pathway,R-HSA-2559582,-0.9972226619720459,-0.0332625891724323,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
E5RK50,protein_pathway,R-HSA-6788467,-1.5063564777374268,-0.0332625891724323,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
E5RK50,protein_protein,B2R4L8,-3.0538742542266846,-0.2036837140803804,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},IL-8(9-77),[],False,False,False,False,,,
E5RK50,protein_protein,P10145,-3.056907892227173,-0.2036837140803804,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},IL-8(9-77),[],False,False,False,False,,,
R-HSA-6788467,pathway_gene,IL-6,-0.3112887144088745,-0.0605865656309756,REJECT,IL-6-type cytokine receptor ligand interactions,interleukin 6,[],False,False,False,False,,,
IL-6,gene_protein,P54379,-0.5609046220779419,-0.0280984394514378,REJECT,interleukin 6,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
IL-6,gene_protein,E5RK50,-0.6220333576202393,-0.0280984394514378,REJECT,interleukin 6,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
IL-6,gene_protein,B2R4L8,-0.8049740791320801,-0.0280984394514378,REJECT,interleukin 6,IL-8(9-77),[],False,False,False,False,,,
IL-6,gene_protein,P10145,-0.8031494617462158,-0.0280984394514378,REJECT,interleukin 6,IL-8(9-77),[],False,False,False,False,,,
B2R4L8,protein_pathway,R-HSA-2559582,-0.007999056950211525,-0.0332625891724323,ACCEPT,IL-8(9-77),Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
B2R4L8,protein_pathway,R-HSA-6788467,-0.0096291434019804,-0.0332625891724323,ACCEPT,IL-8(9-77),IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
B2R4L8,protein_protein,P10145,-0.01705796644091606,-0.2036837140803804,ACCEPT,IL-8(9-77),IL-8(9-77),[],False,False,False,False,,,
P10145,protein_pathway,R-HSA-2559582,-0.00807134434580803,-0.0332625891724323,ACCEPT,IL-8(9-77),Senescence-Associated Secretory Phenotype (SASP),['Protein_Pathway'],False,True,True,False,Protein_Pathway,,
P10145,protein_pathway,R-HSA-6788467,-0.009816505946218967,-0.0332625891724323,ACCEPT,IL-8(9-77),IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
