head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CLOCK,gene_gene,CG31324,-0.01581842266023159,-0.071739344080056,ACCEPT,clock circadian regulator,Clock interacting protein circadian,[],False,False,False,False,,,
CLOCK,gene_biologicalprocess,GO:0072332,-0.009875956922769547,-0.0356325677219588,ACCEPT,clock circadian regulator,intrinsic apoptotic signaling pathway by p53 class mediator,[],False,False,False,False,,,
CLOCK,gene_promotes_biologicalprocess,GO:0072332,-0.11178445816040039,-0.0617563253450388,REJECT,clock circadian regulator,intrinsic apoptotic signaling pathway by p53 class mediator,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1157, 'gene_promotes_biologicalprocess': -0.1118, 'gene_negativelyassociatedwith_biologicalprocess': -0.2066, 'gene_positivelyassociatedwith_biologicalprocess': -0.1722, 'gene_notassociatedwith_biologicalprocess': -0.2283}"
CLOCK,gene_disease,DOID:14566,-0.009163346141576767,-0.0375339126131901,ACCEPT,clock circadian regulator,disease of cellular proliferation,[],False,False,False,False,,,
CLOCK,gene_biologicalprocess,GO:0090398,-0.027741815894842148,-0.0356325677219588,ACCEPT,clock circadian regulator,cellular senescence,[],False,False,False,False,,,
CLOCK,gene_promotes_biologicalprocess,GO:0090398,-0.013454188592731953,-0.0617563253450388,ACCEPT,clock circadian regulator,cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0178, 'gene_promotes_biologicalprocess': -0.0135, 'gene_negativelyassociatedwith_biologicalprocess': -0.1517, 'gene_positivelyassociatedwith_biologicalprocess': -0.1397, 'gene_notassociatedwith_biologicalprocess': -0.1534}"
CLOCK,gene_biologicalprocess,GO:2000772,-0.010733606293797493,-0.0356325677219588,ACCEPT,clock circadian regulator,regulation of cellular senescence,[],False,False,False,False,,,
CLOCK,gene_promotes_biologicalprocess,GO:2000772,-0.27508777379989624,-0.0617563253450388,REJECT,clock circadian regulator,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3313, 'gene_promotes_biologicalprocess': -0.2751, 'gene_negativelyassociatedwith_biologicalprocess': -0.3066, 'gene_positivelyassociatedwith_biologicalprocess': -0.3203, 'gene_notassociatedwith_biologicalprocess': -0.3255}"
CLOCK,gene_tissue,BTO:0002050,-0.02361922524869442,-0.0456591214389128,ACCEPT,clock circadian regulator,osteogenic cell,[],False,False,False,False,,,
CLOCK,gene_protein,P62804,-0.019561970606446266,-0.0280984394514378,ACCEPT,clock circadian regulator,Osteogenic growth peptide,[],False,False,False,False,,,
CLOCK,gene_disease,C0236848,-0.06734418123960495,-0.0375339126131901,REJECT,clock circadian regulator,age-related cognitive decline,['Gene_Disease'],False,True,True,False,Gene_Disease,,
CG31324,gene_biologicalprocess,GO:0072332,-0.03793106973171234,-0.0356325677219588,REJECT,Clock interacting protein circadian,intrinsic apoptotic signaling pathway by p53 class mediator,[],False,False,False,False,,,
CG31324,gene_promotes_biologicalprocess,GO:0072332,-0.20906962454319,-0.0617563253450388,REJECT,Clock interacting protein circadian,intrinsic apoptotic signaling pathway by p53 class mediator,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2379, 'gene_promotes_biologicalprocess': -0.2091, 'gene_negativelyassociatedwith_biologicalprocess': -0.3982, 'gene_positivelyassociatedwith_biologicalprocess': -0.2579, 'gene_notassociatedwith_biologicalprocess': -0.3756}"
CG31324,gene_disease,DOID:14566,-0.050126124173402786,-0.0375339126131901,REJECT,Clock interacting protein circadian,disease of cellular proliferation,[],False,False,False,False,,,
CG31324,gene_biologicalprocess,GO:0090398,-0.08641012758016586,-0.0356325677219588,REJECT,Clock interacting protein circadian,cellular senescence,[],False,False,False,False,,,
CG31324,gene_promotes_biologicalprocess,GO:0090398,-0.04106878861784935,-0.0617563253450388,ACCEPT,Clock interacting protein circadian,cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0771, 'gene_promotes_biologicalprocess': -0.0411, 'gene_negativelyassociatedwith_biologicalprocess': -0.3405, 'gene_positivelyassociatedwith_biologicalprocess': -0.223, 'gene_notassociatedwith_biologicalprocess': -0.2668}"
CG31324,gene_biologicalprocess,GO:2000772,-0.035082802176475525,-0.0356325677219588,ACCEPT,Clock interacting protein circadian,regulation of cellular senescence,[],False,False,False,False,,,
