head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
P47039,protein_protein,Q17CS8,-0.5188677906990051,-0.2036837140803804,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},[],False,False,False,False,,,
P47039,protein_chemicalentity,DB09393,-1.0596944093704224,-0.1571110372511136,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,Amino acids,[],False,False,False,False,,,
P47039,protein_chemicalentity,9886134,-1.5102028846740723,-0.1571110372511136,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,2-amino-3-methylbutanoic acid;2-amino-3-methylpentanoic acid;2-amino-4-methylpentanoic acid,[],False,False,False,False,,,
P47039,protein_biologicalprocess,GO:0034605,-1.0031850337982178,-0.5776643345681309,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,cellular response to heat,[],False,False,False,False,,,
P47039,protein_biologicalprocess,GO:1900034,-1.392173409461975,-0.5776643345681309,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,regulation of cellular response to heat,[],False,False,False,False,,,
P47039,protein_biologicalprocess,GO:1900036,-1.1439489126205444,-0.5776643345681309,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,positive regulation of cellular response to heat,[],False,False,False,False,,,
P47039,protein_biologicalprocess,GO:1900035,-1.007228136062622,-0.5776643345681309,REJECT,Probable kynurenine--oxoglutarate transaminase BNA3,negative regulation of cellular response to heat,[],False,False,False,False,,,
Q17CS8,protein_chemicalentity,DB09393,-1.0033936500549316,-0.1571110372511136,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},Amino acids,[],False,False,False,False,,,
Q17CS8,protein_chemicalentity,9886134,-1.9489322900772095,-0.1571110372511136,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},2-amino-3-methylbutanoic acid;2-amino-3-methylpentanoic acid;2-amino-4-methylpentanoic acid,[],False,False,False,False,,,
Q17CS8,protein_biologicalprocess,GO:0034605,-1.014352560043335,-0.5776643345681309,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},cellular response to heat,[],False,False,False,False,,,
Q17CS8,protein_biologicalprocess,GO:1900034,-1.3496248722076416,-0.5776643345681309,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},regulation of cellular response to heat,[],False,False,False,False,,,
Q17CS8,protein_biologicalprocess,GO:1900036,-1.1739139556884766,-0.5776643345681309,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},positive regulation of cellular response to heat,[],False,False,False,False,,,
Q17CS8,protein_biologicalprocess,GO:1900035,-1.0360568761825562,-0.5776643345681309,REJECT,Kynurenine aminotransferase {ECO:0000303|PubMed:12110301},negative regulation of cellular response to heat,[],False,False,False,False,,,
DB09393,chemicalentity_chemicalentity,9886134,-1.181616187095642,-0.2425281074611494,REJECT,Amino acids,2-amino-3-methylbutanoic acid;2-amino-3-methylpentanoic acid;2-amino-4-methylpentanoic acid,[],False,False,False,False,,,
DB09393,chemicalentity_biologicalprocess,GO:0034605,-1.2310203313827515,-0.232143107153421,REJECT,Amino acids,cellular response to heat,[],False,False,False,False,,,
DB09393,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034605,-0.6454149484634399,-0.596142909254255,REJECT,Amino acids,cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6454, 'chemicalentity_noeffect_biologicalprocess': -2.2084, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0171, 'chemicalentity_promotes_biologicalprocess': -0.9713, 'chemicalentity_inhibits_biologicalprocess': -0.8465, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9729}"
DB09393,chemicalentity_biologicalprocess,GO:1900034,-1.1850690841674805,-0.232143107153421,REJECT,Amino acids,regulation of cellular response to heat,[],False,False,False,False,,,
DB09393,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900034,-0.727348804473877,-0.596142909254255,REJECT,Amino acids,regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7273, 'chemicalentity_noeffect_biologicalprocess': -2.3247, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1784, 'chemicalentity_promotes_biologicalprocess': -1.1635, 'chemicalentity_inhibits_biologicalprocess': -1.1328, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9574}"
DB09393,chemicalentity_biologicalprocess,GO:1900036,-1.0901442766189575,-0.232143107153421,REJECT,Amino acids,positive regulation of cellular response to heat,[],False,False,False,False,,,
DB09393,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900036,-0.7977898120880127,-0.596142909254255,REJECT,Amino acids,positive regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7978, 'chemicalentity_noeffect_biologicalprocess': -1.8382, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1325, 'chemicalentity_promotes_biologicalprocess': -1.0838, 'chemicalentity_inhibits_biologicalprocess': -1.0708, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0146}"
DB09393,chemicalentity_biologicalprocess,GO:1900035,-0.8317983150482178,-0.232143107153421,REJECT,Amino acids,negative regulation of cellular response to heat,[],False,False,False,False,,,
