head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q38167,protein_protein,Q54FK1,-0.5096806287765503,-0.2036837140803804,REJECT,5'-deoxynucleotidase,5'-deoxynucleotidase HDDC2,[],False,False,False,False,,,
Q38167,protein_protein,Q66L17,-0.6217544674873352,-0.2036837140803804,REJECT,5'-deoxynucleotidase,5'-deoxynucleotidase HDDC2,[],False,False,False,False,,,
Q38167,protein_protein,Q1LUI2,-0.9180628657341003,-0.2036837140803804,REJECT,5'-deoxynucleotidase,5'-deoxynucleotidase HDDC2,[],False,False,False,False,,,
Q38167,protein_protein,P87242,-0.9787032604217529,-0.2036837140803804,REJECT,5'-deoxynucleotidase,5'-deoxynucleotidase hdd1 {ECO:0000305},[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0009159,-0.31871190667152405,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,deoxyribonucleoside monophosphate catabolic process,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0009162,-0.6096097826957703,-0.5776643345681309,REJECT,5'-deoxynucleotidase,deoxyribonucleoside monophosphate metabolic process,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0009172,-0.5356377959251404,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,purine deoxyribonucleoside monophosphate catabolic process,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0009266,-0.29622119665145874,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,response to temperature stimulus,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0071502,-0.40364739298820496,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,cellular response to temperature stimulus,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0006281,-0.2748240828514099,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,DNA repair,[],False,False,False,False,,,
Q38167,protein_phenotype,abnormal survival,-1.4895083904266357,-0.0497034494975703,REJECT,5'-deoxynucleotidase,abnormal survival,[],False,False,False,False,,,
Q38167,protein_phenotype,MP:0010769,-1.1427744626998901,-0.0497034494975703,REJECT,5'-deoxynucleotidase,abnormal survival,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0009408,-0.2547566890716553,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,response to heat,[],False,False,False,False,,,
Q38167,protein_biologicalprocess,GO:0034605,-0.29908543825149536,-0.5776643345681309,ACCEPT,5'-deoxynucleotidase,cellular response to heat,[],False,False,False,False,,,
Q54FK1,protein_protein,Q66L17,-0.8094819784164429,-0.2036837140803804,REJECT,5'-deoxynucleotidase HDDC2,5'-deoxynucleotidase HDDC2,['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q54FK1,protein_protein,Q1LUI2,-1.3242865800857544,-0.2036837140803804,REJECT,5'-deoxynucleotidase HDDC2,5'-deoxynucleotidase HDDC2,['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q54FK1,protein_protein,P87242,-1.4970721006393433,-0.2036837140803804,REJECT,5'-deoxynucleotidase HDDC2,5'-deoxynucleotidase hdd1 {ECO:0000305},['Protein_Protein'],False,True,True,False,Protein_Protein,,
Q54FK1,protein_biologicalprocess,GO:0009159,-1.898479700088501,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,deoxyribonucleoside monophosphate catabolic process,[],False,False,False,False,,,
Q54FK1,protein_biologicalprocess,GO:0009162,-2.2956621646881104,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,deoxyribonucleoside monophosphate metabolic process,[],False,False,False,False,,,
Q54FK1,protein_biologicalprocess,GO:0009172,-1.6520849466323853,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,purine deoxyribonucleoside monophosphate catabolic process,[],False,False,False,False,,,
Q54FK1,protein_biologicalprocess,GO:0009266,-2.4585304260253906,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,response to temperature stimulus,[],False,False,False,False,,,
Q54FK1,protein_biologicalprocess,GO:0071502,-2.2442831993103027,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,cellular response to temperature stimulus,[],False,False,False,False,,,
Q54FK1,protein_biologicalprocess,GO:0006281,-3.2106969356536865,-0.5776643345681309,REJECT,5'-deoxynucleotidase HDDC2,DNA repair,[],False,False,False,False,,,
