head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q8WUF0,protein_biologicalprocess,GO:0070370,-0.014315198175609112,-0.5776643345681309,ACCEPT,Omega-amidase NIT2,cellular heat acclimation,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,embryo phenotype,-0.1414908766746521,-0.0497034494975703,REJECT,Omega-amidase NIT2,embryo phenotype,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,muscle phenotype,-0.06172487139701843,-0.0497034494975703,REJECT,Omega-amidase NIT2,muscle phenotype,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,terminal phenotype,-0.24370414018630981,-0.0497034494975703,REJECT,Omega-amidase NIT2,terminal phenotype,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,skeleton phenotype,-0.07223687320947647,-0.0497034494975703,REJECT,Omega-amidase NIT2,skeleton phenotype,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,cellular phenotype,-0.08788802474737167,-0.0497034494975703,REJECT,Omega-amidase NIT2,cellular phenotype,[],False,False,False,False,,,
Q8WUF0,protein_phenotype,wild-type,-0.08472686260938644,-0.0497034494975703,REJECT,Omega-amidase NIT2,wild-type,[],False,False,False,False,,,
Q8WUF0,protein_disease,DOID:0080937,-0.03292640671133995,-0.1452060252739286,ACCEPT,Omega-amidase NIT2,wild-type amyloidosis,[],False,False,False,False,,,
Q8WUF0,protein_disease,C2931860,-0.22851203382015228,-0.1452060252739286,REJECT,Omega-amidase NIT2,deletion 5p,[],False,False,False,False,,,
Q8WUF0,protein_disease,C2931574,-0.3912617266178131,-0.1452060252739286,REJECT,Omega-amidase NIT2,Deletion 5q35,[],False,False,False,False,,,
Q8WUF0,protein_disease,C2931803,-0.37310218811035156,-0.1452060252739286,REJECT,Omega-amidase NIT2,deletion 11p13,[],False,False,False,False,,,
Q8WUF0,protein_disease,D002872,-0.06200684979557991,-0.1452060252739286,ACCEPT,Omega-amidase NIT2,Chromosome Deletion,[],False,False,False,False,,,
Q8WUF0,protein_biologicalprocess,GO:0071502,-0.018255749717354774,-0.5776643345681309,ACCEPT,Omega-amidase NIT2,cellular response to temperature stimulus,[],False,False,False,False,,,
NIT2,gene_protein,Q8WUF0,-0.020085342228412628,-0.0280984394514378,ACCEPT,nitrilase family member 2,Omega-amidase NIT2,[],False,False,False,False,,,
NIT2,gene_biologicalprocess,GO:0070370,-0.014391638338565826,-0.0356325677219588,ACCEPT,nitrilase family member 2,cellular heat acclimation,[],False,False,False,False,,,
NIT2,gene_promotes_biologicalprocess,GO:0070370,-0.19689908623695374,-0.0617563253450388,REJECT,nitrilase family member 2,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2796, 'gene_promotes_biologicalprocess': -0.1969, 'gene_negativelyassociatedwith_biologicalprocess': -0.3995, 'gene_positivelyassociatedwith_biologicalprocess': -0.3153, 'gene_notassociatedwith_biologicalprocess': -0.3074}"
NIT2,gene_phenotype,embryo phenotype,-0.04175480827689171,-0.0347684314162952,REJECT,nitrilase family member 2,embryo phenotype,[],False,False,False,False,,,
NIT2,gene_phenotype,muscle phenotype,-0.01764078252017498,-0.0347684314162952,ACCEPT,nitrilase family member 2,muscle phenotype,[],False,False,False,False,,,
NIT2,gene_phenotype,terminal phenotype,-0.05928542837500572,-0.0347684314162952,REJECT,nitrilase family member 2,terminal phenotype,[],False,False,False,False,,,
