head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
440995,chemicalentity_protein,E5RK50,-0.14511485397815704,-0.3552259656009227,ACCEPT,lactose,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
440995,chemicalentity_pathway,R-HSA-6788467,-0.002631416078656912,-0.3200630854546729,ACCEPT,lactose,IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
440995,chemicalentity_gene,IL-6,-0.335621178150177,-0.2458965898096785,REJECT,lactose,interleukin 6,[],False,False,False,False,,,
440995,chemicalentity_protein,B2R4L8,-0.00936570018529892,-0.3552259656009227,ACCEPT,lactose,IL-8(9-77),[],False,False,False,False,,,
440995,chemicalentity_protein,P10145,-0.00861815270036459,-0.3552259656009227,ACCEPT,lactose,IL-8(9-77),[],False,False,False,False,,,
440995,chemicalentity_protein,Q6LAE6,-0.008752101100981236,-0.3552259656009227,ACCEPT,lactose,IL-8(9-77),[],False,False,False,False,,,
440995,chemicalentity_protein,Q9UCR8,-0.009214235469698906,-0.3552259656009227,ACCEPT,lactose,IL-8(9-77),[],False,False,False,False,,,
440995,chemicalentity_biologicalprocess,GO:0006954,-0.0104921730235219,-0.232143107153421,ACCEPT,lactose,inflammatory response,[],False,False,False,False,,,
440995,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-0.06033984199166298,-0.596142909254255,ACCEPT,lactose,inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0603, 'chemicalentity_noeffect_biologicalprocess': -1.1622, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1274, 'chemicalentity_promotes_biologicalprocess': -0.1969, 'chemicalentity_inhibits_biologicalprocess': -0.072, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1007}"
440995,chemicalentity_pathway,R-HSA-2559582,-0.0015895135002210736,-0.3200630854546729,ACCEPT,lactose,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
440995,chemicalentity_protein,P54379,-0.5249227285385132,-0.3552259656009227,REJECT,lactose,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
E5RK50,protein_pathway,R-HSA-6788467,-1.5063564777374268,-0.0332625891724323,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
E5RK50,protein_protein,B2R4L8,-3.0538742542266846,-0.2036837140803804,REJECT,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},IL-8(9-77),[],False,False,False,False,,,
