head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CYCS,gene_protein,P00045,-0.05925517529249191,-0.0280984394514378,REJECT,"cytochrome c, somatic",Cytochrome c isoform 2,[],False,False,False,False,,,
CYCS,gene_chemicalentity,46878494,-0.03056095913052559,-0.0285922419958417,REJECT,"cytochrome c, somatic",CoA-glutathione(5-),[],False,False,False,False,,,
CYCS,gene_chemicalentity,124886,-0.010435865260660648,-0.0285922419958417,ACCEPT,"cytochrome c, somatic",(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
CYCS,gene_chemicalentity,115260,-0.010702480562031269,-0.0285922419958417,ACCEPT,"cytochrome c, somatic",(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-methylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
CYCS,gene_biologicalprocess,GO:0009266,-0.00428007310256362,-0.0356325677219588,ACCEPT,"cytochrome c, somatic",response to temperature stimulus,[],False,False,False,False,,,
CYCS,gene_promotes_biologicalprocess,GO:0009266,-0.0669504925608635,-0.0617563253450388,REJECT,"cytochrome c, somatic",response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0739, 'gene_promotes_biologicalprocess': -0.067, 'gene_negativelyassociatedwith_biologicalprocess': -0.1816, 'gene_positivelyassociatedwith_biologicalprocess': -0.0952, 'gene_notassociatedwith_biologicalprocess': -0.1754}"
CYCS,gene_biologicalprocess,GO:0071502,-0.007243175525218248,-0.0356325677219588,ACCEPT,"cytochrome c, somatic",cellular response to temperature stimulus,[],False,False,False,False,,,
CYCS,gene_promotes_biologicalprocess,GO:0071502,-0.06625117361545563,-0.0617563253450388,REJECT,"cytochrome c, somatic",cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0881, 'gene_promotes_biologicalprocess': -0.0663, 'gene_negativelyassociatedwith_biologicalprocess': -0.1198, 'gene_positivelyassociatedwith_biologicalprocess': -0.108, 'gene_notassociatedwith_biologicalprocess': -0.1439}"
CYCS,gene_biologicalprocess,GO:0033636,-0.0845780074596405,-0.0356325677219588,REJECT,"cytochrome c, somatic",obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
CYCS,gene_promotes_biologicalprocess,GO:0033636,-0.35548514127731323,-0.0617563253450388,REJECT,"cytochrome c, somatic",obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4385, 'gene_promotes_biologicalprocess': -0.3555, 'gene_negativelyassociatedwith_biologicalprocess': -0.4045, 'gene_positivelyassociatedwith_biologicalprocess': -0.4096, 'gene_notassociatedwith_biologicalprocess': -0.4693}"
P00045,protein_chemicalentity,46878494,-0.7257184386253357,-0.1571110372511136,REJECT,Cytochrome c isoform 2,CoA-glutathione(5-),[],False,False,False,False,,,
P00045,protein_chemicalentity,124886,-1.1921868324279785,-0.1571110372511136,REJECT,Cytochrome c isoform 2,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,[],False,False,False,False,,,
