head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
UFL1-AS1,gene_gene,UFL1,-2.6702542304992676,-0.071739344080056,REJECT,UFL1 antisense RNA 1,UFM1 specific ligase 1,[],False,False,False,False,
UFL1-AS1,gene_protein,P0DJI6,-1.015122652053833,-0.0280984394514378,REJECT,UFL1 antisense RNA 1,Foxo1-corepressor,[],False,False,False,False,
UFL1-AS1,gene_gene,FOXO1,-3.031062126159668,-0.071739344080056,REJECT,UFL1 antisense RNA 1,forkhead box O1,[],False,False,False,False,
UFL1-AS1,gene_gene,NKILA,-1.7119113206863403,-0.071739344080056,REJECT,UFL1 antisense RNA 1,NF-kappaB interacting lncRNA,[],False,False,False,False,
UFL1-AS1,gene_tissue,BTO:0000249,-2.34091854095459,-0.0456591214389128,REJECT,UFL1 antisense RNA 1,chondrocyte,[],False,False,False,False,
UFL1-AS1,gene_tissue,BTO:0001381,-1.7375205755233765,-0.0456591214389128,REJECT,UFL1 antisense RNA 1,tibial chondrocyte,[],False,False,False,False,
UFL1-AS1,gene_anatomicalentity,ZFA:0009084,-0.8591883182525635,-0.1335364966199179,REJECT,UFL1 antisense RNA 1,chondrocyte,[],False,False,False,False,
UFL1-AS1,gene_phenotype,chondrocyte shape abnormal,-0.8031467795372009,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,    chondrocyte shape abnormal  ,[],False,False,False,False,
UFL1-AS1,gene_phenotype,osteoarthritis,-1.2703826427459717,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_phenotype,HP:0002758,-2.4857664108276367,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,Osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_phenotype,MP:0003560,-1.100293755531311,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_phenotype,HP:0008843,-1.6830381155014038,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,Hip osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_phenotype,HP:0005086,-1.8876094818115234,-0.0347684314162952,REJECT,UFL1 antisense RNA 1,Knee osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_disease,DOID:8398,-1.8990083932876587,-0.0375339126131901,REJECT,UFL1 antisense RNA 1,Osteoarthritis,[],False,False,False,False,
UFL1-AS1,gene_disease,C0029410,-1.846005916595459,-0.0375339126131901,REJECT,UFL1 antisense RNA 1,"Osteoarthritis, hip",[],False,False,False,False,
UFL1-AS1,gene_disease,C0409929,-0.8384501934051514,-0.0375339126131901,REJECT,UFL1 antisense RNA 1,"Osteoarthritis, toe",[],False,False,False,False,
UFL1-AS1,gene_disease,C0263746,-1.886922001838684,-0.0375339126131901,REJECT,UFL1 antisense RNA 1,"Osteoarthritis, hand",[],False,False,False,False,
UFL1-AS1,gene_disease,C0409959,-2.0367281436920166,-0.0375339126131901,REJECT,UFL1 antisense RNA 1,"Osteoarthritis, knee",[],False,False,False,False,
UFL1,gene_protein,P0DJI6,-0.031152453273534775,-0.0280984394514378,REJECT,UFM1 specific ligase 1,Foxo1-corepressor,[],False,False,False,False,
UFL1,gene_gene,FOXO1,-0.014215429313480854,-0.071739344080056,ACCEPT,UFM1 specific ligase 1,forkhead box O1,[],False,False,False,False,
UFL1,gene_gene,NKILA,-0.08416226506233215,-0.071739344080056,REJECT,UFM1 specific ligase 1,NF-kappaB interacting lncRNA,[],False,False,False,False,
UFL1,gene_tissue,BTO:0000249,-0.01258703600615263,-0.0456591214389128,ACCEPT,UFM1 specific ligase 1,chondrocyte,[],False,False,False,False,
UFL1,gene_tissue,BTO:0001381,-0.018284989520907402,-0.0456591214389128,ACCEPT,UFM1 specific ligase 1,tibial chondrocyte,[],False,False,False,False,
UFL1,gene_anatomicalentity,ZFA:0009084,-0.10469124466180801,-0.1335364966199179,ACCEPT,UFM1 specific ligase 1,chondrocyte,[],False,False,False,False,
UFL1,gene_phenotype,chondrocyte shape abnormal,-0.04562735930085182,-0.0347684314162952,REJECT,UFM1 specific ligase 1,    chondrocyte shape abnormal  ,[],False,False,False,False,
