head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
21592283,chemicalentity_chemicalentity,102410351,-0.35734009742736816,-0.2425281074611494,REJECT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid","(4R)-4-[(5R,7S,10S,12S,13R,14R,17R)-7,12-dihydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",[],False,False,False,False,,,
21592283,chemicalentity_chemicalentity,14109374,-0.4123647212982178,-0.2425281074611494,REJECT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid","4-(7-hydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid",[],False,False,False,False,,,
21592283,chemicalentity_chemicalentity,11271456,-0.2753547430038452,-0.2425281074611494,REJECT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid","methyl (4R)-4-[(5R,7S,10S,13R,14R,15S,17R)-7,15-dihydroxy-4,4,10,13,14-pentamethyl-3,11-dioxo-2,5,6,7,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate",[],False,False,False,False,,,
21592283,chemicalentity_chemicalentity,14109375,-0.3993037939071655,-0.2425281074611494,REJECT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid","(4R)-4-[(5R,7S,10S,13R,14R,17R)-7-hydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",[],False,False,False,False,,,
21592283,chemicalentity_biologicalprocess,GO:0097194,-0.2031923085451126,-0.232143107153421,ACCEPT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",execution phase of apoptosis,[],False,False,False,False,,,
21592283,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.44894108176231384,-0.596142909254255,ACCEPT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4489, 'chemicalentity_noeffect_biologicalprocess': -2.0794, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6662, 'chemicalentity_promotes_biologicalprocess': -1.1411, 'chemicalentity_inhibits_biologicalprocess': -0.9249, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7357}"
21592283,chemicalentity_pathway,R-HSA-111459,-0.18253666162490845,-0.3200630854546729,ACCEPT,"(4R)-4-[(3S,5R,7S,10S,13R,14R,17R)-3,7-dihydroxy-4,4,10,13,14-pentamethyl-11,15-dioxo-2,3,5,6,7,12,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",Activation of caspases through apoptosome-mediated cleavage,[],False,False,False,False,,,
102410351,chemicalentity_chemicalentity,14109374,-0.6868124604225159,-0.2425281074611494,REJECT,"(4R)-4-[(5R,7S,10S,12S,13R,14R,17R)-7,12-dihydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid","4-(7-hydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid",[],False,False,False,False,,,
102410351,chemicalentity_chemicalentity,11271456,-0.7956957221031189,-0.2425281074611494,REJECT,"(4R)-4-[(5R,7S,10S,12S,13R,14R,17R)-7,12-dihydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid","methyl (4R)-4-[(5R,7S,10S,13R,14R,15S,17R)-7,15-dihydroxy-4,4,10,13,14-pentamethyl-3,11-dioxo-2,5,6,7,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate",[],False,False,False,False,,,
102410351,chemicalentity_chemicalentity,14109375,-0.6072341203689575,-0.2425281074611494,REJECT,"(4R)-4-[(5R,7S,10S,12S,13R,14R,17R)-7,12-dihydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid","(4R)-4-[(5R,7S,10S,13R,14R,17R)-7-hydroxy-4,4,10,13,14-pentamethyl-3,11,15-trioxo-1,2,5,6,7,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",[],False,False,False,False,,,
