head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P87053,protein_protein,Q0DWH7,-0.5867125988006592,-0.2036837140803804,REJECT,F-box/WD repeat-containing protein pof1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase {ECO:0000305},[],False,False,False,False,
P87053,protein_protein,P25576,-0.684202253818512,-0.2036837140803804,REJECT,F-box/WD repeat-containing protein pof1,Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102},[],False,False,False,False,
P87053,protein_protein,Q9P7T7,-0.6347894668579102,-0.2036837140803804,REJECT,F-box/WD repeat-containing protein pof1,Putative nicotinamide mononucleotide adenylyltransferase {ECO:0000250|UniProtKB:P25576},[],False,False,False,False,
P87053,protein_protein,Q8N4G1,-1.4173129796981812,-0.2036837140803804,REJECT,F-box/WD repeat-containing protein pof1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 {ECO:0000305},[],False,False,False,False,
Q0DWH7,protein_protein,P25576,-0.8146774768829346,-0.2036837140803804,REJECT,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase {ECO:0000305},Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102},[],False,False,False,False,
Q0DWH7,protein_protein,Q9P7T7,-0.7677503228187561,-0.2036837140803804,REJECT,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase {ECO:0000305},Putative nicotinamide mononucleotide adenylyltransferase {ECO:0000250|UniProtKB:P25576},[],False,False,False,False,
Q0DWH7,protein_protein,Q8N4G1,-1.8911792039871216,-0.2036837140803804,REJECT,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase {ECO:0000305},Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 {ECO:0000305},[],False,False,False,False,
P25576,protein_protein,Q9P7T7,-0.6937201023101807,-0.2036837140803804,REJECT,Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102},Putative nicotinamide mononucleotide adenylyltransferase {ECO:0000250|UniProtKB:P25576},['Protein_Protein'],False,True,True,False,Protein_Protein
P25576,protein_protein,Q8N4G1,-1.7116535902023315,-0.2036837140803804,REJECT,Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102},Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 {ECO:0000305},[],False,False,False,False,
Q9P7T7,protein_protein,Q8N4G1,-1.8807861804962158,-0.2036837140803804,REJECT,Putative nicotinamide mononucleotide adenylyltransferase {ECO:0000250|UniProtKB:P25576},Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 {ECO:0000305},[],False,False,False,False,
CG10573,gene_protein,P87053,-0.10994842648506165,-0.0280984394514378,REJECT,knockout,F-box/WD repeat-containing protein pof1,[],False,False,False,False,
CG10573,gene_protein,Q0DWH7,-0.11212892830371857,-0.0280984394514378,REJECT,knockout,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase {ECO:0000305},[],False,False,False,False,
CG10573,gene_protein,P25576,-0.15001754462718964,-0.0280984394514378,REJECT,knockout,Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102},[],False,False,False,False,
CG10573,gene_protein,Q9P7T7,-0.16720686852931976,-0.0280984394514378,REJECT,knockout,Putative nicotinamide mononucleotide adenylyltransferase {ECO:0000250|UniProtKB:P25576},[],False,False,False,False,
CG10573,gene_protein,Q8N4G1,-0.11536011844873428,-0.0280984394514378,REJECT,knockout,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 {ECO:0000305},[],False,False,False,False,
