head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
5311263,chemicalentity_chemicalentity,44159252,-0.8342889547348022,-0.2425281074611494,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,[(2S)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,[],False,False,False,False,,,
5311263,chemicalentity_chemicalentity,5497152,-1.1959285736083984,-0.2425281074611494,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,(2-hydroxy-3-phosphonooxypropyl) (Z)-octadec-9-enoate,[],False,False,False,False,,,
5311263,chemicalentity_chemicalentity,5885531,-0.2979445457458496,-0.2425281074611494,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,(2-hydroxy-3-phosphonooxypropyl) (E)-octadec-9-enoate,[],False,False,False,False,,,
5311263,chemicalentity_chemicalentity,76515946,-0.43727752566337585,-0.2425281074611494,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,(1-hydroxy-3-phosphonooxypropan-2-yl) formate,[],False,False,False,False,,,
5311263,chemicalentity_biologicalprocess,GO:0009819,-0.4840007424354553,-0.232143107153421,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,drought recovery,[],False,False,False,False,,,
5311263,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009819,-0.5727091431617737,-0.596142909254255,ACCEPT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,drought recovery,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5727, 'chemicalentity_noeffect_biologicalprocess': -2.0087, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9121, 'chemicalentity_promotes_biologicalprocess': -1.1764, 'chemicalentity_inhibits_biologicalprocess': -0.9124, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6375}"
5311263,chemicalentity_biologicalprocess,GO:0006950,-0.6487559676170349,-0.232143107153421,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,response to stress,[],False,False,False,False,,,
5311263,chemicalentity_inhibits_biologicalprocess,GO:0006950,-0.1785266399383545,-0.7050372264239742,ACCEPT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,response to stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3946, 'chemicalentity_noeffect_biologicalprocess': -1.797, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9614, 'chemicalentity_promotes_biologicalprocess': -0.3432, 'chemicalentity_inhibits_biologicalprocess': -0.1785, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6922}"
5311263,chemicalentity_disease,D066263,-0.7954855561256409,-0.5678040704453142,REJECT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,"Protein Aggregation, Pathological",[],False,False,False,False,,,
5311263,chemicalentity_gene,Y37E3.4,-0.0733574777841568,-0.2458965898096785,ACCEPT,[(2R)-2-hydroxy-3-phosphonooxypropyl] (Z)-octadec-9-enoate,Modifier of protein aggregation 4,[],False,False,False,False,,,
