head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GO:0141040,molecularfunction_chemicalentity,5957,-2.7398428916931152,-0.0232305970024153,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,ATP,[],False,False,False,False,,,
GO:0141040,molecularfunction_chemicalentity,5461108,-4.191920280456543,-0.0232305970024153,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,ATP(4-),[],False,False,False,False,,,
GO:0141040,molecularfunction_chemicalentity,5359597,-2.150442123413086,-0.0232305970024153,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,superoxide,[],False,False,False,False,,,
GO:0141040,molecularfunction_biologicalprocess,GO:0034605,-2.833799123764038,-0.0147993624499696,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,cellular response to heat,[],False,False,False,False,,,
GO:0141040,molecularfunction_biologicalprocess,GO:1900034,-3.0366408824920654,-0.0147993624499696,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,regulation of cellular response to heat,[],False,False,False,False,,,
GO:0141040,molecularfunction_biologicalprocess,GO:1900036,-2.2488887310028076,-0.0147993624499696,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,positive regulation of cellular response to heat,[],False,False,False,False,,,
GO:0141040,molecularfunction_biologicalprocess,GO:1900035,-2.3939287662506104,-0.0147993624499696,REJECT,very-long-chain 3-oxoacyl-CoA reductase activity,negative regulation of cellular response to heat,[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,5461108,-0.016916025429964066,-0.2425281074611494,ACCEPT,ATP,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,5359597,-0.08090256154537201,-0.2425281074611494,ACCEPT,ATP,superoxide,[],False,False,False,False,,,
5957,chemicalentity_biologicalprocess,GO:0034605,-0.004507858771830797,-0.232143107153421,ACCEPT,ATP,cellular response to heat,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034605,-0.03875105455517769,-0.596142909254255,ACCEPT,ATP,cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0388, 'chemicalentity_noeffect_biologicalprocess': -1.2072, 'chemicalentity_notassociatedwith_biologicalprocess': -0.135, 'chemicalentity_promotes_biologicalprocess': -0.1167, 'chemicalentity_inhibits_biologicalprocess': -0.0395, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0699}"
5957,chemicalentity_biologicalprocess,GO:1900034,-0.012936281971633434,-0.232143107153421,ACCEPT,ATP,regulation of cellular response to heat,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900034,-0.10378015786409378,-0.596142909254255,ACCEPT,ATP,regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1038, 'chemicalentity_noeffect_biologicalprocess': -1.5883, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2992, 'chemicalentity_promotes_biologicalprocess': -0.243, 'chemicalentity_inhibits_biologicalprocess': -0.1347, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1605}"
5957,chemicalentity_biologicalprocess,GO:1900036,-0.03302604332566261,-0.232143107153421,ACCEPT,ATP,positive regulation of cellular response to heat,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:1900036,-0.15055148303508759,-0.7050372264239742,ACCEPT,ATP,positive regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1783, 'chemicalentity_noeffect_biologicalprocess': -0.9827, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4371, 'chemicalentity_promotes_biologicalprocess': -0.2538, 'chemicalentity_inhibits_biologicalprocess': -0.1506, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2865}"
5957,chemicalentity_biologicalprocess,GO:1900035,-0.015157289803028107,-0.232143107153421,ACCEPT,ATP,negative regulation of cellular response to heat,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:1900035,-0.17492257058620453,-0.7050372264239742,ACCEPT,ATP,negative regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.206, 'chemicalentity_noeffect_biologicalprocess': -1.0187, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3123, 'chemicalentity_promotes_biologicalprocess': -0.4499, 'chemicalentity_inhibits_biologicalprocess': -0.1749, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2415}"
5461108,chemicalentity_chemicalentity,5359597,-0.6586058139801025,-0.2425281074611494,REJECT,ATP(4-),superoxide,[],False,False,False,False,,,
5461108,chemicalentity_biologicalprocess,GO:0034605,-0.22873516380786896,-0.232143107153421,ACCEPT,ATP(4-),cellular response to heat,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034605,-0.2454605996608734,-0.596142909254255,ACCEPT,ATP(4-),cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2455, 'chemicalentity_noeffect_biologicalprocess': -2.2954, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6022, 'chemicalentity_promotes_biologicalprocess': -0.5115, 'chemicalentity_inhibits_biologicalprocess': -0.4351, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3289}"
5461108,chemicalentity_biologicalprocess,GO:1900034,-0.33615541458129883,-0.232143107153421,REJECT,ATP(4-),regulation of cellular response to heat,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900034,-0.3950969874858856,-0.596142909254255,ACCEPT,ATP(4-),regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3951, 'chemicalentity_noeffect_biologicalprocess': -2.6295, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9603, 'chemicalentity_promotes_biologicalprocess': -0.8024, 'chemicalentity_inhibits_biologicalprocess': -0.8442, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5158}"
5461108,chemicalentity_biologicalprocess,GO:1900036,-0.4140163064002991,-0.232143107153421,REJECT,ATP(4-),positive regulation of cellular response to heat,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900036,-0.6150025129318237,-0.596142909254255,REJECT,ATP(4-),positive regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.615, 'chemicalentity_noeffect_biologicalprocess': -1.8341, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8356, 'chemicalentity_promotes_biologicalprocess': -0.7578, 'chemicalentity_inhibits_biologicalprocess': -0.7646, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8067}"
5461108,chemicalentity_biologicalprocess,GO:1900035,-0.23922358453273773,-0.232143107153421,REJECT,ATP(4-),negative regulation of cellular response to heat,[],False,False,False,False,,,
5461108,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:1900035,-0.5921293497085571,-0.5654679724376828,REJECT,ATP(4-),negative regulation of cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.596, 'chemicalentity_noeffect_biologicalprocess': -1.9641, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7635, 'chemicalentity_promotes_biologicalprocess': -1.2767, 'chemicalentity_inhibits_biologicalprocess': -0.9086, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5921}"
5359597,chemicalentity_biologicalprocess,GO:0034605,-0.0499197319149971,-0.232143107153421,ACCEPT,superoxide,cellular response to heat,[],False,False,False,False,,,
5359597,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034605,-0.1807701587677002,-0.596142909254255,ACCEPT,superoxide,cellular response to heat,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1808, 'chemicalentity_noeffect_biologicalprocess': -1.3811, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4358, 'chemicalentity_promotes_biologicalprocess': -0.4308, 'chemicalentity_inhibits_biologicalprocess': -0.2893, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3081}"
