head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YGR180C,gene_gene,YJL026W,-0.06639239192008972,-0.071739344080056,ACCEPT,ribonucleotide-diphosphate reductase subunit RNR4,ribonucleotide-diphosphate reductase subunit RNR2,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YGR180C,gene_gene,RNR3,-0.37545445561408997,-0.071739344080056,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,"RNA, ribosomal 45S cluster 3",[],False,False,False,False,,,
YGR180C,gene_biologicalprocess,GO:0009266,-0.03921740874648094,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,response to temperature stimulus,[],False,False,False,False,,,
YGR180C,gene_positivelyassociatedwith_biologicalprocess,GO:0009266,-0.24297995865345,-0.0730086550790463,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2586, 'gene_promotes_biologicalprocess': -0.2762, 'gene_negativelyassociatedwith_biologicalprocess': -0.4907, 'gene_positivelyassociatedwith_biologicalprocess': -0.243, 'gene_notassociatedwith_biologicalprocess': -0.3196}"
YGR180C,gene_biologicalprocess,GO:0016048,-0.026951439678668976,-0.0356325677219588,ACCEPT,ribonucleotide-diphosphate reductase subunit RNR4,detection of temperature stimulus,[],False,False,False,False,,,
YGR180C,gene_promotes_biologicalprocess,GO:0016048,-0.30646851658821106,-0.0617563253450388,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3255, 'gene_promotes_biologicalprocess': -0.3065, 'gene_negativelyassociatedwith_biologicalprocess': -0.4707, 'gene_positivelyassociatedwith_biologicalprocess': -0.3181, 'gene_notassociatedwith_biologicalprocess': -0.3116}"
YGR180C,gene_biologicalprocess,GO:0071502,-0.03952880948781967,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,cellular response to temperature stimulus,[],False,False,False,False,,,
YGR180C,gene_positivelyassociatedwith_biologicalprocess,GO:0071502,-0.19853787124156952,-0.0730086550790463,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2329, 'gene_promotes_biologicalprocess': -0.2032, 'gene_negativelyassociatedwith_biologicalprocess': -0.2405, 'gene_positivelyassociatedwith_biologicalprocess': -0.1985, 'gene_notassociatedwith_biologicalprocess': -0.2179}"
YGR180C,gene_biologicalprocess,GO:0050951,-0.05266297608613968,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,sensory perception of temperature stimulus,[],False,False,False,False,,,
YGR180C,gene_notassociatedwith_biologicalprocess,GO:0050951,-0.27349355816841125,-0.1941926147433079,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,sensory perception of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3468, 'gene_promotes_biologicalprocess': -0.3222, 'gene_negativelyassociatedwith_biologicalprocess': -0.4789, 'gene_positivelyassociatedwith_biologicalprocess': -0.3579, 'gene_notassociatedwith_biologicalprocess': -0.2735}"
YGR180C,gene_biologicalprocess,GO:0009299,-0.030005713924765587,-0.0356325677219588,ACCEPT,ribonucleotide-diphosphate reductase subunit RNR4,mRNA transcription,[],False,False,False,False,,,
YGR180C,gene_promotes_biologicalprocess,GO:0009299,-0.15729114413261414,-0.0617563253450388,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,mRNA transcription,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1833, 'gene_promotes_biologicalprocess': -0.1573, 'gene_negativelyassociatedwith_biologicalprocess': -0.3335, 'gene_positivelyassociatedwith_biologicalprocess': -0.1924, 'gene_notassociatedwith_biologicalprocess': -0.2235}"
YGR180C,gene_biologicalprocess,GO:0006281,-0.01355077512562275,-0.0356325677219588,ACCEPT,ribonucleotide-diphosphate reductase subunit RNR4,DNA repair,[],False,False,False,False,,,
YGR180C,gene_promotes_biologicalprocess,GO:0006281,-0.11618565768003464,-0.0617563253450388,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,DNA repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1403, 'gene_promotes_biologicalprocess': -0.1162, 'gene_negativelyassociatedwith_biologicalprocess': -0.2315, 'gene_positivelyassociatedwith_biologicalprocess': -0.127, 'gene_notassociatedwith_biologicalprocess': -0.1336}"
YGR180C,gene_biologicalprocess,GO:0042245,-0.04420831799507141,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,RNA repair,[],False,False,False,False,,,
YGR180C,gene_positivelyassociatedwith_biologicalprocess,GO:0042245,-0.3313172161579132,-0.0730086550790463,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,RNA repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3965, 'gene_promotes_biologicalprocess': -0.3726, 'gene_negativelyassociatedwith_biologicalprocess': -0.4869, 'gene_positivelyassociatedwith_biologicalprocess': -0.3313, 'gene_notassociatedwith_biologicalprocess': -0.3473}"
YGR180C,gene_biologicalprocess,GO:0030091,-0.04733513668179512,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,protein repair,[],False,False,False,False,,,
YGR180C,gene_inhibits_biologicalprocess,GO:0030091,-0.3413422703742981,-0.0559618705714699,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,protein repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3413, 'gene_promotes_biologicalprocess': -0.3455, 'gene_negativelyassociatedwith_biologicalprocess': -0.4882, 'gene_positivelyassociatedwith_biologicalprocess': -0.4399, 'gene_notassociatedwith_biologicalprocess': -0.479}"
YGR180C,gene_biologicalprocess,GO:0006298,-0.011874170042574406,-0.0356325677219588,ACCEPT,ribonucleotide-diphosphate reductase subunit RNR4,mismatch repair,[],False,False,False,False,,,
YGR180C,gene_inhibits_biologicalprocess,GO:0006298,-0.14601796865463257,-0.0559618705714699,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,mismatch repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.146, 'gene_promotes_biologicalprocess': -0.1481, 'gene_negativelyassociatedwith_biologicalprocess': -0.2714, 'gene_positivelyassociatedwith_biologicalprocess': -0.1853, 'gene_notassociatedwith_biologicalprocess': -0.2344}"
YGR180C,gene_biologicalprocess,GO:0110051,-0.10394623130559921,-0.0356325677219588,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,metabolite repair,[],False,False,False,False,,,
YGR180C,gene_inhibits_biologicalprocess,GO:0110051,-0.37937605381011963,-0.0559618705714699,REJECT,ribonucleotide-diphosphate reductase subunit RNR4,metabolite repair,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3794, 'gene_promotes_biologicalprocess': -0.3995, 'gene_negativelyassociatedwith_biologicalprocess': -0.5332, 'gene_positivelyassociatedwith_biologicalprocess': -0.4805, 'gene_notassociatedwith_biologicalprocess': -0.5535}"
