head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
487,chemicalentity_biologicalprocess,GO:0090398,-0.009868756867945194,-0.232143107153421,ACCEPT,methylmalonic acid,cellular senescence,[],False,False,False,False,,,
487,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.006114521995186806,-0.7050372264239742,ACCEPT,methylmalonic acid,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0706, 'chemicalentity_noeffect_biologicalprocess': -0.3477, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0762, 'chemicalentity_promotes_biologicalprocess': -0.0482, 'chemicalentity_inhibits_biologicalprocess': -0.0061, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0702}"
487,chemicalentity_biologicalprocess,GO:0008152,-0.009553981013596058,-0.232143107153421,ACCEPT,methylmalonic acid,metabolic process,[],False,False,False,False,,,
487,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008152,-0.11111839860677719,-0.596142909254255,ACCEPT,methylmalonic acid,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1111, 'chemicalentity_noeffect_biologicalprocess': -1.4976, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2484, 'chemicalentity_promotes_biologicalprocess': -0.3125, 'chemicalentity_inhibits_biologicalprocess': -0.1624, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1533}"
487,chemicalentity_biologicalprocess,GO:0009455,-0.12468905001878738,-0.232143107153421,ACCEPT,methylmalonic acid,redox taxis,[],False,False,False,False,,,
487,chemicalentity_inhibits_biologicalprocess,GO:0009455,-0.39236724376678467,-0.7050372264239742,ACCEPT,methylmalonic acid,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4362, 'chemicalentity_noeffect_biologicalprocess': -1.0876, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4823, 'chemicalentity_promotes_biologicalprocess': -0.569, 'chemicalentity_inhibits_biologicalprocess': -0.3924, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4478}"
487,chemicalentity_pathway,R-HSA-163685,-0.006451120600104332,-0.3200630854546729,ACCEPT,methylmalonic acid,Integration of energy metabolism,[],False,False,False,False,,,
487,chemicalentity_protein,D3VVE9,-0.8305721282958984,-0.3552259656009227,REJECT,methylmalonic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
487,chemicalentity_protein,Q5STF9,-0.0649397000670433,-0.3552259656009227,ACCEPT,methylmalonic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
487,chemicalentity_biologicalprocess,GO:0035172,-0.07173912972211838,-0.232143107153421,ACCEPT,methylmalonic acid,hemocyte proliferation,[],False,False,False,False,,,
