head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
449141,chemicalentity_chemicalentity,9834298,-1.0325441360473633,-0.2425281074611494,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid","(6R)-6,8-bis(sulfanyl)octanoic acid",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
449141,chemicalentity_chemicalentity,421,-0.8447631597518921,-0.2425281074611494,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid","6,8-bis(sulfanyl)octanoic acid",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
449141,chemicalentity_biologicalprocess,GO:0090403,-0.8792530298233032,-0.232143107153421,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,,
449141,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-0.9081710577011108,-0.596142909254255,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9082, 'chemicalentity_noeffect_biologicalprocess': -2.3582, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0984, 'chemicalentity_promotes_biologicalprocess': -1.6703, 'chemicalentity_inhibits_biologicalprocess': -1.4745, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1147}"
449141,chemicalentity_protein,D3VVE9,-1.0957907438278198,-0.3552259656009227,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
449141,chemicalentity_protein,Q5STF9,-0.7611966729164124,-0.3552259656009227,REJECT,"(6S)-6,8-bis(sulfanyl)octanoic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
9834298,chemicalentity_chemicalentity,421,-0.020284216850996017,-0.2425281074611494,ACCEPT,"(6R)-6,8-bis(sulfanyl)octanoic acid","6,8-bis(sulfanyl)octanoic acid",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
9834298,chemicalentity_biologicalprocess,GO:0090403,-0.025780491530895233,-0.232143107153421,ACCEPT,"(6R)-6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,,
9834298,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-0.30355095863342285,-0.596142909254255,ACCEPT,"(6R)-6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3036, 'chemicalentity_noeffect_biologicalprocess': -1.3778, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4546, 'chemicalentity_promotes_biologicalprocess': -0.4862, 'chemicalentity_inhibits_biologicalprocess': -0.3176, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4348}"
9834298,chemicalentity_protein,D3VVE9,-0.8621160984039307,-0.3552259656009227,REJECT,"(6R)-6,8-bis(sulfanyl)octanoic acid",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
9834298,chemicalentity_protein,Q5STF9,-0.04386681690812111,-0.3552259656009227,ACCEPT,"(6R)-6,8-bis(sulfanyl)octanoic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
421,chemicalentity_biologicalprocess,GO:0090403,-0.07779727876186371,-0.232143107153421,ACCEPT,"6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,,
421,chemicalentity_inhibits_biologicalprocess,GO:0090403,-0.5757904052734375,-0.7050372264239742,ACCEPT,"6,8-bis(sulfanyl)octanoic acid",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6085, 'chemicalentity_noeffect_biologicalprocess': -1.642, 'chemicalentity_notassociatedwith_biologicalprocess': -0.585, 'chemicalentity_promotes_biologicalprocess': -0.6801, 'chemicalentity_inhibits_biologicalprocess': -0.5758, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6835}"
421,chemicalentity_protein,D3VVE9,-0.9796420335769653,-0.3552259656009227,REJECT,"6,8-bis(sulfanyl)octanoic acid",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
421,chemicalentity_protein,Q5STF9,-0.08275356888771057,-0.3552259656009227,ACCEPT,"6,8-bis(sulfanyl)octanoic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,D3VVE9,-0.38888129591941833,-0.4342587681103441,ACCEPT,oxidative stress-induced premature senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
