head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P48731,protein_biologicalprocess,GO:0015976,-0.2827838063240051,-0.5776643345681309,ACCEPT,Homeobox protein ATH1,carbon utilization,[],False,False,False,False,
P48731,protein_biologicalprocess,GO:0009453,-0.7903748750686646,-0.5776643345681309,REJECT,Homeobox protein ATH1,energy taxis,[],False,False,False,False,
P48731,protein_phenotype,abnormal survival,-0.7130200266838074,-0.0497034494975703,REJECT,Homeobox protein ATH1,abnormal survival,[],False,False,False,False,
P48731,protein_phenotype,MP:0010769,-0.7670696973800659,-0.0497034494975703,REJECT,Homeobox protein ATH1,abnormal survival,[],False,False,False,False,
P48731,protein_protein,Q9HGN8,-0.7759596109390259,-0.2036837140803804,REJECT,Homeobox protein ATH1,Survival factor 2,[],False,False,False,False,
P48731,protein_pathway,R-HSA-9664433,-0.79218590259552,-0.0332625891724323,REJECT,Homeobox protein ATH1,Leishmania parasite growth and survival,[],False,False,False,False,
GO:0015976,biologicalprocess_biologicalprocess,GO:0009453,-0.1854839324951172,-0.0422867482620858,REJECT,carbon utilization,energy taxis,[],False,False,False,False,
GO:0015976,biologicalprocess_protein,Q9HGN8,-0.7958745956420898,-0.4342587681103441,REJECT,carbon utilization,Survival factor 2,[],False,False,False,False,
GO:0009453,biologicalprocess_protein,Q9HGN8,-0.9608957767486572,-0.4342587681103441,REJECT,energy taxis,Survival factor 2,[],False,False,False,False,
abnormal survival,phenotype_biologicalprocess,GO:0015976,-0.16305062174797058,-0.607891854730636,ACCEPT,abnormal survival,carbon utilization,[],False,False,False,False,
abnormal survival,phenotype_biologicalprocess,GO:0009453,-0.8426990509033203,-0.607891854730636,REJECT,abnormal survival,energy taxis,[],False,False,False,False,
abnormal survival,phenotype_phenotype,MP:0010769,-0.17505642771720886,-0.150242852206178,REJECT,abnormal survival,abnormal survival,[],False,False,False,False,
abnormal survival,phenotype_protein,Q9HGN8,-1.4247322082519531,-0.3155417705896823,REJECT,abnormal survival,Survival factor 2,[],False,False,False,False,
MP:0010769,phenotype_biologicalprocess,GO:0015976,-0.21547846496105194,-0.607891854730636,ACCEPT,abnormal survival,carbon utilization,[],False,False,False,False,
MP:0010769,phenotype_biologicalprocess,GO:0009453,-0.9186791777610779,-0.607891854730636,REJECT,abnormal survival,energy taxis,[],False,False,False,False,
MP:0010769,phenotype_protein,Q9HGN8,-1.7442622184753418,-0.3155417705896823,REJECT,abnormal survival,Survival factor 2,[],False,False,False,False,
Q9HGN8,protein_pathway,R-HSA-9664433,-0.7120658755302429,-0.0332625891724323,REJECT,Survival factor 2,Leishmania parasite growth and survival,[],False,False,False,False,
