head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q4U3Y2,protein_protein,Q8LH82,-0.705807626247406,-0.2036837140803804,REJECT,Hexokinase-1,Hexokinase-1,[],False,False,False,False,,,
Q4U3Y2,protein_protein,Q84K90,-0.7231369018554688,-0.2036837140803804,REJECT,Hexokinase-1,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},[],False,False,False,False,,,
Q4U3Y2,protein_biologicalprocess,GO:0009266,-0.2648898661136627,-0.5776643345681309,ACCEPT,Hexokinase-1,response to temperature stimulus,[],False,False,False,False,,,
Q4U3Y2,protein_biologicalprocess,GO:0071502,-0.3564557731151581,-0.5776643345681309,ACCEPT,Hexokinase-1,cellular response to temperature stimulus,[],False,False,False,False,,,
Q4U3Y2,protein_biologicalprocess,GO:0033636,-0.9596869349479675,-0.5776643345681309,REJECT,Hexokinase-1,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
Q8LH82,protein_protein,Q84K90,-0.7941069602966309,-0.2036837140803804,REJECT,Hexokinase-1,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},[],False,False,False,False,,,
Q8LH82,protein_biologicalprocess,GO:0009266,-0.3429023325443268,-0.5776643345681309,ACCEPT,Hexokinase-1,response to temperature stimulus,[],False,False,False,False,,,
Q8LH82,protein_biologicalprocess,GO:0071502,-0.4398208260536194,-0.5776643345681309,ACCEPT,Hexokinase-1,cellular response to temperature stimulus,[],False,False,False,False,,,
Q8LH82,protein_biologicalprocess,GO:0033636,-1.0668575763702393,-0.5776643345681309,REJECT,Hexokinase-1,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
HK1,gene_protein,Q4U3Y2,-0.037971872836351395,-0.0280984394514378,REJECT,hexokinase 1,Hexokinase-1,[],False,False,False,False,,,
HK1,gene_protein,Q8LH82,-0.029104048386216164,-0.0280984394514378,REJECT,hexokinase 1,Hexokinase-1,[],False,False,False,False,,,
HK1,gene_protein,Q84K90,-0.029029924422502518,-0.0280984394514378,REJECT,hexokinase 1,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},[],False,False,False,False,,,
HK1,gene_biologicalprocess,GO:0009266,-0.007692638318985701,-0.0356325677219588,ACCEPT,hexokinase 1,response to temperature stimulus,[],False,False,False,False,,,
HK1,gene_promotes_biologicalprocess,GO:0009266,-0.11520686745643616,-0.0617563253450388,REJECT,hexokinase 1,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.12, 'gene_promotes_biologicalprocess': -0.1152, 'gene_negativelyassociatedwith_biologicalprocess': -0.2256, 'gene_positivelyassociatedwith_biologicalprocess': -0.1571, 'gene_notassociatedwith_biologicalprocess': -0.2454}"
HK1,gene_biologicalprocess,GO:0071502,-0.011033985763788223,-0.0356325677219588,ACCEPT,hexokinase 1,cellular response to temperature stimulus,[],False,False,False,False,,,
HK1,gene_promotes_biologicalprocess,GO:0071502,-0.08854416012763977,-0.0617563253450388,REJECT,hexokinase 1,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1242, 'gene_promotes_biologicalprocess': -0.0885, 'gene_negativelyassociatedwith_biologicalprocess': -0.1228, 'gene_positivelyassociatedwith_biologicalprocess': -0.1436, 'gene_notassociatedwith_biologicalprocess': -0.2171}"
HK1,gene_biologicalprocess,GO:0033636,-0.10377216339111328,-0.0356325677219588,REJECT,hexokinase 1,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
HK1,gene_positivelyassociatedwith_biologicalprocess,GO:0033636,-0.3923473358154297,-0.0730086550790463,REJECT,hexokinase 1,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4742, 'gene_promotes_biologicalprocess': -0.4079, 'gene_negativelyassociatedwith_biologicalprocess': -0.4306, 'gene_positivelyassociatedwith_biologicalprocess': -0.3923, 'gene_notassociatedwith_biologicalprocess': -0.5592}"
Q84K90,protein_biologicalprocess,GO:0009266,-0.20953090488910675,-0.5776643345681309,ACCEPT,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},response to temperature stimulus,[],False,False,False,False,,,
Q84K90,protein_biologicalprocess,GO:0071502,-0.3062305450439453,-0.5776643345681309,ACCEPT,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},cellular response to temperature stimulus,[],False,False,False,False,,,
Q84K90,protein_biologicalprocess,GO:0033636,-0.9747330546379089,-0.5776643345681309,REJECT,RGS1-HXK1-interacting protein 1 {ECO:0000303|PubMed:26528314},obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
GO:0009266,biologicalprocess_biologicalprocess,GO:0071502,-0.017698802053928375,-0.0422867482620858,ACCEPT,response to temperature stimulus,cellular response to temperature stimulus,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0009266,biologicalprocess_biologicalprocess,GO:0033636,-0.06536845117807388,-0.0422867482620858,REJECT,response to temperature stimulus,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
GO:0071502,biologicalprocess_biologicalprocess,GO:0033636,-0.09877408295869827,-0.0422867482620858,REJECT,cellular response to temperature stimulus,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,,,
