head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
MSR1,gene_protein,A0A8I5KRP1,-0.0037879394367337227,-0.0280984394514378,ACCEPT,macrophage scavenger receptor 1,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}",[],False,False,False,False,,,
MSR1,gene_protein,A0A8I5KSL3,-0.004287782125174999,-0.0280984394514378,ACCEPT,macrophage scavenger receptor 1,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}",[],False,False,False,False,,,
MSR1,gene_protein,A0A8V8TNX1,-0.0003980974433943629,-0.0280984394514378,ACCEPT,macrophage scavenger receptor 1,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}",[],False,False,False,False,,,
MSR1,gene_protein,A0A8I5KT31,-0.01465901080518961,-0.0280984394514378,ACCEPT,macrophage scavenger receptor 1,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",[],False,False,False,False,,,
MSR1,gene_chemicalentity,5957,-0.015424852259457111,-0.0285922419958417,ACCEPT,macrophage scavenger receptor 1,ATP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
MSR1,gene_biologicalprocess,GO:0071318,-0.007583654019981623,-0.0356325677219588,ACCEPT,macrophage scavenger receptor 1,cellular response to ATP,[],False,False,False,False,,,
MSR1,gene_promotes_biologicalprocess,GO:0071318,-0.08477499336004257,-0.0617563253450388,REJECT,macrophage scavenger receptor 1,cellular response to ATP,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1112, 'gene_promotes_biologicalprocess': -0.0848, 'gene_negativelyassociatedwith_biologicalprocess': -0.1325, 'gene_positivelyassociatedwith_biologicalprocess': -0.1242, 'gene_notassociatedwith_biologicalprocess': -0.1537}"
MSR1,gene_gene,ATP5F1B,-0.013368077576160431,-0.071739344080056,ACCEPT,macrophage scavenger receptor 1,ATP synthase F1 subunit beta,['Gene_Gene'],False,True,True,False,Gene_Gene,,
A0A8I5KRP1,protein_protein,A0A8I5KSL3,-0.7650958299636841,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}",[],False,False,False,False,,,
A0A8I5KRP1,protein_protein,A0A8V8TNX1,-0.6999189257621765,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}",[],False,False,False,False,,,
A0A8I5KRP1,protein_protein,A0A8I5KT31,-0.71163010597229,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",[],False,False,False,False,,,
A0A8I5KRP1,protein_chemicalentity,5957,-0.4703235626220703,-0.1571110372511136,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}",ATP,[],False,False,False,False,,,
A0A8I5KRP1,protein_biologicalprocess,GO:0071318,-0.1786719709634781,-0.5776643345681309,ACCEPT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508977.1}",cellular response to ATP,[],False,False,False,False,,,
A0A8I5KSL3,protein_protein,A0A8V8TNX1,-1.1710848808288574,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}",[],False,False,False,False,,,
A0A8I5KSL3,protein_protein,A0A8I5KT31,-0.9218790531158447,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",[],False,False,False,False,,,
A0A8I5KSL3,protein_chemicalentity,5957,-0.8846359848976135,-0.1571110372511136,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}",ATP,[],False,False,False,False,,,
A0A8I5KSL3,protein_biologicalprocess,GO:0071318,-0.3622305989265442,-0.5776643345681309,ACCEPT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508830.1}",cellular response to ATP,[],False,False,False,False,,,
A0A8V8TNX1,protein_protein,A0A8I5KT31,-0.7628008127212524,-0.2036837140803804,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}","Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",[],False,False,False,False,,,
A0A8V8TNX1,protein_chemicalentity,5957,-0.5787543654441833,-0.1571110372511136,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}",ATP,[],False,False,False,False,,,
A0A8V8TNX1,protein_biologicalprocess,GO:0071318,-0.03322427347302437,-0.5776643345681309,ACCEPT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000510050.1}",cellular response to ATP,[],False,False,False,False,,,
A0A8I5KT31,protein_chemicalentity,5957,-0.8639082908630371,-0.1571110372511136,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",ATP,[],False,False,False,False,,,
A0A8I5KT31,protein_biologicalprocess,GO:0071318,-0.6375531554222107,-0.5776643345681309,REJECT,"Arginyl-tRNA synthetase 2, mitochondrial {ECO:0000313|Ensembl:ENSP00000508972.1}",cellular response to ATP,[],False,False,False,False,,,
5957,chemicalentity_biologicalprocess,GO:0071318,-0.006027326453477144,-0.232143107153421,ACCEPT,ATP,cellular response to ATP,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:0071318,-0.04751423001289368,-0.7050372264239742,ACCEPT,ATP,cellular response to ATP,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0494, 'chemicalentity_noeffect_biologicalprocess': -1.1888, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0967, 'chemicalentity_promotes_biologicalprocess': -0.1593, 'chemicalentity_inhibits_biologicalprocess': -0.0475, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0674}"
5957,chemicalentity_gene,ATP5F1B,-0.004194730892777443,-0.2458965898096785,ACCEPT,ATP,ATP synthase F1 subunit beta,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
GO:0071318,biologicalprocess_gene,ATP5F1B,-0.008477846160531044,-0.085789182677173,ACCEPT,cellular response to ATP,ATP synthase F1 subunit beta,[],False,False,False,False,,,
