head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
DOLPP1,gene_cellularcomponent,GO:0005783,-0.0028596017509698868,-0.0358198597771757,ACCEPT,dolichyldiphosphatase 1,endoplasmic reticulum,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
DOLPP1,gene_cellularcomponent,GO:0005788,-0.00433335080742836,-0.0358198597771757,ACCEPT,dolichyldiphosphatase 1,endoplasmic reticulum lumen,[],False,False,False,False,,,
DOLPP1,gene_cellularcomponent,GO:0005791,-0.006627168506383896,-0.0358198597771757,ACCEPT,dolichyldiphosphatase 1,rough endoplasmic reticulum,[],False,False,False,False,,,
DOLPP1,gene_biologicalprocess,GO:0006487,-0.007577190175652504,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,protein N-linked glycosylation,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
DOLPP1,gene_promotes_biologicalprocess,GO:0006487,-0.14926506578922272,-0.0617563253450388,REJECT,dolichyldiphosphatase 1,protein N-linked glycosylation,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.1728, 'gene_promotes_biologicalprocess': -0.1493, 'gene_negativelyassociatedwith_biologicalprocess': -0.3123, 'gene_positivelyassociatedwith_biologicalprocess': -0.2367, 'gene_notassociatedwith_biologicalprocess': -0.4054}"
DOLPP1,gene_biologicalprocess,GO:0006457,-0.005152486730366945,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,protein folding,[],False,False,False,False,,,
DOLPP1,gene_promotes_biologicalprocess,GO:0006457,-0.05242757871747017,-0.0617563253450388,ACCEPT,dolichyldiphosphatase 1,protein folding,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0697, 'gene_promotes_biologicalprocess': -0.0524, 'gene_negativelyassociatedwith_biologicalprocess': -0.1928, 'gene_positivelyassociatedwith_biologicalprocess': -0.1081, 'gene_notassociatedwith_biologicalprocess': -0.1727}"
DOLPP1,gene_phenotype,WBPhenotype:0002634,-0.017337115481495857,-0.0347684314162952,ACCEPT,dolichyldiphosphatase 1,ER stress resistant,[],False,False,False,False,,,
DOLPP1,gene_biologicalprocess,GO:0034605,-0.003913280554115772,-0.0356325677219588,ACCEPT,dolichyldiphosphatase 1,cellular response to heat,[],False,False,False,False,,,
DOLPP1,gene_promotes_biologicalprocess,GO:0034605,-0.06133541837334633,-0.0617563253450388,ACCEPT,dolichyldiphosphatase 1,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0846, 'gene_promotes_biologicalprocess': -0.0613, 'gene_negativelyassociatedwith_biologicalprocess': -0.2022, 'gene_positivelyassociatedwith_biologicalprocess': -0.1063, 'gene_notassociatedwith_biologicalprocess': -0.2485}"
