head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q08227,protein_protein,Q12271,-0.5915561318397522,-0.2036837140803804,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase",[],False,False,False,False,,,
Q08227,protein_protein,P59644,-0.6341196894645691,-0.2036837140803804,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",[],False,False,False,False,,,
Q08227,protein_protein,Q9JMC1,-0.8372215032577515,-0.2036837140803804,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",[],False,False,False,False,,,
Q08227,protein_protein,Q6ZTH6,-2.4454216957092285,-0.2036837140803804,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",[],False,False,False,False,,,
Q08227,protein_protein,Q9UDT9,-2.529085397720337,-0.2036837140803804,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:0051673,-0.1639891266822815,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:0090559,-0.17171339690685272,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",regulation of membrane permeability,[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:1905710,-0.2872965931892395,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",positive regulation of membrane permeability,[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:1905709,-0.36755526065826416,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",negative regulation of membrane permeability,[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:0046902,-0.24820591509342194,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",regulation of mitochondrial membrane permeability,[],False,False,False,False,,,
Q08227,protein_chemicalentity,1107,-1.3806960582733154,-0.1571110372511136,REJECT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",sterol,[],False,False,False,False,,,
Q08227,protein_biologicalprocess,GO:0040007,-0.06869611889123917,-0.5776643345681309,ACCEPT,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",growth,[],False,False,False,False,,,
INPP5B,gene_protein,Q08227,-0.024256478995084763,-0.0280984394514378,ACCEPT,inositol polyphosphate-5-phosphatase B,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54",[],False,False,False,False,,,
INPP5B,gene_protein,Q12271,-0.05603267252445221,-0.0280984394514378,REJECT,inositol polyphosphate-5-phosphatase B,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase",[],False,False,False,False,,,
INPP5B,gene_protein,P59644,-0.02504141628742218,-0.0280984394514378,ACCEPT,inositol polyphosphate-5-phosphatase B,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",[],False,False,False,False,,,
