head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
7311724,chemicalentity_chemicalentity,5950,-1.5972490310668945,-0.2425281074611494,REJECT,L-alanine zwitterion,(2S)-2-aminopropanoic acid,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
7311724,chemicalentity_biologicalprocess,GO:0090400,-0.9906297326087952,-0.232143107153421,REJECT,L-alanine zwitterion,stress-induced premature senescence,[],False,False,False,False,,,
7311724,chemicalentity_inhibits_biologicalprocess,GO:0090400,-0.7027926445007324,-0.7050372264239742,ACCEPT,L-alanine zwitterion,stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9719, 'chemicalentity_noeffect_biologicalprocess': -1.954, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9552, 'chemicalentity_promotes_biologicalprocess': -0.9892, 'chemicalentity_inhibits_biologicalprocess': -0.7028, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2766}"
7311724,chemicalentity_protein,D3VVE9,-1.0960495471954346,-0.3552259656009227,REJECT,L-alanine zwitterion,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
7311724,chemicalentity_protein,Q5STF9,-0.4623700976371765,-0.3552259656009227,REJECT,L-alanine zwitterion,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
5950,chemicalentity_biologicalprocess,GO:0090400,-0.022091468796133995,-0.232143107153421,ACCEPT,(2S)-2-aminopropanoic acid,stress-induced premature senescence,[],False,False,False,False,,,
5950,chemicalentity_inhibits_biologicalprocess,GO:0090400,-0.09753134846687317,-0.7050372264239742,ACCEPT,(2S)-2-aminopropanoic acid,stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1071, 'chemicalentity_noeffect_biologicalprocess': -1.0734, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1282, 'chemicalentity_promotes_biologicalprocess': -0.2611, 'chemicalentity_inhibits_biologicalprocess': -0.0975, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1343}"
5950,chemicalentity_protein,D3VVE9,-0.8497263789176941,-0.3552259656009227,REJECT,(2S)-2-aminopropanoic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
5950,chemicalentity_protein,Q5STF9,-0.014113250188529491,-0.3552259656009227,ACCEPT,(2S)-2-aminopropanoic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090400,biologicalprocess_protein,D3VVE9,-0.23122362792491913,-0.4342587681103441,ACCEPT,stress-induced premature senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090400,biologicalprocess_protein,Q5STF9,-0.5811352729797363,-0.4342587681103441,REJECT,stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
