head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
49,chemicalentity_chemicalentity,440248,-0.15934279561042786,-0.2425281074611494,ACCEPT,3-methyl-2-oxobutanoic acid,3-hydroxy-3-methyl-2-oxobutanoic acid,[],False,False,False,False,,,
49,chemicalentity_biologicalprocess,GO:0010150,-0.02183365635573864,-0.232143107153421,ACCEPT,3-methyl-2-oxobutanoic acid,leaf senescence,[],False,False,False,False,,,
49,chemicalentity_inhibits_biologicalprocess,GO:0010150,-0.12348473072052002,-0.7050372264239742,ACCEPT,3-methyl-2-oxobutanoic acid,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1315, 'chemicalentity_noeffect_biologicalprocess': -1.2712, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2297, 'chemicalentity_promotes_biologicalprocess': -0.352, 'chemicalentity_inhibits_biologicalprocess': -0.1235, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.156}"
49,chemicalentity_biologicalprocess,GO:0090398,-0.014158695936203003,-0.232143107153421,ACCEPT,3-methyl-2-oxobutanoic acid,cellular senescence,[],False,False,False,False,,,
49,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.0026157463435083628,-0.7050372264239742,ACCEPT,3-methyl-2-oxobutanoic acid,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0879, 'chemicalentity_noeffect_biologicalprocess': -0.3201, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1008, 'chemicalentity_promotes_biologicalprocess': -0.0304, 'chemicalentity_inhibits_biologicalprocess': -0.0026, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0856}"
49,chemicalentity_biologicalprocess,GO:0090399,-0.02061038836836815,-0.232143107153421,ACCEPT,3-methyl-2-oxobutanoic acid,replicative senescence,[],False,False,False,False,,,
49,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0090399,-0.09512834250926971,-0.5654679724376828,ACCEPT,3-methyl-2-oxobutanoic acid,replicative senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1191, 'chemicalentity_noeffect_biologicalprocess': -1.5, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1812, 'chemicalentity_promotes_biologicalprocess': -0.4665, 'chemicalentity_inhibits_biologicalprocess': -0.1257, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0951}"
49,chemicalentity_biologicalprocess,GO:1990636,-0.12858738005161285,-0.232143107153421,ACCEPT,3-methyl-2-oxobutanoic acid,reproductive senescence,[],False,False,False,False,,,
49,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990636,-0.41689178347587585,-0.596142909254255,ACCEPT,3-methyl-2-oxobutanoic acid,reproductive senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4169, 'chemicalentity_noeffect_biologicalprocess': -1.3515, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6217, 'chemicalentity_promotes_biologicalprocess': -1.01, 'chemicalentity_inhibits_biologicalprocess': -0.7431, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5616}"
49,chemicalentity_biologicalprocess,GO:0007049,-0.013501888141036034,-0.232143107153421,ACCEPT,3-methyl-2-oxobutanoic acid,cell cycle,[],False,False,False,False,,,
