head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
P0C2P3,protein_protein,P11803,-0.5575196146965027,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial","Ornithine carbamoyltransferase, mitochondrial",[],False,False,False,False,,,
P0C2P3,protein_protein,P31317,-1.0399622917175293,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial","Ornithine carbamoyltransferase, mitochondrial",[],False,False,False,False,,,
P0C2P3,protein_protein,P78606,-0.8544455766677856,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial","Ornithine carbamoyltransferase, mitochondrial",[],False,False,False,False,,,
P0C2P3,protein_protein,P0CL21,-0.9020849466323853,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial","Ornithine carbamoyltransferase, mitochondrial",[],False,False,False,False,,,
P0C2P3,protein_pathway,KEGG:map00220,-1.0235131978988647,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Arginine biosynthesis,[],False,False,False,False,,,
P0C2P3,protein_pathway,hsa00220,-1.8771556615829468,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Arginine biosynthesis,[],False,False,False,False,,,
P0C2P3,protein_protein,Q9K8V3,-0.6287000179290771,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Arginine biosynthesis bifunctional protein ArgJ beta chain,[],False,False,False,False,,,
P0C2P3,protein_cellularcomponent,GO:0005759,-3.0333008766174316,-0.143767219171222,REJECT,"Ornithine carbamoyltransferase, mitochondrial",mitochondrial matrix,[],False,False,False,False,,,
P0C2P3,protein_cellularcomponent,GO:0030061,-3.7281346321105957,-0.143767219171222,REJECT,"Ornithine carbamoyltransferase, mitochondrial",mitochondrial crista,[],False,False,False,False,,,
P0C2P3,protein_cellularcomponent,GO:0032019,-3.450209379196167,-0.143767219171222,REJECT,"Ornithine carbamoyltransferase, mitochondrial",mitochondrial cloud,[],False,False,False,False,,,
P0C2P3,protein_cellularcomponent,GO:0005740,-3.836348056793213,-0.143767219171222,REJECT,"Ornithine carbamoyltransferase, mitochondrial",mitochondrial envelope,[],False,False,False,False,,,
P0C2P3,protein_cellularcomponent,GO:0000262,-3.882756471633911,-0.143767219171222,REJECT,"Ornithine carbamoyltransferase, mitochondrial",mitochondrial chromosome,[],False,False,False,False,,,
P0C2P3,protein_pathway,R-HSA-3299685,-2.301187038421631,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
P0C2P3,protein_pathway,R-RNO-3299685,-0.822027325630188,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
P0C2P3,protein_pathway,R-MMU-3299685,-0.6846774816513062,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
P0C2P3,protein_pathway,R-BTA-3299685,-0.7139595150947571,-0.0332625891724323,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
P0C2P3,protein_phenotype,HP:0025464,-1.3387434482574463,-0.0497034494975703,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Increased reactive oxygen species production,[],False,False,False,False,,,
P0C2P3,protein_phenotype,WBPhenotype:0002239,-1.034188151359558,-0.0497034494975703,REJECT,"Ornithine carbamoyltransferase, mitochondrial",reduced levels of reactive oxygen species,[],False,False,False,False,,,
P0C2P3,protein_phenotype,WBPhenotype:0002238,-0.7745044231414795,-0.0497034494975703,REJECT,"Ornithine carbamoyltransferase, mitochondrial",increased levels of reactive oxygen species,[],False,False,False,False,,,
P0C2P3,protein_phenotype,reactive oxygen species metabolic process process quality abnormal,-1.252549648284912,-0.0497034494975703,REJECT,"Ornithine carbamoyltransferase, mitochondrial",    reactive oxygen species metabolic process process quality abnormal  ,[],False,False,False,False,,,
P0C2P3,protein_phenotype,ZP:0143151,-0.9320712089538574,-0.0497034494975703,REJECT,"Ornithine carbamoyltransferase, mitochondrial","reactive oxygen species eye increased amount, abnormal",[],False,False,False,False,,,
P0C2P3,protein_protein,P60602,-2.3294906616210938,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Reactive oxygen species modulator 1,[],False,False,False,False,,,
P0C2P3,protein_protein,Q5QP16,-3.0483765602111816,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Reactive oxygen species modulator 1,[],False,False,False,False,,,
P0C2P3,protein_protein,E1P5R9,-3.308279275894165,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Reactive oxygen species modulator 1,[],False,False,False,False,,,
P0C2P3,protein_protein,Q9CQ98,-3.2986721992492676,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Reactive oxygen species modulator 1,[],False,False,False,False,,,
P0C2P3,protein_protein,Q9H1N2,-3.1240334510803223,-0.2036837140803804,REJECT,"Ornithine carbamoyltransferase, mitochondrial",Reactive oxygen species modulator 1,[],False,False,False,False,,,
P0C2P3,protein_biologicalprocess,GO:0000302,-0.3522709608078003,-0.5776643345681309,ACCEPT,"Ornithine carbamoyltransferase, mitochondrial",response to reactive oxygen species,[],False,False,False,False,,,
P0C2P3,protein_biologicalprocess,GO:0072593,-0.47634854912757874,-0.5776643345681309,ACCEPT,"Ornithine carbamoyltransferase, mitochondrial",reactive oxygen species metabolic process,[],False,False,False,False,,,
