head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
15938972,chemicalentity_chemicalentity,15983949,-0.3243219554424286,-0.2425281074611494,REJECT,NADP(3-),NADPH(4-),[],False,False,False,False,
15938972,chemicalentity_protein,E5RK50,-0.5034047365188599,-0.3552259656009227,REJECT,NADP(3-),NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,
15938972,chemicalentity_pathway,R-HSA-6788467,-0.024875298142433167,-0.3200630854546729,ACCEPT,NADP(3-),IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,
15938972,chemicalentity_gene,IL-6,-0.5469034910202026,-0.2458965898096785,REJECT,NADP(3-),interleukin 6,[],False,False,False,False,
15938972,chemicalentity_protein,B2R4L8,-0.0802142322063446,-0.3552259656009227,ACCEPT,NADP(3-),IL-8(9-77),[],False,False,False,False,
15938972,chemicalentity_protein,P10145,-0.07346237450838089,-0.3552259656009227,ACCEPT,NADP(3-),IL-8(9-77),[],False,False,False,False,
15938972,chemicalentity_protein,Q6LAE6,-0.07595505565404892,-0.3552259656009227,ACCEPT,NADP(3-),IL-8(9-77),[],False,False,False,False,
15938972,chemicalentity_protein,Q9UCR8,-0.07573214173316956,-0.3552259656009227,ACCEPT,NADP(3-),IL-8(9-77),[],False,False,False,False,
15938972,chemicalentity_pathway,R-HSA-2559582,-0.015284630469977856,-0.3200630854546729,ACCEPT,NADP(3-),Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,
15938972,chemicalentity_protein,P54379,-1.0956048965454102,-0.3552259656009227,REJECT,NADP(3-),Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,
15983949,chemicalentity_protein,E5RK50,-0.41531240940093994,-0.3552259656009227,REJECT,NADPH(4-),NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,
15983949,chemicalentity_pathway,R-HSA-6788467,-0.01338829193264246,-0.3200630854546729,ACCEPT,NADPH(4-),IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,
15983949,chemicalentity_gene,IL-6,-0.5414924025535583,-0.2458965898096785,REJECT,NADPH(4-),interleukin 6,[],False,False,False,False,
15983949,chemicalentity_protein,B2R4L8,-0.05749109759926796,-0.3552259656009227,ACCEPT,NADPH(4-),IL-8(9-77),[],False,False,False,False,
15983949,chemicalentity_protein,P10145,-0.05212339013814926,-0.3552259656009227,ACCEPT,NADPH(4-),IL-8(9-77),[],False,False,False,False,
15983949,chemicalentity_protein,Q6LAE6,-0.05388866737484932,-0.3552259656009227,ACCEPT,NADPH(4-),IL-8(9-77),[],False,False,False,False,
15983949,chemicalentity_protein,Q9UCR8,-0.0539017915725708,-0.3552259656009227,ACCEPT,NADPH(4-),IL-8(9-77),[],False,False,False,False,
15983949,chemicalentity_pathway,R-HSA-2559582,-0.008347177878022194,-0.3200630854546729,ACCEPT,NADPH(4-),Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,
15983949,chemicalentity_protein,P54379,-1.0255377292633057,-0.3552259656009227,REJECT,NADPH(4-),Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,
