head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
STT3A,gene_protein,Q54NM9,-0.08779817819595337,-0.0280984394514378,REJECT,STT3 oligosaccharyltransferase complex catalytic subunit A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,[],False,False,False,False,,,
STT3A,gene_biologicalprocess,GO:0018279,-0.010015647858381271,-0.0356325677219588,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,protein N-linked glycosylation via asparagine,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
STT3A,gene_promotes_biologicalprocess,GO:0018279,-0.16919022798538208,-0.0617563253450388,REJECT,STT3 oligosaccharyltransferase complex catalytic subunit A,protein N-linked glycosylation via asparagine,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.1717, 'gene_promotes_biologicalprocess': -0.1692, 'gene_negativelyassociatedwith_biologicalprocess': -0.3134, 'gene_positivelyassociatedwith_biologicalprocess': -0.2518, 'gene_notassociatedwith_biologicalprocess': -0.3417}"
STT3A,gene_cellularcomponent,GO:0005783,-0.0023478937800973654,-0.0358198597771757,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,endoplasmic reticulum,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
STT3A,gene_cellularcomponent,GO:0005788,-0.003568047657608986,-0.0358198597771757,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,endoplasmic reticulum lumen,[],False,False,False,False,,,
STT3A,gene_cellularcomponent,GO:0005791,-0.0056612128391861916,-0.0358198597771757,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,rough endoplasmic reticulum,[],False,False,False,False,,,
STT3A,gene_cellularcomponent,GO:0005790,-0.005192571319639683,-0.0358198597771757,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,smooth endoplasmic reticulum,[],False,False,False,False,,,
STT3A,gene_cellularcomponent,GO:0032541,-0.0033765281550586224,-0.0358198597771757,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,cortical endoplasmic reticulum,[],False,False,False,False,,,
STT3A,gene_phenotype,WBPhenotype:0001090,-0.009161749854683876,-0.0347684314162952,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,thermotolerance reduced,[],False,False,False,False,,,
STT3A,gene_phenotype,WBPhenotype:0000295,-0.018648914992809296,-0.0347684314162952,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,thermotolerance increased,[],False,False,False,False,,,
STT3A,gene_phenotype,WBPhenotype:0002138,-0.01986769773066044,-0.0347684314162952,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,acquired thermotolerance variant,[],False,False,False,False,,,
STT3A,gene_biologicalprocess,GO:0008152,-0.009751245379447937,-0.0356325677219588,ACCEPT,STT3 oligosaccharyltransferase complex catalytic subunit A,metabolic process,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
STT3A,gene_promotes_biologicalprocess,GO:0008152,-0.16503579914569855,-0.0617563253450388,REJECT,STT3 oligosaccharyltransferase complex catalytic subunit A,metabolic process,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.2307, 'gene_promotes_biologicalprocess': -0.165, 'gene_negativelyassociatedwith_biologicalprocess': -0.3036, 'gene_positivelyassociatedwith_biologicalprocess': -0.2535, 'gene_notassociatedwith_biologicalprocess': -0.2714}"
Q54NM9,protein_biologicalprocess,GO:0018279,-0.40938523411750793,-0.5776643345681309,ACCEPT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,protein N-linked glycosylation via asparagine,[],False,False,False,False,,,
Q54NM9,protein_cellularcomponent,GO:0005783,-2.2109415531158447,-0.143767219171222,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,endoplasmic reticulum,[],False,False,False,False,,,
Q54NM9,protein_cellularcomponent,GO:0005788,-2.973234176635742,-0.143767219171222,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,endoplasmic reticulum lumen,[],False,False,False,False,,,
Q54NM9,protein_cellularcomponent,GO:0005791,-3.2464187145233154,-0.143767219171222,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,rough endoplasmic reticulum,[],False,False,False,False,,,
Q54NM9,protein_cellularcomponent,GO:0005790,-3.225053310394287,-0.143767219171222,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,smooth endoplasmic reticulum,[],False,False,False,False,,,
Q54NM9,protein_cellularcomponent,GO:0032541,-3.217435359954834,-0.143767219171222,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,cortical endoplasmic reticulum,[],False,False,False,False,,,
Q54NM9,protein_phenotype,WBPhenotype:0001090,-1.8824673891067505,-0.0497034494975703,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,thermotolerance reduced,[],False,False,False,False,,,
Q54NM9,protein_phenotype,WBPhenotype:0000295,-1.5170574188232422,-0.0497034494975703,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,thermotolerance increased,[],False,False,False,False,,,
Q54NM9,protein_phenotype,WBPhenotype:0002138,-1.3143436908721924,-0.0497034494975703,REJECT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,acquired thermotolerance variant,[],False,False,False,False,,,
Q54NM9,protein_biologicalprocess,GO:0008152,-0.26802167296409607,-0.5776643345681309,ACCEPT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,metabolic process,[],False,False,False,False,,,
GO:0018279,biologicalprocess_cellularcomponent,GO:0005783,-0.00025438048760406673,-0.3461928175792534,ACCEPT,protein N-linked glycosylation via asparagine,endoplasmic reticulum,[],False,False,False,False,,,
GO:0018279,biologicalprocess_cellularcomponent,GO:0005788,-0.0004038903571199626,-0.3461928175792534,ACCEPT,protein N-linked glycosylation via asparagine,endoplasmic reticulum lumen,[],False,False,False,False,,,
GO:0018279,biologicalprocess_cellularcomponent,GO:0005791,-0.00041964894626289606,-0.3461928175792534,ACCEPT,protein N-linked glycosylation via asparagine,rough endoplasmic reticulum,[],False,False,False,False,,,
GO:0018279,biologicalprocess_cellularcomponent,GO:0005790,-0.0005285240476951003,-0.3461928175792534,ACCEPT,protein N-linked glycosylation via asparagine,smooth endoplasmic reticulum,[],False,False,False,False,,,
GO:0018279,biologicalprocess_cellularcomponent,GO:0032541,-0.0003538236196618527,-0.3461928175792534,ACCEPT,protein N-linked glycosylation via asparagine,cortical endoplasmic reticulum,[],False,False,False,False,,,
GO:0018279,biologicalprocess_biologicalprocess,GO:0008152,-0.00015303502732422203,-0.0422867482620858,ACCEPT,protein N-linked glycosylation via asparagine,metabolic process,[],False,False,False,False,,,
GO:0005783,cellularcomponent_cellularcomponent,GO:0005788,-5.420480988505005e-07,-0.0349261329401597,ACCEPT,endoplasmic reticulum,endoplasmic reticulum lumen,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent,,
GO:0005783,cellularcomponent_cellularcomponent,GO:0005791,-1.4846156091152807e-06,-0.0349261329401597,ACCEPT,endoplasmic reticulum,rough endoplasmic reticulum,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent,,
GO:0005783,cellularcomponent_cellularcomponent,GO:0005790,-1.2812391787520028e-06,-0.0349261329401597,ACCEPT,endoplasmic reticulum,smooth endoplasmic reticulum,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent,,
