head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YML120C,gene_protein,P03886,-0.0906093642115593,-0.0280984394514378,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
YML120C,gene_protein,O78679,-0.08474215865135193,-0.0280984394514378,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
YML120C,gene_protein,P08774,-0.21624791622161865,-0.0280984394514378,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
YML120C,gene_gene,CG34089,-0.3939439356327057,-0.071739344080056,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,mitochondrial NADH-ubiquinone oxidoreductase chain 6,[],False,False,False,False,,,
YML120C,gene_gene,mt:ND6,-0.28015148639678955,-0.071739344080056,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,mitochondrial NADH-ubiquinone oxidoreductase chain 6,[],False,False,False,False,,,
YML120C,gene_gene,CG34086,-0.45461976528167725,-0.071739344080056,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
YML120C,gene_gene,mt:ND4L,-0.20073729753494263,-0.071739344080056,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
YML120C,gene_biologicalprocess,GO:0033554,-0.16719946265220642,-0.0356325677219588,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,cellular response to stress,[],False,False,False,False,,,
YML120C,gene_promotes_biologicalprocess,GO:0033554,-0.5188097953796387,-0.0617563253450388,REJECT,NADH-ubiquinone reductase (H(+)-translocating) NDI1,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.577, 'gene_promotes_biologicalprocess': -0.5188, 'gene_negativelyassociatedwith_biologicalprocess': -0.9669, 'gene_positivelyassociatedwith_biologicalprocess': -0.5245, 'gene_notassociatedwith_biologicalprocess': -0.7153}"
P03886,protein_protein,O78679,-0.11979546397924423,-0.2036837140803804,ACCEPT,NADH-ubiquinone oxidoreductase chain 1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
P03886,protein_protein,P08774,-0.32616734504699707,-0.2036837140803804,REJECT,NADH-ubiquinone oxidoreductase chain 1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
P03886,protein_biologicalprocess,GO:0033554,-0.00167035439517349,-0.5776643345681309,ACCEPT,NADH-ubiquinone oxidoreductase chain 1,cellular response to stress,[],False,False,False,False,,,
O78679,protein_protein,P08774,-0.4782179296016693,-0.2036837140803804,REJECT,NADH-ubiquinone oxidoreductase chain 1,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
O78679,protein_biologicalprocess,GO:0033554,-0.1854604184627533,-0.5776643345681309,ACCEPT,NADH-ubiquinone oxidoreductase chain 1,cellular response to stress,[],False,False,False,False,,,
P08774,protein_biologicalprocess,GO:0033554,-1.2690085172653198,-0.5776643345681309,REJECT,NADH-ubiquinone oxidoreductase chain 1,cellular response to stress,[],False,False,False,False,,,
CG34089,gene_protein,P03886,-0.9282159805297852,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34089,gene_protein,O78679,-0.748294472694397,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34089,gene_protein,P08774,-0.8933079838752747,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34089,gene_gene,mt:ND6,-1.6242799758911133,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,mitochondrial NADH-ubiquinone oxidoreductase chain 6,[],False,False,False,False,,,
CG34089,gene_gene,CG34086,-0.9710504412651062,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
CG34089,gene_gene,mt:ND4L,-2.117443561553955,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
CG34089,gene_biologicalprocess,GO:0033554,-2.141418695449829,-0.0356325677219588,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,cellular response to stress,[],False,False,False,False,,,
CG34089,gene_notassociatedwith_biologicalprocess,GO:0033554,-1.6820178031921387,-0.1941926147433079,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.3914, 'gene_promotes_biologicalprocess': -1.8748, 'gene_negativelyassociatedwith_biologicalprocess': -1.9207, 'gene_positivelyassociatedwith_biologicalprocess': -1.7391, 'gene_notassociatedwith_biologicalprocess': -1.682}"
mt:ND6,gene_protein,P03886,-0.17271380126476288,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND6,gene_protein,O78679,-0.16413219273090363,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND6,gene_protein,P08774,-0.32498839497566223,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND6,gene_gene,CG34086,-0.5340052843093872,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
mt:ND6,gene_gene,mt:ND4L,-0.33516421914100647,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,['Gene_Gene'],False,True,True,False,Gene_Gene,,
mt:ND6,gene_biologicalprocess,GO:0033554,-0.3107678294181824,-0.0356325677219588,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,cellular response to stress,[],False,False,False,False,,,
mt:ND6,gene_promotes_biologicalprocess,GO:0033554,-0.7060928344726562,-0.0617563253450388,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 6,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.1252, 'gene_promotes_biologicalprocess': -0.7061, 'gene_negativelyassociatedwith_biologicalprocess': -1.0033, 'gene_positivelyassociatedwith_biologicalprocess': -0.8273, 'gene_notassociatedwith_biologicalprocess': -0.893}"
CG34086,gene_protein,P03886,-1.075974941253662,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34086,gene_protein,O78679,-0.857023298740387,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34086,gene_protein,P08774,-1.00062894821167,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
CG34086,gene_gene,mt:ND4L,-2.4194095134735107,-0.071739344080056,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,[],False,False,False,False,,,
CG34086,gene_biologicalprocess,GO:0033554,-2.5817832946777344,-0.0356325677219588,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,cellular response to stress,[],False,False,False,False,,,
CG34086,gene_notassociatedwith_biologicalprocess,GO:0033554,-1.8904417753219604,-0.1941926147433079,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.2972, 'gene_promotes_biologicalprocess': -2.3513, 'gene_negativelyassociatedwith_biologicalprocess': -2.3006, 'gene_positivelyassociatedwith_biologicalprocess': -2.0467, 'gene_notassociatedwith_biologicalprocess': -1.8904}"
mt:ND4L,gene_protein,P03886,-0.038324467837810516,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND4L,gene_protein,O78679,-0.038672011345624924,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND4L,gene_protein,P08774,-0.12485150247812271,-0.0280984394514378,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,NADH-ubiquinone oxidoreductase chain 1,[],False,False,False,False,,,
mt:ND4L,gene_biologicalprocess,GO:0033554,-0.041504692286252975,-0.0356325677219588,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,cellular response to stress,[],False,False,False,False,,,
mt:ND4L,gene_promotes_biologicalprocess,GO:0033554,-0.24326367676258087,-0.0617563253450388,REJECT,mitochondrial NADH-ubiquinone oxidoreductase chain 4L,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5129, 'gene_promotes_biologicalprocess': -0.2433, 'gene_negativelyassociatedwith_biologicalprocess': -0.5349, 'gene_positivelyassociatedwith_biologicalprocess': -0.4381, 'gene_notassociatedwith_biologicalprocess': -0.4409}"
