head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
6723,chemicalentity_chemicalentity,151228,-0.3031500279903412,-0.2425281074611494,REJECT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,4-pyridoxolactone,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
6723,chemicalentity_biologicalprocess,GO:0090398,-0.136869415640831,-0.232143107153421,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,cellular senescence,[],False,False,False,False,,,
6723,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.02373228222131729,-0.7050372264239742,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2408, 'chemicalentity_noeffect_biologicalprocess': -0.5102, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1751, 'chemicalentity_promotes_biologicalprocess': -0.0908, 'chemicalentity_inhibits_biologicalprocess': -0.0237, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.263}"
6723,chemicalentity_biologicalprocess,GO:0008152,-0.27621570229530334,-0.232143107153421,REJECT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,metabolic process,[],False,False,False,False,,,
6723,chemicalentity_inhibits_biologicalprocess,GO:0008152,-0.43030810356140137,-0.7050372264239742,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4727, 'chemicalentity_noeffect_biologicalprocess': -1.9049, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5771, 'chemicalentity_promotes_biologicalprocess': -0.5688, 'chemicalentity_inhibits_biologicalprocess': -0.4303, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5557}"
6723,chemicalentity_biologicalprocess,GO:0009455,-0.3818696141242981,-0.232143107153421,REJECT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,redox taxis,[],False,False,False,False,,,
6723,chemicalentity_inhibits_biologicalprocess,GO:0009455,-0.6162581443786621,-0.7050372264239742,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6781, 'chemicalentity_noeffect_biologicalprocess': -1.3214, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6255, 'chemicalentity_promotes_biologicalprocess': -0.7969, 'chemicalentity_inhibits_biologicalprocess': -0.6163, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6582}"
6723,chemicalentity_pathway,R-HSA-163685,-0.11954441666603088,-0.3200630854546729,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Integration of energy metabolism,[],False,False,False,False,,,
6723,chemicalentity_pathway,R-HSA-9636667,-0.21914544701576233,-0.3200630854546729,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Manipulation of host energy metabolism,[],False,False,False,False,,,
6723,chemicalentity_disease,C5681282,-0.6165916919708252,-0.5678040704453142,REJECT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Inborn disorder of energy metabolism,[],False,False,False,False,,,
6723,chemicalentity_protein,Q9NVL8,-0.11723043769598007,-0.3552259656009227,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Factor associated with metabolism and energy {ECO:0000303|PubMed:37248239},[],False,False,False,False,,,
6723,chemicalentity_protein,D3VVE9,-0.9235244989395142,-0.3552259656009227,REJECT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
6723,chemicalentity_protein,Q5STF9,-0.12779171764850616,-0.3552259656009227,ACCEPT,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
151228,chemicalentity_biologicalprocess,GO:0090398,-0.3718715012073517,-0.232143107153421,REJECT,4-pyridoxolactone,cellular senescence,[],False,False,False,False,,,
151228,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.023832211270928383,-0.7050372264239742,ACCEPT,4-pyridoxolactone,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3566, 'chemicalentity_noeffect_biologicalprocess': -0.7366, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3435, 'chemicalentity_promotes_biologicalprocess': -0.1588, 'chemicalentity_inhibits_biologicalprocess': -0.0238, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4628}"
151228,chemicalentity_biologicalprocess,GO:0008152,-1.0395307540893555,-0.232143107153421,REJECT,4-pyridoxolactone,metabolic process,[],False,False,False,False,,,
151228,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008152,-0.7917419672012329,-0.596142909254255,REJECT,4-pyridoxolactone,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7917, 'chemicalentity_noeffect_biologicalprocess': -2.5761, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2205, 'chemicalentity_promotes_biologicalprocess': -1.0901, 'chemicalentity_inhibits_biologicalprocess': -0.803, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3555}"
151228,chemicalentity_biologicalprocess,GO:0009455,-0.6103713512420654,-0.232143107153421,REJECT,4-pyridoxolactone,redox taxis,[],False,False,False,False,,,
