head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
O82775,protein_cellularcomponent,GO:0005774,-1.7495131492614746,-0.143767219171222,REJECT,ATG8-interacting protein 1 {ECO:0000303|PubMed:22253227},vacuolar membrane,[],False,False,False,False,
O82775,protein_biologicalprocess,GO:0009254,-0.20853851735591888,-0.5776643345681309,ACCEPT,ATG8-interacting protein 1 {ECO:0000303|PubMed:22253227},peptidoglycan turnover,[],False,False,False,False,
O82775,protein_biologicalprocess,GO:0009266,-0.24994288384914398,-0.5776643345681309,ACCEPT,ATG8-interacting protein 1 {ECO:0000303|PubMed:22253227},response to temperature stimulus,[],False,False,False,False,
O82775,protein_biologicalprocess,GO:0071502,-0.3410109877586365,-0.5776643345681309,ACCEPT,ATG8-interacting protein 1 {ECO:0000303|PubMed:22253227},cellular response to temperature stimulus,[],False,False,False,False,
O82775,protein_biologicalprocess,GO:0033636,-0.9694046974182129,-0.5776643345681309,REJECT,ATG8-interacting protein 1 {ECO:0000303|PubMed:22253227},obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,
GO:0009254,biologicalprocess_cellularcomponent,GO:0005774,-0.03030073270201683,-0.3461928175792534,ACCEPT,peptidoglycan turnover,vacuolar membrane,[],False,False,False,False,
GO:0009254,biologicalprocess_biologicalprocess,GO:0009266,-0.1392252892255783,-0.0422867482620858,REJECT,peptidoglycan turnover,response to temperature stimulus,[],False,False,False,False,
GO:0009254,biologicalprocess_biologicalprocess,GO:0071502,-0.2919650673866272,-0.0422867482620858,REJECT,peptidoglycan turnover,cellular response to temperature stimulus,[],False,False,False,False,
GO:0009254,biologicalprocess_biologicalprocess,GO:0033636,-0.28286975622177124,-0.0422867482620858,REJECT,peptidoglycan turnover,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,
GO:0009266,biologicalprocess_cellularcomponent,GO:0005774,-0.0007366998470388353,-0.3461928175792534,ACCEPT,response to temperature stimulus,vacuolar membrane,[],False,False,False,False,
GO:0009266,biologicalprocess_biologicalprocess,GO:0071502,-0.017698802053928375,-0.0422867482620858,ACCEPT,response to temperature stimulus,cellular response to temperature stimulus,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0009266,biologicalprocess_biologicalprocess,GO:0033636,-0.06536845117807388,-0.0422867482620858,REJECT,response to temperature stimulus,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,
GO:0071502,biologicalprocess_cellularcomponent,GO:0005774,-0.002966387663036585,-0.3461928175792534,ACCEPT,cellular response to temperature stimulus,vacuolar membrane,[],False,False,False,False,
GO:0071502,biologicalprocess_biologicalprocess,GO:0033636,-0.09877408295869827,-0.0422867482620858,REJECT,cellular response to temperature stimulus,obsolete modulation by symbiont of host response to temperature stimulus,[],False,False,False,False,
GO:0033636,biologicalprocess_cellularcomponent,GO:0005774,-1.2838348150253296,-0.3461928175792534,REJECT,obsolete modulation by symbiont of host response to temperature stimulus,vacuolar membrane,[],False,False,False,False,
