head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
3840,chemicalentity_chemicalentity,91581619,-0.09965543448925018,-0.2425281074611494,ACCEPT,kojic acid,[6-(hydroxymethyl)-4-oxopyran-3-yl] dodecanoate,[],False,False,False,False,,,
3840,chemicalentity_biologicalprocess,GO:0090403,-0.025197720155119896,-0.232143107153421,ACCEPT,kojic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,,
3840,chemicalentity_inhibits_biologicalprocess,GO:0090403,-0.22085890173912048,-0.7050372264239742,ACCEPT,kojic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2648, 'chemicalentity_noeffect_biologicalprocess': -1.1607, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4432, 'chemicalentity_promotes_biologicalprocess': -0.3544, 'chemicalentity_inhibits_biologicalprocess': -0.2209, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3479}"
3840,chemicalentity_protein,D3VVE9,-0.8374665975570679,-0.3552259656009227,REJECT,kojic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
3840,chemicalentity_protein,Q5STF9,-0.02140091173350811,-0.3552259656009227,ACCEPT,kojic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
91581619,chemicalentity_biologicalprocess,GO:0090403,-1.766506314277649,-0.232143107153421,REJECT,[6-(hydroxymethyl)-4-oxopyran-3-yl] dodecanoate,oxidative stress-induced premature senescence,[],False,False,False,False,,,
91581619,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.2713944911956787,-0.596142909254255,REJECT,[6-(hydroxymethyl)-4-oxopyran-3-yl] dodecanoate,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.2714, 'chemicalentity_noeffect_biologicalprocess': -2.3549, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4405, 'chemicalentity_promotes_biologicalprocess': -2.1635, 'chemicalentity_inhibits_biologicalprocess': -1.8775, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.3135}"
91581619,chemicalentity_protein,D3VVE9,-1.1029595136642456,-0.3552259656009227,REJECT,[6-(hydroxymethyl)-4-oxopyran-3-yl] dodecanoate,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
91581619,chemicalentity_protein,Q5STF9,-1.0414814949035645,-0.3552259656009227,REJECT,[6-(hydroxymethyl)-4-oxopyran-3-yl] dodecanoate,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,D3VVE9,-0.38888129591941833,-0.4342587681103441,ACCEPT,oxidative stress-induced premature senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
