head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
79025,chemicalentity_biologicalprocess,GO:0008286,-0.37900033593177795,-0.232143107153421,REJECT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",insulin receptor signaling pathway,[],False,False,False,False,,,
79025,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008286,-0.48792025446891785,-0.596142909254255,ACCEPT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",insulin receptor signaling pathway,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4879, 'chemicalentity_noeffect_biologicalprocess': -1.9613, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7178, 'chemicalentity_promotes_biologicalprocess': -0.906, 'chemicalentity_inhibits_biologicalprocess': -0.6169, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6727}"
79025,chemicalentity_biologicalprocess,GO:1904603,-0.37202876806259155,-0.232143107153421,REJECT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",regulation of advanced glycation end-product receptor activity,[],False,False,False,False,,,
79025,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1904603,-0.5716056227684021,-0.596142909254255,ACCEPT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",regulation of advanced glycation end-product receptor activity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5716, 'chemicalentity_noeffect_biologicalprocess': -1.5607, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7816, 'chemicalentity_promotes_biologicalprocess': -1.2912, 'chemicalentity_inhibits_biologicalprocess': -0.9254, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6833}"
79025,chemicalentity_biologicalprocess,GO:0006839,-0.2573190927505493,-0.232143107153421,REJECT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial transport,[],False,False,False,False,,,
79025,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006839,-0.29669517278671265,-0.596142909254255,ACCEPT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial transport,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2967, 'chemicalentity_noeffect_biologicalprocess': -1.9339, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6737, 'chemicalentity_promotes_biologicalprocess': -1.0068, 'chemicalentity_inhibits_biologicalprocess': -0.5548, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5975}"
79025,chemicalentity_biologicalprocess,GO:0032543,-0.3777065873146057,-0.232143107153421,REJECT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial translation,[],False,False,False,False,,,
79025,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0032543,-0.5511602163314819,-0.596142909254255,ACCEPT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial translation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5512, 'chemicalentity_noeffect_biologicalprocess': -2.0323, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7591, 'chemicalentity_promotes_biologicalprocess': -1.0562, 'chemicalentity_inhibits_biologicalprocess': -0.8498, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6792}"
79025,chemicalentity_biologicalprocess,GO:0006390,-0.34166133403778076,-0.232143107153421,REJECT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial transcription,[],False,False,False,False,,,
79025,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006390,-0.5275898575782776,-0.596142909254255,ACCEPT,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",mitochondrial transcription,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5276, 'chemicalentity_noeffect_biologicalprocess': -2.0591, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8961, 'chemicalentity_promotes_biologicalprocess': -1.1404, 'chemicalentity_inhibits_biologicalprocess': -0.8739, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6883}"
