head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ADSL,gene_protein,O27580,-0.021606257185339928,-0.0280984394514378,ACCEPT,adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
ADSL,gene_protein,P12047,-0.027236424386501312,-0.0280984394514378,ACCEPT,adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
ADSL,gene_protein,Q2G2S0,-0.020250309258699417,-0.0280984394514378,ACCEPT,adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
ADSL,gene_protein,Q5HN26,-0.03989708051085472,-0.0280984394514378,REJECT,adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
ADSL,gene_protein,Q60Q90,-0.051285117864608765,-0.0280984394514378,REJECT,adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
ADSL,gene_biologicalprocess,GO:0097294,-0.026546698063611984,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,'de novo' XMP biosynthetic process,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
ADSL,gene_positivelyassociatedwith_biologicalprocess,GO:0097294,-0.22510679066181183,-0.0730086550790463,REJECT,adenylosuccinate lyase,'de novo' XMP biosynthetic process,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.2495, 'gene_promotes_biologicalprocess': -0.2485, 'gene_negativelyassociatedwith_biologicalprocess': -0.2748, 'gene_positivelyassociatedwith_biologicalprocess': -0.2251, 'gene_notassociatedwith_biologicalprocess': -0.2551}"
ADSL,gene_biologicalprocess,GO:0006164,-0.003356988076120615,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,purine nucleotide biosynthetic process,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
ADSL,gene_promotes_biologicalprocess,GO:0006164,-0.07968159019947052,-0.0617563253450388,REJECT,adenylosuccinate lyase,purine nucleotide biosynthetic process,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.0959, 'gene_promotes_biologicalprocess': -0.0797, 'gene_negativelyassociatedwith_biologicalprocess': -0.1856, 'gene_positivelyassociatedwith_biologicalprocess': -0.1357, 'gene_notassociatedwith_biologicalprocess': -0.1513}"
ADSL,gene_biologicalprocess,GO:0106387,-0.06593045592308044,-0.0356325677219588,REJECT,adenylosuccinate lyase,^de novo^ GMP biosynthetic process,[],False,False,False,False,,,
ADSL,gene_positivelyassociatedwith_biologicalprocess,GO:0106387,-0.4856283366680145,-0.0730086550790463,REJECT,adenylosuccinate lyase,^de novo^ GMP biosynthetic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6044, 'gene_promotes_biologicalprocess': -0.6204, 'gene_negativelyassociatedwith_biologicalprocess': -0.5006, 'gene_positivelyassociatedwith_biologicalprocess': -0.4856, 'gene_notassociatedwith_biologicalprocess': -0.6281}"
ADSL,gene_biologicalprocess,GO:0006189,-0.004887469112873077,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,'de novo' IMP biosynthetic process,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
ADSL,gene_inhibits_biologicalprocess,GO:0006189,-0.08493664860725403,-0.0559618705714699,REJECT,adenylosuccinate lyase,'de novo' IMP biosynthetic process,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.0849, 'gene_promotes_biologicalprocess': -0.0898, 'gene_negativelyassociatedwith_biologicalprocess': -0.228, 'gene_positivelyassociatedwith_biologicalprocess': -0.1584, 'gene_notassociatedwith_biologicalprocess': -0.1804}"
ADSL,gene_biologicalprocess,GO:0006950,-0.0060789394192397594,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,response to stress,[],False,False,False,False,,,
ADSL,gene_promotes_biologicalprocess,GO:0006950,-0.12591613829135895,-0.0617563253450388,REJECT,adenylosuccinate lyase,response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1302, 'gene_promotes_biologicalprocess': -0.1259, 'gene_negativelyassociatedwith_biologicalprocess': -0.2657, 'gene_positivelyassociatedwith_biologicalprocess': -0.1766, 'gene_notassociatedwith_biologicalprocess': -0.2282}"
ADSL,gene_biologicalprocess,GO:0033554,-0.008045966736972332,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,cellular response to stress,[],False,False,False,False,,,
ADSL,gene_promotes_biologicalprocess,GO:0033554,-0.10453054308891296,-0.0617563253450388,REJECT,adenylosuccinate lyase,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1541, 'gene_promotes_biologicalprocess': -0.1045, 'gene_negativelyassociatedwith_biologicalprocess': -0.2715, 'gene_positivelyassociatedwith_biologicalprocess': -0.1823, 'gene_notassociatedwith_biologicalprocess': -0.2564}"
ADSL,gene_biologicalprocess,GO:0006979,-0.002048037713393569,-0.0356325677219588,ACCEPT,adenylosuccinate lyase,response to oxidative stress,[],False,False,False,False,,,
ADSL,gene_promotes_biologicalprocess,GO:0006979,-0.04714573919773102,-0.0617563253450388,ACCEPT,adenylosuccinate lyase,response to oxidative stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0673, 'gene_promotes_biologicalprocess': -0.0471, 'gene_negativelyassociatedwith_biologicalprocess': -0.1443, 'gene_positivelyassociatedwith_biologicalprocess': -0.1026, 'gene_notassociatedwith_biologicalprocess': -0.1478}"
O27580,protein_protein,P12047,-0.7663625478744507,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
O27580,protein_protein,Q2G2S0,-0.8069150447845459,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
O27580,protein_protein,Q5HN26,-0.5802872776985168,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
O27580,protein_protein,Q60Q90,-0.6317748427391052,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0097294,-0.6851463913917542,-0.5776643345681309,REJECT,Adenylosuccinate lyase,'de novo' XMP biosynthetic process,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0006164,-0.3085542619228363,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,purine nucleotide biosynthetic process,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0106387,-1.3009819984436035,-0.5776643345681309,REJECT,Adenylosuccinate lyase,^de novo^ GMP biosynthetic process,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0006189,-0.23632177710533142,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,'de novo' IMP biosynthetic process,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0006950,-0.2255723923444748,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,response to stress,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0033554,-0.3413706123828888,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,cellular response to stress,[],False,False,False,False,,,
O27580,protein_biologicalprocess,GO:0006979,-0.32669734954833984,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,response to oxidative stress,[],False,False,False,False,,,
P12047,protein_protein,Q2G2S0,-0.8082596063613892,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
P12047,protein_protein,Q5HN26,-0.5655290484428406,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
P12047,protein_protein,Q60Q90,-0.6229704022407532,-0.2036837140803804,REJECT,Adenylosuccinate lyase,Adenylosuccinate lyase,[],False,False,False,False,,,
P12047,protein_biologicalprocess,GO:0097294,-0.8172311782836914,-0.5776643345681309,REJECT,Adenylosuccinate lyase,'de novo' XMP biosynthetic process,[],False,False,False,False,,,
P12047,protein_biologicalprocess,GO:0006164,-0.4152538478374481,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,purine nucleotide biosynthetic process,[],False,False,False,False,,,
P12047,protein_biologicalprocess,GO:0106387,-1.5088932514190674,-0.5776643345681309,REJECT,Adenylosuccinate lyase,^de novo^ GMP biosynthetic process,[],False,False,False,False,,,
P12047,protein_biologicalprocess,GO:0006189,-0.30629900097846985,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,'de novo' IMP biosynthetic process,['Protein_BiologicalProcess'],False,True,True,False,Protein_BiologicalProcess,,
P12047,protein_biologicalprocess,GO:0006950,-0.3045109808444977,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,response to stress,[],False,False,False,False,,,
P12047,protein_biologicalprocess,GO:0033554,-0.48059892654418945,-0.5776643345681309,ACCEPT,Adenylosuccinate lyase,cellular response to stress,[],False,False,False,False,,,
