head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ABAT,gene_protein,Q84P53,-0.050166260451078415,-0.0280984394514378,REJECT,4-aminobutyrate aminotransferase,Gamma aminobutyrate transaminase 2,[],False,False,False,False,,,
ABAT,gene_protein,Q6ZH29,-0.04096655175089836,-0.0280984394514378,REJECT,4-aminobutyrate aminotransferase,Probable gamma-aminobutyrate transaminase 4,[],False,False,False,False,,,
ABAT,gene_protein,Q01K11,-0.06143322214484215,-0.0280984394514378,REJECT,4-aminobutyrate aminotransferase,"Gamma-aminobutyrate transaminase 1, mitochondrial",[],False,False,False,False,,,
ABAT,gene_protein,Q84P54,-0.06486919522285461,-0.0280984394514378,REJECT,4-aminobutyrate aminotransferase,"Gamma aminobutyrate transaminase 1, mitochondrial",[],False,False,False,False,,,
ABAT,gene_protein,Q7XN11,-0.04028378427028656,-0.0280984394514378,REJECT,4-aminobutyrate aminotransferase,"Gamma-aminobutyrate transaminase 1, mitochondrial",[],False,False,False,False,,,
ABAT,gene_biologicalprocess,GO:0009399,-0.01899603195488453,-0.0356325677219588,ACCEPT,4-aminobutyrate aminotransferase,nitrogen fixation,[],False,False,False,False,,,
ABAT,gene_inhibits_biologicalprocess,GO:0009399,-0.22340093553066254,-0.0559618705714699,REJECT,4-aminobutyrate aminotransferase,nitrogen fixation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2234, 'gene_promotes_biologicalprocess': -0.242, 'gene_negativelyassociatedwith_biologicalprocess': -0.2747, 'gene_positivelyassociatedwith_biologicalprocess': -0.2377, 'gene_notassociatedwith_biologicalprocess': -0.3227}"
ABAT,gene_biologicalprocess,GO:0001659,-0.0028210238087922335,-0.0356325677219588,ACCEPT,4-aminobutyrate aminotransferase,temperature homeostasis,[],False,False,False,False,,,
ABAT,gene_positivelyassociatedwith_biologicalprocess,GO:0001659,-0.12289243936538696,-0.0730086550790463,REJECT,4-aminobutyrate aminotransferase,temperature homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1463, 'gene_promotes_biologicalprocess': -0.1311, 'gene_negativelyassociatedwith_biologicalprocess': -0.1651, 'gene_positivelyassociatedwith_biologicalprocess': -0.1229, 'gene_notassociatedwith_biologicalprocess': -0.1894}"
ABAT,gene_biologicalprocess,GO:0071684,-0.027496973052620888,-0.0356325677219588,ACCEPT,4-aminobutyrate aminotransferase,organism emergence from protective structure,[],False,False,False,False,,,
ABAT,gene_inhibits_biologicalprocess,GO:0071684,-0.23021115362644196,-0.0559618705714699,REJECT,4-aminobutyrate aminotransferase,organism emergence from protective structure,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2302, 'gene_promotes_biologicalprocess': -0.2741, 'gene_negativelyassociatedwith_biologicalprocess': -0.2958, 'gene_positivelyassociatedwith_biologicalprocess': -0.2851, 'gene_notassociatedwith_biologicalprocess': -0.4103}"
