head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PGP,gene_molecularfunction,GO:0019902,-0.014691201038658619,-0.0286995250249342,ACCEPT,phosphoglycolate phosphatase,phosphatase binding,[],False,False,False,False,,,
PGP,gene_molecularfunction,GO:0016791,-0.0017316563753411174,-0.0286995250249342,ACCEPT,phosphoglycolate phosphatase,phosphatase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
PGP,gene_phenotype,embryo phenotype,-0.04809923097491264,-0.0347684314162952,REJECT,phosphoglycolate phosphatase,embryo phenotype,['Gene_Phenotype'],False,True,True,False,Gene_Phenotype,,
PGP,gene_phenotype,muscle phenotype,-0.02209450677037239,-0.0347684314162952,ACCEPT,phosphoglycolate phosphatase,muscle phenotype,[],False,False,False,False,,,
PGP,gene_biologicalprocess,GO:0099518,-0.026967141777276993,-0.0356325677219588,ACCEPT,phosphoglycolate phosphatase,vesicle cytoskeletal trafficking,[],False,False,False,False,,,
PGP,gene_inhibits_biologicalprocess,GO:0099518,-0.2822839021682739,-0.0559618705714699,REJECT,phosphoglycolate phosphatase,vesicle cytoskeletal trafficking,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2823, 'gene_promotes_biologicalprocess': -0.3915, 'gene_negativelyassociatedwith_biologicalprocess': -0.5008, 'gene_positivelyassociatedwith_biologicalprocess': -0.5051, 'gene_notassociatedwith_biologicalprocess': -0.4624}"
PGP,gene_biologicalprocess,GO:0009266,-0.013061076402664185,-0.0356325677219588,ACCEPT,phosphoglycolate phosphatase,response to temperature stimulus,[],False,False,False,False,,,
PGP,gene_promotes_biologicalprocess,GO:0009266,-0.13145898282527924,-0.0617563253450388,REJECT,phosphoglycolate phosphatase,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1334, 'gene_promotes_biologicalprocess': -0.1315, 'gene_negativelyassociatedwith_biologicalprocess': -0.2767, 'gene_positivelyassociatedwith_biologicalprocess': -0.1774, 'gene_notassociatedwith_biologicalprocess': -0.2781}"
PGP,gene_biologicalprocess,GO:0071502,-0.016905950382351875,-0.0356325677219588,ACCEPT,phosphoglycolate phosphatase,cellular response to temperature stimulus,[],False,False,False,False,,,
PGP,gene_promotes_biologicalprocess,GO:0071502,-0.11167746037244797,-0.0617563253450388,REJECT,phosphoglycolate phosphatase,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1376, 'gene_promotes_biologicalprocess': -0.1117, 'gene_negativelyassociatedwith_biologicalprocess': -0.174, 'gene_positivelyassociatedwith_biologicalprocess': -0.1686, 'gene_notassociatedwith_biologicalprocess': -0.2203}"
GO:0019902,molecularfunction_molecularfunction,GO:0016791,-0.006725568789988756,-0.0413108806514266,ACCEPT,phosphatase binding,phosphatase activity,[],False,False,False,False,,,
GO:0019902,molecularfunction_biologicalprocess,GO:0099518,-0.028223520144820213,-0.0147993624499696,REJECT,phosphatase binding,vesicle cytoskeletal trafficking,[],False,False,False,False,,,
GO:0019902,molecularfunction_biologicalprocess,GO:0009266,-0.01472947746515274,-0.0147993624499696,ACCEPT,phosphatase binding,response to temperature stimulus,[],False,False,False,False,,,
GO:0019902,molecularfunction_biologicalprocess,GO:0071502,-0.026189129799604416,-0.0147993624499696,REJECT,phosphatase binding,cellular response to temperature stimulus,[],False,False,False,False,,,
GO:0016791,molecularfunction_biologicalprocess,GO:0099518,-0.0001808808883652091,-0.0147993624499696,ACCEPT,phosphatase activity,vesicle cytoskeletal trafficking,[],False,False,False,False,,,
GO:0016791,molecularfunction_biologicalprocess,GO:0009266,-2.702488927752711e-05,-0.0147993624499696,ACCEPT,phosphatase activity,response to temperature stimulus,[],False,False,False,False,,,
GO:0016791,molecularfunction_biologicalprocess,GO:0071502,-0.00014689516683574766,-0.0147993624499696,ACCEPT,phosphatase activity,cellular response to temperature stimulus,[],False,False,False,False,,,
embryo phenotype,phenotype_molecularfunction,GO:0019902,-0.3998230993747711,-0.4457983972888497,ACCEPT,embryo phenotype,phosphatase binding,[],False,False,False,False,,,
embryo phenotype,phenotype_molecularfunction,GO:0016791,-0.2049485445022583,-0.4457983972888497,ACCEPT,embryo phenotype,phosphatase activity,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,muscle phenotype,-2.5466511249542236,-0.150242852206178,REJECT,embryo phenotype,muscle phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_biologicalprocess,GO:0099518,-0.7785390019416809,-0.607891854730636,REJECT,embryo phenotype,vesicle cytoskeletal trafficking,[],False,False,False,False,,,
embryo phenotype,phenotype_biologicalprocess,GO:0009266,-0.6506063938140869,-0.607891854730636,REJECT,embryo phenotype,response to temperature stimulus,[],False,False,False,False,,,
embryo phenotype,phenotype_biologicalprocess,GO:0071502,-0.6465007066726685,-0.607891854730636,REJECT,embryo phenotype,cellular response to temperature stimulus,[],False,False,False,False,,,
muscle phenotype,phenotype_molecularfunction,GO:0019902,-0.48319342732429504,-0.4457983972888497,REJECT,muscle phenotype,phosphatase binding,[],False,False,False,False,,,
muscle phenotype,phenotype_molecularfunction,GO:0016791,-0.2760410010814667,-0.4457983972888497,ACCEPT,muscle phenotype,phosphatase activity,[],False,False,False,False,,,
