head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
709625,chemicalentity_tissue,BTO:0000443,-0.9240831732749939,-0.5973483094156968,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,adipocyte,[],False,False,False,False,,,
709625,chemicalentity_protein,P48035,-0.6945471167564392,-0.3552259656009227,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,"Fatty acid-binding protein, adipocyte",[],False,False,False,False,,,
709625,chemicalentity_gene,TPRA1,-0.4260978102684021,-0.2458965898096785,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,transmembrane protein adipocyte associated 1,[],False,False,False,False,,,
709625,chemicalentity_pathway,R-HSA-381340,-1.0525943040847778,-0.3200630854546729,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,Transcriptional regulation of white adipocyte differentiation,[],False,False,False,False,,,
709625,chemicalentity_tissue,BTO:0000575,-0.8182710409164429,-0.5973483094156968,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte,[],False,False,False,False,,,
709625,chemicalentity_biologicalprocess,GO:0036333,-1.3001376390457153,-0.232143107153421,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte homeostasis,[],False,False,False,False,,,
709625,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0036333,-1.079878807067871,-0.596142909254255,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte homeostasis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0799, 'chemicalentity_noeffect_biologicalprocess': -2.302, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4797, 'chemicalentity_promotes_biologicalprocess': -2.2245, 'chemicalentity_inhibits_biologicalprocess': -1.8193, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1467}"
709625,chemicalentity_biologicalprocess,GO:0072574,-1.0439326763153076,-0.232143107153421,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte proliferation,[],False,False,False,False,,,
709625,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0072574,-0.8291044235229492,-0.596142909254255,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte proliferation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8291, 'chemicalentity_noeffect_biologicalprocess': -1.5932, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0233, 'chemicalentity_promotes_biologicalprocess': -1.4042, 'chemicalentity_inhibits_biologicalprocess': -1.1133, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8734}"
709625,chemicalentity_biologicalprocess,GO:0070365,-1.5584173202514648,-0.232143107153421,REJECT,2-[[(E)-3-phenylprop-2-enoyl]amino]acetic acid,hepatocyte differentiation,[],False,False,False,False,,,
