head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YER073W,gene_phenotype,WBPhenotype:0001893,-0.1714411824941635,-0.0347684314162952,REJECT,aldehyde dehydrogenase (NAD(P)(+)) ALD5,mitochondrial membrane potential reduced,[],False,False,False,False,,,
YER073W,gene_phenotype,WBPhenotype:0002263,-0.13516993820667267,-0.0347684314162952,REJECT,aldehyde dehydrogenase (NAD(P)(+)) ALD5,mitochondrial membrane potential increased,[],False,False,False,False,,,
YER073W,gene_gene,Susp,-0.47106966376304626,-0.071739344080056,REJECT,aldehyde dehydrogenase (NAD(P)(+)) ALD5,suppressor of superoxide production,[],False,False,False,False,,,
YER073W,gene_biologicalprocess,GO:0030437,-0.11282853782176971,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NAD(P)(+)) ALD5,ascospore formation,[],False,False,False,False,,,
YER073W,gene_inhibits_biologicalprocess,GO:0030437,-0.4960271418094635,-0.0559618705714699,REJECT,aldehyde dehydrogenase (NAD(P)(+)) ALD5,ascospore formation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.496, 'gene_promotes_biologicalprocess': -0.6916, 'gene_negativelyassociatedwith_biologicalprocess': -0.5976, 'gene_positivelyassociatedwith_biologicalprocess': -0.5534, 'gene_notassociatedwith_biologicalprocess': -0.6626}"
WBPhenotype:0001893,phenotype_phenotype,WBPhenotype:0002263,-2.6118509769439697,-0.150242852206178,REJECT,mitochondrial membrane potential reduced,mitochondrial membrane potential increased,[],False,False,False,False,,,
WBPhenotype:0001893,phenotype_gene,Susp,-1.6964117288589478,-0.1233359341644249,REJECT,mitochondrial membrane potential reduced,suppressor of superoxide production,[],False,False,False,False,,,
WBPhenotype:0001893,phenotype_biologicalprocess,GO:0030437,-0.6582666039466858,-0.607891854730636,REJECT,mitochondrial membrane potential reduced,ascospore formation,[],False,False,False,False,,,
WBPhenotype:0002263,phenotype_gene,Susp,-1.472006916999817,-0.1233359341644249,REJECT,mitochondrial membrane potential increased,suppressor of superoxide production,[],False,False,False,False,,,
WBPhenotype:0002263,phenotype_biologicalprocess,GO:0030437,-0.2228398472070694,-0.607891854730636,ACCEPT,mitochondrial membrane potential increased,ascospore formation,[],False,False,False,False,,,
Susp,gene_biologicalprocess,GO:0030437,-2.8266499042510986,-0.0356325677219588,REJECT,suppressor of superoxide production,ascospore formation,[],False,False,False,False,,,
Susp,gene_positivelyassociatedwith_biologicalprocess,GO:0030437,-1.6347298622131348,-0.0730086550790463,REJECT,suppressor of superoxide production,ascospore formation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.4707, 'gene_promotes_biologicalprocess': -2.3631, 'gene_negativelyassociatedwith_biologicalprocess': -1.953, 'gene_positivelyassociatedwith_biologicalprocess': -1.6347, 'gene_notassociatedwith_biologicalprocess': -1.7918}"
