head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
HTD2,gene_biologicalprocess,GO:0009060,-0.006608206313103437,-0.0356325677219588,ACCEPT,hydroxyacyl-thioester dehydratase type 2,aerobic respiration,[],False,False,False,False,,,
HTD2,gene_inhibits_biologicalprocess,GO:0009060,-0.14021117985248566,-0.0559618705714699,REJECT,hydroxyacyl-thioester dehydratase type 2,aerobic respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1402, 'gene_promotes_biologicalprocess': -0.2106, 'gene_negativelyassociatedwith_biologicalprocess': -0.3538, 'gene_positivelyassociatedwith_biologicalprocess': -0.268, 'gene_notassociatedwith_biologicalprocess': -0.3241}"
HTD2,gene_biologicalprocess,GO:0045333,-0.021572250872850418,-0.0356325677219588,ACCEPT,hydroxyacyl-thioester dehydratase type 2,cellular respiration,[],False,False,False,False,,,
HTD2,gene_inhibits_biologicalprocess,GO:0045333,-0.1961401253938675,-0.0559618705714699,REJECT,hydroxyacyl-thioester dehydratase type 2,cellular respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1961, 'gene_promotes_biologicalprocess': -0.2012, 'gene_negativelyassociatedwith_biologicalprocess': -0.3435, 'gene_positivelyassociatedwith_biologicalprocess': -0.2762, 'gene_notassociatedwith_biologicalprocess': -0.3184}"
HTD2,gene_biologicalprocess,GO:0010230,-0.05669641122221947,-0.0356325677219588,REJECT,hydroxyacyl-thioester dehydratase type 2,alternative respiration,[],False,False,False,False,,,
HTD2,gene_inhibits_biologicalprocess,GO:0010230,-0.2846693694591522,-0.0559618705714699,REJECT,hydroxyacyl-thioester dehydratase type 2,alternative respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2847, 'gene_promotes_biologicalprocess': -0.3779, 'gene_negativelyassociatedwith_biologicalprocess': -0.4361, 'gene_positivelyassociatedwith_biologicalprocess': -0.403, 'gene_notassociatedwith_biologicalprocess': -0.4737}"
HTD2,gene_chemicalentity,5957,-0.027231531217694283,-0.0285922419958417,ACCEPT,hydroxyacyl-thioester dehydratase type 2,ATP,[],False,False,False,False,,,
HTD2,gene_biologicalprocess,GO:0034605,-0.0068428427912294865,-0.0356325677219588,ACCEPT,hydroxyacyl-thioester dehydratase type 2,cellular response to heat,[],False,False,False,False,,,
HTD2,gene_inhibits_biologicalprocess,GO:0034605,-0.08584606647491455,-0.0559618705714699,REJECT,hydroxyacyl-thioester dehydratase type 2,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0858, 'gene_promotes_biologicalprocess': -0.0942, 'gene_negativelyassociatedwith_biologicalprocess': -0.2322, 'gene_positivelyassociatedwith_biologicalprocess': -0.1682, 'gene_notassociatedwith_biologicalprocess': -0.2167}"
HTD2,gene_biologicalprocess,GO:1900034,-0.01671362854540348,-0.0356325677219588,ACCEPT,hydroxyacyl-thioester dehydratase type 2,regulation of cellular response to heat,[],False,False,False,False,,,
HTD2,gene_inhibits_biologicalprocess,GO:1900034,-0.2059314101934433,-0.0559618705714699,REJECT,hydroxyacyl-thioester dehydratase type 2,regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2059, 'gene_promotes_biologicalprocess': -0.2409, 'gene_negativelyassociatedwith_biologicalprocess': -0.3274, 'gene_positivelyassociatedwith_biologicalprocess': -0.2354, 'gene_notassociatedwith_biologicalprocess': -0.2964}"
HTD2,gene_biologicalprocess,GO:1900036,-0.03793593496084213,-0.0356325677219588,REJECT,hydroxyacyl-thioester dehydratase type 2,positive regulation of cellular response to heat,[],False,False,False,False,,,
