head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GO:0005759,cellularcomponent_cellularcomponent,GO:0030061,-4.531297292942327e-07,-0.0349261329401597,ACCEPT,mitochondrial matrix,mitochondrial crista,[],False,False,False,False,,,
GO:0005759,cellularcomponent_cellularcomponent,GO:0031966,-2.3375783086976298e-07,-0.0349261329401597,ACCEPT,mitochondrial matrix,mitochondrial membrane,[],False,False,False,False,,,
GO:0005759,cellularcomponent_cellularcomponent,GO:0005740,-2.6875741809817555e-07,-0.0349261329401597,ACCEPT,mitochondrial matrix,mitochondrial envelope,[],False,False,False,False,,,
GO:0005759,cellularcomponent_gene,Rosq1,-0.27409282326698303,-0.0325983804673724,REJECT,mitochondrial matrix,reactive oxygen species QTL 1,[],False,False,False,False,,,
GO:0005759,cellularcomponent_gene,Y94A7B.11,-0.004396562464535236,-0.0325983804673724,ACCEPT,mitochondrial matrix,Reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0005759,cellularcomponent_gene,F15D4.3,-0.0070366207510232925,-0.0325983804673724,ACCEPT,mitochondrial matrix,Reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0005759,cellularcomponent_gene,ROMO1,-0.00037079426692798734,-0.0325983804673724,ACCEPT,mitochondrial matrix,reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0005759,cellularcomponent_chemicalentity,7058055,-0.05244375020265579,-0.1936719522778712,ACCEPT,mitochondrial matrix,ADP(3-),[],False,False,False,False,,,
GO:0030061,cellularcomponent_cellularcomponent,GO:0031966,-1.0727305379987229e-05,-0.0349261329401597,ACCEPT,mitochondrial crista,mitochondrial membrane,[],False,False,False,False,,,
GO:0030061,cellularcomponent_cellularcomponent,GO:0005740,-1.2404484550643247e-05,-0.0349261329401597,ACCEPT,mitochondrial crista,mitochondrial envelope,[],False,False,False,False,,,
GO:0030061,cellularcomponent_gene,Rosq1,-0.31709834933280945,-0.0325983804673724,REJECT,mitochondrial crista,reactive oxygen species QTL 1,[],False,False,False,False,,,
GO:0030061,cellularcomponent_gene,Y94A7B.11,-0.024665679782629013,-0.0325983804673724,ACCEPT,mitochondrial crista,Reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0030061,cellularcomponent_gene,F15D4.3,-0.033151138573884964,-0.0325983804673724,REJECT,mitochondrial crista,Reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0030061,cellularcomponent_gene,ROMO1,-0.005538738798350096,-0.0325983804673724,ACCEPT,mitochondrial crista,reactive oxygen species modulator 1,[],False,False,False,False,,,
GO:0030061,cellularcomponent_chemicalentity,7058055,-0.06913509219884872,-0.1936719522778712,ACCEPT,mitochondrial crista,ADP(3-),[],False,False,False,False,,,
