head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
AK2,gene_biologicalprocess,GO:0009060,-0.0016019403701648116,-0.0356325677219588,ACCEPT,adenylate kinase 2,aerobic respiration,[],False,False,False,False,,,
AK2,gene_promotes_biologicalprocess,GO:0009060,-0.08797861635684967,-0.0617563253450388,REJECT,adenylate kinase 2,aerobic respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1026, 'gene_promotes_biologicalprocess': -0.088, 'gene_negativelyassociatedwith_biologicalprocess': -0.1936, 'gene_positivelyassociatedwith_biologicalprocess': -0.1338, 'gene_notassociatedwith_biologicalprocess': -0.2196}"
AK2,gene_biologicalprocess,GO:0045333,-0.005772960372269154,-0.0356325677219588,ACCEPT,adenylate kinase 2,cellular respiration,[],False,False,False,False,,,
AK2,gene_promotes_biologicalprocess,GO:0045333,-0.07747376710176468,-0.0617563253450388,REJECT,adenylate kinase 2,cellular respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1322, 'gene_promotes_biologicalprocess': -0.0775, 'gene_negativelyassociatedwith_biologicalprocess': -0.1635, 'gene_positivelyassociatedwith_biologicalprocess': -0.1353, 'gene_notassociatedwith_biologicalprocess': -0.1874}"
AK2,gene_biologicalprocess,GO:0009061,-0.016812140122056007,-0.0356325677219588,ACCEPT,adenylate kinase 2,anaerobic respiration,[],False,False,False,False,,,
AK2,gene_promotes_biologicalprocess,GO:0009061,-0.21867744624614716,-0.0617563253450388,REJECT,adenylate kinase 2,anaerobic respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2934, 'gene_promotes_biologicalprocess': -0.2187, 'gene_negativelyassociatedwith_biologicalprocess': -0.3607, 'gene_positivelyassociatedwith_biologicalprocess': -0.2631, 'gene_notassociatedwith_biologicalprocess': -0.4659}"
AK2,gene_biologicalprocess,GO:0010230,-0.027907149866223335,-0.0356325677219588,ACCEPT,adenylate kinase 2,alternative respiration,[],False,False,False,False,,,
AK2,gene_promotes_biologicalprocess,GO:0010230,-0.2575901448726654,-0.0617563253450388,REJECT,adenylate kinase 2,alternative respiration,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2688, 'gene_promotes_biologicalprocess': -0.2576, 'gene_negativelyassociatedwith_biologicalprocess': -0.3561, 'gene_positivelyassociatedwith_biologicalprocess': -0.3016, 'gene_notassociatedwith_biologicalprocess': -0.4315}"
GO:0009060,biologicalprocess_biologicalprocess,GO:0045333,-0.0005025762366130948,-0.0422867482620858,ACCEPT,aerobic respiration,cellular respiration,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0009060,biologicalprocess_biologicalprocess,GO:0009061,-0.0012679320061579347,-0.0422867482620858,ACCEPT,aerobic respiration,anaerobic respiration,[],False,False,False,False,,,
GO:0009060,biologicalprocess_biologicalprocess,GO:0010230,-0.007430379278957844,-0.0422867482620858,ACCEPT,aerobic respiration,alternative respiration,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0045333,biologicalprocess_biologicalprocess,GO:0009061,-0.0042224726639688015,-0.0422867482620858,ACCEPT,cellular respiration,anaerobic respiration,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0045333,biologicalprocess_biologicalprocess,GO:0010230,-0.018287619575858116,-0.0422867482620858,ACCEPT,cellular respiration,alternative respiration,[],False,False,False,False,,,
GO:0009061,biologicalprocess_biologicalprocess,GO:0010230,-0.11691240966320038,-0.0422867482620858,REJECT,anaerobic respiration,alternative respiration,[],False,False,False,False,,,
