head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
SLC35B1,gene_biologicalprocess,GO:0072334,-0.008221423253417015,-0.0356325677219588,ACCEPT,solute carrier family 35 member B1,UDP-galactose transmembrane transport,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
SLC35B1,gene_positivelyassociatedwith_biologicalprocess,GO:0072334,-0.29893937706947327,-0.0730086550790463,REJECT,solute carrier family 35 member B1,UDP-galactose transmembrane transport,['BiologicalProcess_Gene'],False,True,False,False,BiologicalProcess_Gene,5.0,"{'gene_inhibits_biologicalprocess': -0.3037, 'gene_promotes_biologicalprocess': -0.4439, 'gene_negativelyassociatedwith_biologicalprocess': -0.3483, 'gene_positivelyassociatedwith_biologicalprocess': -0.2989, 'gene_notassociatedwith_biologicalprocess': -0.3796}"
SLC35B1,gene_cellularcomponent,GO:0005796,-0.004848377779126167,-0.0358198597771757,ACCEPT,solute carrier family 35 member B1,Golgi lumen,[],False,False,False,False,,,
SLC35B1,gene_cellularcomponent,GO:0034469,-0.5055050849914551,-0.0358198597771757,REJECT,solute carrier family 35 member B1,Golgi stack lumen,[],False,False,False,False,,,
SLC35B1,gene_cellularcomponent,GO:0070931,-0.10430137068033218,-0.0358198597771757,REJECT,solute carrier family 35 member B1,Golgi-associated vesicle lumen,[],False,False,False,False,,,
SLC35B1,gene_phenotype,wild-type,-0.022321240976452827,-0.0347684314162952,ACCEPT,solute carrier family 35 member B1,wild-type,[],False,False,False,False,,,
SLC35B1,gene_disease,DOID:0080937,-0.007056307978928089,-0.0375339126131901,ACCEPT,solute carrier family 35 member B1,wild-type amyloidosis,[],False,False,False,False,,,
SLC35B1,gene_disease,C2931860,-0.04434718191623688,-0.0375339126131901,REJECT,solute carrier family 35 member B1,deletion 5p,[],False,False,False,False,,,
SLC35B1,gene_disease,C2931574,-0.12642505764961243,-0.0375339126131901,REJECT,solute carrier family 35 member B1,Deletion 5q35,[],False,False,False,False,,,
SLC35B1,gene_disease,C2931803,-0.04877232015132904,-0.0375339126131901,REJECT,solute carrier family 35 member B1,deletion 11p13,[],False,False,False,False,,,
SLC35B1,gene_disease,D002872,-0.028472784906625748,-0.0375339126131901,ACCEPT,solute carrier family 35 member B1,Chromosome Deletion,[],False,False,False,False,,,
SLC35B1,gene_biologicalprocess,GO:0034605,-0.003723765490576625,-0.0356325677219588,ACCEPT,solute carrier family 35 member B1,cellular response to heat,[],False,False,False,False,,,
SLC35B1,gene_promotes_biologicalprocess,GO:0034605,-0.0876324400305748,-0.0617563253450388,REJECT,solute carrier family 35 member B1,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1172, 'gene_promotes_biologicalprocess': -0.0876, 'gene_negativelyassociatedwith_biologicalprocess': -0.1917, 'gene_positivelyassociatedwith_biologicalprocess': -0.1063, 'gene_notassociatedwith_biologicalprocess': -0.2512}"
SLC35B1,gene_biologicalprocess,GO:1900034,-0.010164163075387478,-0.0356325677219588,ACCEPT,solute carrier family 35 member B1,regulation of cellular response to heat,[],False,False,False,False,,,
