head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
DB00127,chemicalentity_chemicalentity,446718,-0.7575734257698059,-0.2425281074611494,REJECT,Spermine,spermine(4+),[],False,False,False,False,,,
DB00127,chemicalentity_disease,D006948,-1.237817645072937,-0.5678040704453142,REJECT,Spermine,Hyperkinesis,[],False,False,False,False,,,
DB00127,chemicalentity_biologicalprocess,GO:0001504,-0.9119271039962769,-0.232143107153421,REJECT,Spermine,neurotransmitter uptake,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0001504,-0.790597677230835,-0.596142909254255,REJECT,Spermine,neurotransmitter uptake,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.2718, 'chemicalentity_noeffect_biologicalprocess': -2.1789, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7906, 'chemicalentity_promotes_biologicalprocess': -1.6231, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8811, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0095}"
DB00127,chemicalentity_biologicalprocess,GO:0098810,-1.0177459716796875,-0.232143107153421,REJECT,Spermine,neurotransmitter reuptake,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0098810,-0.8349413275718689,-0.596142909254255,REJECT,Spermine,neurotransmitter reuptake,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.4497, 'chemicalentity_noeffect_biologicalprocess': -2.1174, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8349, 'chemicalentity_promotes_biologicalprocess': -1.5988, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8593, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0536}"
DB00127,chemicalentity_biologicalprocess,GO:0006836,-0.8083703517913818,-0.232143107153421,REJECT,Spermine,neurotransmitter transport,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006836,-0.6717317700386047,-0.596142909254255,REJECT,Spermine,neurotransmitter transport,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.2767, 'chemicalentity_noeffect_biologicalprocess': -2.4663, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6717, 'chemicalentity_promotes_biologicalprocess': -1.6242, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7615, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8253}"
DB00127,chemicalentity_biologicalprocess,GO:0007269,-1.1713929176330566,-0.232143107153421,REJECT,Spermine,neurotransmitter secretion,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007269,-0.9175918698310852,-0.596142909254255,REJECT,Spermine,neurotransmitter secretion,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.6612, 'chemicalentity_noeffect_biologicalprocess': -2.7661, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9176, 'chemicalentity_promotes_biologicalprocess': -1.8217, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9449, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1095}"
DB00127,chemicalentity_biologicalprocess,GO:0099627,-0.7839809060096741,-0.232143107153421,REJECT,Spermine,neurotransmitter receptor cycle,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0099627,-0.8079596757888794,-0.596142909254255,REJECT,Spermine,neurotransmitter receptor cycle,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.3898, 'chemicalentity_noeffect_biologicalprocess': -2.2051, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.808, 'chemicalentity_promotes_biologicalprocess': -1.7534, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8085, 'chemicalentity_notassociatedwith_biologicalprocess': -0.889}"
DB00127,chemicalentity_pathway,R-HSA-112311,-0.4335669279098511,-0.3200630854546729,REJECT,Spermine,Neurotransmitter clearance,[],False,False,False,False,,,
DB00127,chemicalentity_pathway,R-HSA-112310,-0.4989778697490692,-0.3200630854546729,REJECT,Spermine,Neurotransmitter release cycle,[],False,False,False,False,,,
DB00127,chemicalentity_gene,CG7075,-1.2784149646759033,-0.2458965898096785,REJECT,Spermine,Neurotransmitter transporter-like,[],False,False,False,False,,,
DB00127,chemicalentity_biologicalprocess,GO:0006979,-1.4035130739212036,-0.232143107153421,REJECT,Spermine,response to oxidative stress,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006979,-0.9690849781036377,-0.596142909254255,REJECT,Spermine,response to oxidative stress,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.4082, 'chemicalentity_noeffect_biologicalprocess': -2.6776, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9691, 'chemicalentity_promotes_biologicalprocess': -1.5945, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0678, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2356}"
DB00127,chemicalentity_biologicalprocess,GO:0070994,-1.0580705404281616,-0.232143107153421,REJECT,Spermine,detection of oxidative stress,[],False,False,False,False,,,
DB00127,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0070994,-0.991657555103302,-0.5654679724376828,REJECT,Spermine,detection of oxidative stress,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.3846, 'chemicalentity_noeffect_biologicalprocess': -2.3484, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0126, 'chemicalentity_promotes_biologicalprocess': -1.6725, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9917, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1151}"
446718,chemicalentity_disease,D006948,-0.7939114570617676,-0.5678040704453142,REJECT,spermine(4+),Hyperkinesis,[],False,False,False,False,,,
446718,chemicalentity_biologicalprocess,GO:0001504,-0.6324819922447205,-0.232143107153421,REJECT,spermine(4+),neurotransmitter uptake,[],False,False,False,False,,,
446718,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0001504,-0.592047393321991,-0.596142909254255,ACCEPT,spermine(4+),neurotransmitter uptake,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.1077, 'chemicalentity_noeffect_biologicalprocess': -1.9186, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.592, 'chemicalentity_promotes_biologicalprocess': -1.3789, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8058, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9507}"
446718,chemicalentity_biologicalprocess,GO:0098810,-0.7186916470527649,-0.232143107153421,REJECT,spermine(4+),neurotransmitter reuptake,[],False,False,False,False,,,
446718,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0098810,-0.6033576726913452,-0.596142909254255,REJECT,spermine(4+),neurotransmitter reuptake,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -1.2351, 'chemicalentity_noeffect_biologicalprocess': -1.9415, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6034, 'chemicalentity_promotes_biologicalprocess': -1.3644, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8401, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9884}"
446718,chemicalentity_biologicalprocess,GO:0006836,-0.5159077048301697,-0.232143107153421,REJECT,spermine(4+),neurotransmitter transport,[],False,False,False,False,,,
446718,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006836,-0.3655126392841339,-0.596142909254255,ACCEPT,spermine(4+),neurotransmitter transport,[],False,False,False,False,,6.0,"{'chemicalentity_inhibits_biologicalprocess': -0.9992, 'chemicalentity_noeffect_biologicalprocess': -2.2151, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3655, 'chemicalentity_promotes_biologicalprocess': -1.3204, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6343, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7368}"
446718,chemicalentity_biologicalprocess,GO:0007269,-0.7459160089492798,-0.232143107153421,REJECT,spermine(4+),neurotransmitter secretion,[],False,False,False,False,,,
