head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CBR1-AS1,gene_gene,CBR1,-3.896329879760742,-0.071739344080056,REJECT,CBR1 antisense RNA 1,carbonyl reductase 1,[],False,False,False,False,,,
CBR1-AS1,gene_biologicalprocess,GO:0010286,-1.6551892757415771,-0.0356325677219588,REJECT,CBR1 antisense RNA 1,heat acclimation,[],False,False,False,False,,,
CBR1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0010286,-1.2083072662353516,-0.0730086550790463,REJECT,CBR1 antisense RNA 1,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.4905, 'gene_promotes_biologicalprocess': -1.4061, 'gene_negativelyassociatedwith_biologicalprocess': -1.4168, 'gene_positivelyassociatedwith_biologicalprocess': -1.2083, 'gene_notassociatedwith_biologicalprocess': -1.3375}"
CBR1-AS1,gene_biologicalprocess,GO:0070370,-1.4890587329864502,-0.0356325677219588,REJECT,CBR1 antisense RNA 1,cellular heat acclimation,[],False,False,False,False,,,
CBR1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-1.057194471359253,-0.0730086550790463,REJECT,CBR1 antisense RNA 1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.4961, 'gene_promotes_biologicalprocess': -1.405, 'gene_negativelyassociatedwith_biologicalprocess': -1.2658, 'gene_positivelyassociatedwith_biologicalprocess': -1.0572, 'gene_notassociatedwith_biologicalprocess': -1.1539}"
CBR1-AS1,gene_phenotype,abnormal T cell clonal deletion,-0.9540354013442993,-0.0347684314162952,REJECT,CBR1 antisense RNA 1,abnormal T cell clonal deletion,[],False,False,False,False,,,
CBR1-AS1,gene_phenotype,respiratory acidosis,-1.3680179119110107,-0.0347684314162952,REJECT,CBR1 antisense RNA 1,respiratory acidosis,[],False,False,False,False,,,
CBR1-AS1,gene_phenotype,respiratory failure,-2.5871973037719727,-0.0347684314162952,REJECT,CBR1 antisense RNA 1,respiratory failure,[],False,False,False,False,,,
CBR1-AS1,gene_phenotype,respiratory distress,-3.396474838256836,-0.0347684314162952,REJECT,CBR1 antisense RNA 1,respiratory distress,[],False,False,False,False,,,
CBR1-AS1,gene_biologicalprocess,GO:0045730,-1.4829620122909546,-0.0356325677219588,REJECT,CBR1 antisense RNA 1,respiratory burst,[],False,False,False,False,,,
CBR1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0045730,-1.1265413761138916,-0.0730086550790463,REJECT,CBR1 antisense RNA 1,respiratory burst,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3307, 'gene_promotes_biologicalprocess': -1.2005, 'gene_negativelyassociatedwith_biologicalprocess': -1.2833, 'gene_positivelyassociatedwith_biologicalprocess': -1.1265, 'gene_notassociatedwith_biologicalprocess': -1.178}"
CBR1-AS1,gene_pathway,R-MMU-611105,-0.8248581886291504,-0.0346968297443117,REJECT,CBR1 antisense RNA 1,Respiratory electron transport,[],False,False,False,False,,,
CBR1-AS1,gene_cellularcomponent,GO:0098803,-2.3537275791168213,-0.0358198597771757,REJECT,CBR1 antisense RNA 1,respiratory chain complex,[],False,False,False,False,,,
CBR1-AS1,gene_protein,Q62792,-1.5418437719345093,-0.0280984394514378,REJECT,CBR1 antisense RNA 1,Nuclear respiratory factor 1,[],False,False,False,False,,,
CBR1-AS1,gene_gene,NRF1,-4.0069966316223145,-0.071739344080056,REJECT,CBR1 antisense RNA 1,nuclear respiratory factor 1,[],False,False,False,False,,,
CBR1-AS1,gene_phenotype,HP:0030401,-1.164790153503418,-0.0347684314162952,REJECT,CBR1 antisense RNA 1,Abnormal platelet dense granule ATP/ADP ratio,[],False,False,False,False,,,
CBR1-AS1,gene_biologicalprocess,GO:0009819,-1.2494397163391113,-0.0356325677219588,REJECT,CBR1 antisense RNA 1,drought recovery,[],False,False,False,False,,,
CBR1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0009819,-1.036156177520752,-0.0730086550790463,REJECT,CBR1 antisense RNA 1,drought recovery,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.0831, 'gene_promotes_biologicalprocess': -1.038, 'gene_negativelyassociatedwith_biologicalprocess': -1.0917, 'gene_positivelyassociatedwith_biologicalprocess': -1.0362, 'gene_notassociatedwith_biologicalprocess': -1.1643}"
CBR1-AS1,gene_biologicalprocess,GO:0090442,-1.088883399963379,-0.0356325677219588,REJECT,CBR1 antisense RNA 1,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
CBR1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0090442,-0.9261434674263,-0.0730086550790463,REJECT,CBR1 antisense RNA 1,trehalose catabolism in response to heat stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.0178, 'gene_promotes_biologicalprocess': -0.9904, 'gene_negativelyassociatedwith_biologicalprocess': -1.0566, 'gene_positivelyassociatedwith_biologicalprocess': -0.9261, 'gene_notassociatedwith_biologicalprocess': -1.0136}"
CBR1,gene_biologicalprocess,GO:0010286,-0.013212245889008045,-0.0356325677219588,ACCEPT,carbonyl reductase 1,heat acclimation,[],False,False,False,False,,,
CBR1,gene_promotes_biologicalprocess,GO:0010286,-0.23614178597927094,-0.0617563253450388,REJECT,carbonyl reductase 1,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2765, 'gene_promotes_biologicalprocess': -0.2361, 'gene_negativelyassociatedwith_biologicalprocess': -0.4144, 'gene_positivelyassociatedwith_biologicalprocess': -0.3067, 'gene_notassociatedwith_biologicalprocess': -0.3174}"
CBR1,gene_biologicalprocess,GO:0070370,-0.011004388332366943,-0.0356325677219588,ACCEPT,carbonyl reductase 1,cellular heat acclimation,[],False,False,False,False,,,
CBR1,gene_promotes_biologicalprocess,GO:0070370,-0.19805490970611572,-0.0617563253450388,REJECT,carbonyl reductase 1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2719, 'gene_promotes_biologicalprocess': -0.1981, 'gene_negativelyassociatedwith_biologicalprocess': -0.4392, 'gene_positivelyassociatedwith_biologicalprocess': -0.3903, 'gene_notassociatedwith_biologicalprocess': -0.2866}"
CBR1,gene_phenotype,abnormal T cell clonal deletion,-0.018603188917040825,-0.0347684314162952,ACCEPT,carbonyl reductase 1,abnormal T cell clonal deletion,[],False,False,False,False,,,
CBR1,gene_phenotype,respiratory acidosis,-0.02042805403470993,-0.0347684314162952,ACCEPT,carbonyl reductase 1,respiratory acidosis,[],False,False,False,False,,,
CBR1,gene_phenotype,respiratory failure,-0.010690415278077126,-0.0347684314162952,ACCEPT,carbonyl reductase 1,respiratory failure,[],False,False,False,False,,,
CBR1,gene_phenotype,respiratory distress,-0.007022164762020111,-0.0347684314162952,ACCEPT,carbonyl reductase 1,respiratory distress,[],False,False,False,False,,,
CBR1,gene_biologicalprocess,GO:0045730,-0.01321449875831604,-0.0356325677219588,ACCEPT,carbonyl reductase 1,respiratory burst,[],False,False,False,False,,,
CBR1,gene_promotes_biologicalprocess,GO:0045730,-0.15268394351005554,-0.0617563253450388,REJECT,carbonyl reductase 1,respiratory burst,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1596, 'gene_promotes_biologicalprocess': -0.1527, 'gene_negativelyassociatedwith_biologicalprocess': -0.3089, 'gene_positivelyassociatedwith_biologicalprocess': -0.302, 'gene_notassociatedwith_biologicalprocess': -0.1914}"
CBR1,gene_pathway,R-MMU-611105,-0.06528545171022415,-0.0346968297443117,REJECT,carbonyl reductase 1,Respiratory electron transport,[],False,False,False,False,,,
CBR1,gene_cellularcomponent,GO:0098803,-0.016066357493400574,-0.0358198597771757,ACCEPT,carbonyl reductase 1,respiratory chain complex,[],False,False,False,False,,,
CBR1,gene_protein,Q62792,-0.015537623316049576,-0.0280984394514378,ACCEPT,carbonyl reductase 1,Nuclear respiratory factor 1,[],False,False,False,False,,,
CBR1,gene_gene,NRF1,-0.006383592262864113,-0.071739344080056,ACCEPT,carbonyl reductase 1,nuclear respiratory factor 1,['Gene_Gene'],False,True,True,False,Gene_Gene,,
CBR1,gene_phenotype,HP:0030401,-0.01880442351102829,-0.0347684314162952,ACCEPT,carbonyl reductase 1,Abnormal platelet dense granule ATP/ADP ratio,[],False,False,False,False,,,
CBR1,gene_biologicalprocess,GO:0009819,-0.04391436278820038,-0.0356325677219588,REJECT,carbonyl reductase 1,drought recovery,[],False,False,False,False,,,
CBR1,gene_promotes_biologicalprocess,GO:0009819,-0.3023501932621002,-0.0617563253450388,REJECT,carbonyl reductase 1,drought recovery,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3263, 'gene_promotes_biologicalprocess': -0.3024, 'gene_negativelyassociatedwith_biologicalprocess': -0.3808, 'gene_positivelyassociatedwith_biologicalprocess': -0.3298, 'gene_notassociatedwith_biologicalprocess': -0.4465}"
CBR1,gene_biologicalprocess,GO:0090442,-0.06204178184270859,-0.0356325677219588,REJECT,carbonyl reductase 1,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
CBR1,gene_promotes_biologicalprocess,GO:0090442,-0.23827782273292542,-0.0617563253450388,REJECT,carbonyl reductase 1,trehalose catabolism in response to heat stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3031, 'gene_promotes_biologicalprocess': -0.2383, 'gene_negativelyassociatedwith_biologicalprocess': -0.3527, 'gene_positivelyassociatedwith_biologicalprocess': -0.3707, 'gene_notassociatedwith_biologicalprocess': -0.3247}"
GO:0010286,biologicalprocess_biologicalprocess,GO:0070370,-0.07091905921697617,-0.0422867482620858,REJECT,heat acclimation,cellular heat acclimation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0045730,-0.08985445648431778,-0.0422867482620858,REJECT,heat acclimation,respiratory burst,[],False,False,False,False,,,
GO:0010286,biologicalprocess_cellularcomponent,GO:0098803,-0.08118614554405212,-0.3461928175792534,ACCEPT,heat acclimation,respiratory chain complex,[],False,False,False,False,,,
GO:0010286,biologicalprocess_protein,Q62792,-0.7313563823699951,-0.4342587681103441,REJECT,heat acclimation,Nuclear respiratory factor 1,[],False,False,False,False,,,
GO:0010286,biologicalprocess_gene,NRF1,-0.10716286301612854,-0.085789182677173,REJECT,heat acclimation,nuclear respiratory factor 1,[],False,False,False,False,,,
NRF1,gene_inhibits_biologicalprocess,GO:0010286,-0.25918951630592346,-0.0559618705714699,REJECT,nuclear respiratory factor 1,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2592, 'gene_promotes_biologicalprocess': -0.2691, 'gene_negativelyassociatedwith_biologicalprocess': -0.3595, 'gene_positivelyassociatedwith_biologicalprocess': -0.2893, 'gene_notassociatedwith_biologicalprocess': -0.3176}"
GO:0010286,biologicalprocess_biologicalprocess,GO:0009819,-0.10948093235492706,-0.0422867482620858,REJECT,heat acclimation,drought recovery,[],False,False,False,False,,,
GO:0010286,biologicalprocess_biologicalprocess,GO:0090442,-0.13800852000713348,-0.0422867482620858,REJECT,heat acclimation,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
GO:0070370,biologicalprocess_biologicalprocess,GO:0045730,-0.045708827674388885,-0.0422867482620858,REJECT,cellular heat acclimation,respiratory burst,[],False,False,False,False,,,
GO:0070370,biologicalprocess_cellularcomponent,GO:0098803,-0.03469404578208923,-0.3461928175792534,ACCEPT,cellular heat acclimation,respiratory chain complex,[],False,False,False,False,,,
GO:0070370,biologicalprocess_protein,Q62792,-0.45469942688941956,-0.4342587681103441,REJECT,cellular heat acclimation,Nuclear respiratory factor 1,[],False,False,False,False,,,
GO:0070370,biologicalprocess_gene,NRF1,-0.046364299952983856,-0.085789182677173,ACCEPT,cellular heat acclimation,nuclear respiratory factor 1,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:0070370,-0.22736559808254242,-0.0617563253450388,REJECT,nuclear respiratory factor 1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.257, 'gene_promotes_biologicalprocess': -0.2274, 'gene_negativelyassociatedwith_biologicalprocess': -0.3818, 'gene_positivelyassociatedwith_biologicalprocess': -0.315, 'gene_notassociatedwith_biologicalprocess': -0.2719}"
GO:0070370,biologicalprocess_biologicalprocess,GO:0009819,-0.06660481542348862,-0.0422867482620858,REJECT,cellular heat acclimation,drought recovery,[],False,False,False,False,,,
GO:0070370,biologicalprocess_biologicalprocess,GO:0090442,-0.08769863098859787,-0.0422867482620858,REJECT,cellular heat acclimation,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_biologicalprocess,GO:0010286,-0.7191662788391113,-0.607891854730636,REJECT,abnormal T cell clonal deletion,heat acclimation,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_biologicalprocess,GO:0070370,-0.7677136063575745,-0.607891854730636,REJECT,abnormal T cell clonal deletion,cellular heat acclimation,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_phenotype,respiratory acidosis,-1.3045034408569336,-0.150242852206178,REJECT,abnormal T cell clonal deletion,respiratory acidosis,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_phenotype,respiratory failure,-3.1794490814208984,-0.150242852206178,REJECT,abnormal T cell clonal deletion,respiratory failure,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_phenotype,respiratory distress,-4.2801594734191895,-0.150242852206178,REJECT,abnormal T cell clonal deletion,respiratory distress,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_biologicalprocess,GO:0045730,-0.579075276851654,-0.607891854730636,ACCEPT,abnormal T cell clonal deletion,respiratory burst,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_cellularcomponent,GO:0098803,-1.8970295190811157,-0.6698990933960958,REJECT,abnormal T cell clonal deletion,respiratory chain complex,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_protein,Q62792,-2.7777864933013916,-0.3155417705896823,REJECT,abnormal T cell clonal deletion,Nuclear respiratory factor 1,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_gene,NRF1,-5.07600736618042,-0.1233359341644249,REJECT,abnormal T cell clonal deletion,nuclear respiratory factor 1,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_phenotype,HP:0030401,-1.4481244087219238,-0.150242852206178,REJECT,abnormal T cell clonal deletion,Abnormal platelet dense granule ATP/ADP ratio,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_biologicalprocess,GO:0009819,-0.9460541605949402,-0.607891854730636,REJECT,abnormal T cell clonal deletion,drought recovery,[],False,False,False,False,,,
abnormal T cell clonal deletion,phenotype_biologicalprocess,GO:0090442,-1.0390777587890625,-0.607891854730636,REJECT,abnormal T cell clonal deletion,trehalose catabolism in response to heat stress,[],False,False,False,False,,,
respiratory acidosis,phenotype_biologicalprocess,GO:0010286,-0.6849148273468018,-0.607891854730636,REJECT,respiratory acidosis,heat acclimation,[],False,False,False,False,,,
respiratory acidosis,phenotype_biologicalprocess,GO:0070370,-0.7315623164176941,-0.607891854730636,REJECT,respiratory acidosis,cellular heat acclimation,[],False,False,False,False,,,
respiratory acidosis,phenotype_phenotype,respiratory failure,-3.5063440799713135,-0.150242852206178,REJECT,respiratory acidosis,respiratory failure,[],False,False,False,False,,,
respiratory acidosis,phenotype_phenotype,respiratory distress,-4.640683650970459,-0.150242852206178,REJECT,respiratory acidosis,respiratory distress,[],False,False,False,False,,,
respiratory acidosis,phenotype_biologicalprocess,GO:0045730,-0.5718339681625366,-0.607891854730636,ACCEPT,respiratory acidosis,respiratory burst,[],False,False,False,False,,,
respiratory acidosis,phenotype_cellularcomponent,GO:0098803,-1.7910139560699463,-0.6698990933960958,REJECT,respiratory acidosis,respiratory chain complex,[],False,False,False,False,,,
respiratory acidosis,phenotype_protein,Q62792,-2.8214826583862305,-0.3155417705896823,REJECT,respiratory acidosis,Nuclear respiratory factor 1,[],False,False,False,False,,,
respiratory acidosis,phenotype_gene,NRF1,-5.1882195472717285,-0.1233359341644249,REJECT,respiratory acidosis,nuclear respiratory factor 1,[],False,False,False,False,,,
respiratory acidosis,phenotype_phenotype,HP:0030401,-1.6210644245147705,-0.150242852206178,REJECT,respiratory acidosis,Abnormal platelet dense granule ATP/ADP ratio,[],False,False,False,False,,,
respiratory acidosis,phenotype_biologicalprocess,GO:0009819,-0.9137201905250549,-0.607891854730636,REJECT,respiratory acidosis,drought recovery,[],False,False,False,False,,,
