head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
D3DTU3,protein_biologicalprocess,GO:0006974,-0.0042208777740597725,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},DNA damage response,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:0000077,-0.005219306331127882,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},DNA damage checkpoint signaling,[],False,False,False,False,,,
D3DTU3,protein_phenotype,chronic inflammation,-0.07165801525115967,-0.0497034494975703,REJECT,Transcription factor NRF1 {ECO:0000305},chronic inflammation,[],False,False,False,False,,,
D3DTU3,protein_phenotype,MP:0002499,-0.02325715683400631,-0.0497034494975703,ACCEPT,Transcription factor NRF1 {ECO:0000305},chronic inflammation,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:0090398,-0.012008115649223328,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:2000772,-0.016053736209869385,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},regulation of cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:2000774,-0.012035306543111801,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},positive regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_protein,D3DTU3,-0.011737986467778683,-0.0280984394514378,ACCEPT,nuclear respiratory factor 1,Transcription factor NRF1 {ECO:0000305},[],False,False,False,False,,,
NRF1,gene_biologicalprocess,GO:0006974,-0.003498622914776206,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,DNA damage response,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:0006974,-0.058992061764001846,-0.0617563253450388,ACCEPT,nuclear respiratory factor 1,DNA damage response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0592, 'gene_promotes_biologicalprocess': -0.059, 'gene_negativelyassociatedwith_biologicalprocess': -0.1616, 'gene_positivelyassociatedwith_biologicalprocess': -0.1406, 'gene_notassociatedwith_biologicalprocess': -0.1324}"
NRF1,gene_biologicalprocess,GO:0000077,-0.004775928799062967,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,DNA damage checkpoint signaling,[],False,False,False,False,,,
NRF1,gene_inhibits_biologicalprocess,GO:0000077,-0.1342136561870575,-0.0559618705714699,REJECT,nuclear respiratory factor 1,DNA damage checkpoint signaling,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1342, 'gene_promotes_biologicalprocess': -0.1409, 'gene_negativelyassociatedwith_biologicalprocess': -0.2172, 'gene_positivelyassociatedwith_biologicalprocess': -0.1844, 'gene_notassociatedwith_biologicalprocess': -0.1473}"
NRF1,gene_phenotype,chronic inflammation,-0.011660745367407799,-0.0347684314162952,ACCEPT,nuclear respiratory factor 1,chronic inflammation,[],False,False,False,False,,,
NRF1,gene_phenotype,MP:0002499,-0.007426469586789608,-0.0347684314162952,ACCEPT,nuclear respiratory factor 1,chronic inflammation,[],False,False,False,False,,,
NRF1,gene_biologicalprocess,GO:0090398,-0.027036329731345177,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,cellular senescence,['Gene_Inhibits_BiologicalProcess'],False,True,True,False,Gene_Inhibits_BiologicalProcess,,
NRF1,gene_promotes_biologicalprocess,GO:0090398,-0.011830679140985012,-0.0617563253450388,ACCEPT,nuclear respiratory factor 1,cellular senescence,['Gene_Inhibits_BiologicalProcess'],False,True,False,True,Gene_Inhibits_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.0145, 'gene_promotes_biologicalprocess': -0.0118, 'gene_negativelyassociatedwith_biologicalprocess': -0.13, 'gene_positivelyassociatedwith_biologicalprocess': -0.1441, 'gene_notassociatedwith_biologicalprocess': -0.1428}"
NRF1,gene_biologicalprocess,GO:2000772,-0.009060967713594437,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:2000772,-0.27098599076271057,-0.0617563253450388,REJECT,nuclear respiratory factor 1,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3103, 'gene_promotes_biologicalprocess': -0.271, 'gene_negativelyassociatedwith_biologicalprocess': -0.2794, 'gene_positivelyassociatedwith_biologicalprocess': -0.3327, 'gene_notassociatedwith_biologicalprocess': -0.3183}"
NRF1,gene_biologicalprocess,GO:2000774,-0.0051863365806639194,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,positive regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_inhibits_biologicalprocess,GO:2000774,-0.07398595660924911,-0.0559618705714699,REJECT,nuclear respiratory factor 1,positive regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.074, 'gene_promotes_biologicalprocess': -0.1065, 'gene_negativelyassociatedwith_biologicalprocess': -0.1742, 'gene_positivelyassociatedwith_biologicalprocess': -0.1657, 'gene_notassociatedwith_biologicalprocess': -0.1638}"
GO:0006974,biologicalprocess_biologicalprocess,GO:0000077,-0.00011893910414073616,-0.0422867482620858,ACCEPT,DNA damage response,DNA damage checkpoint signaling,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006974,biologicalprocess_biologicalprocess,GO:0090398,-0.0016232534544542432,-0.0422867482620858,ACCEPT,DNA damage response,cellular senescence,[],False,False,False,False,,,
GO:0006974,biologicalprocess_biologicalprocess,GO:2000772,-0.0007881690398789942,-0.0422867482620858,ACCEPT,DNA damage response,regulation of cellular senescence,[],False,False,False,False,,,
