head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CBS,gene_chemicalentity,49791978,-0.025495028123259544,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,homocysteine zwitterion,[],False,False,False,False,,,
CBS,gene_chemicalentity,6971015,-0.024411441758275032,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,L-homocysteine zwitterion,[],False,False,False,False,,,
CBS,gene_chemicalentity,23616187,-0.030978942289948463,-0.0285922419958417,REJECT,cystathionine beta-synthase,(2S)-2-(methylamino)-4-sulfanylbutanoic acid,[],False,False,False,False,,,
CBS,gene_chemicalentity,5260155,-0.03939537703990936,-0.0285922419958417,REJECT,cystathionine beta-synthase,cysteine zwitterion,[],False,False,False,False,,,
CBS,gene_chemicalentity,402,-0.00219929963350296,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,thiol,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
CBS,gene_chemicalentity,139492,-0.026704048737883568,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,(2H2)sulfane,[],False,False,False,False,,,
CBS,gene_chemicalentity,108196,-0.012595722451806068,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,,[],False,False,False,False,,,
CBS,gene_chemicalentity,28015,-0.012143372558057308,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,sodium;sulfanide,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
CBS,gene_chemicalentity,25515,-0.016581976786255836,-0.0285922419958417,ACCEPT,cystathionine beta-synthase,azanium;sulfanide,[],False,False,False,False,,,
CBS,gene_chemicalentity,46878494,-0.029799455776810646,-0.0285922419958417,REJECT,cystathionine beta-synthase,CoA-glutathione(5-),[],False,False,False,False,,,
CBS,gene_biologicalprocess,GO:0044527,-0.044138919562101364,-0.0356325677219588,REJECT,cystathionine beta-synthase,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
