head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
127,chemicalentity_chemicalentity,102526,-0.2631787955760956,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetic acid,2-(4-hydroxyphenyl)propanoic acid,[],False,False,False,False,,,
127,chemicalentity_biologicalprocess,GO:0090403,-0.2061622142791748,-0.232143107153421,ACCEPT,2-(4-hydroxyphenyl)acetic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,,
127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-0.6700330972671509,-0.596142909254255,REJECT,2-(4-hydroxyphenyl)acetic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.67, 'chemicalentity_noeffect_biologicalprocess': -1.6758, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8559, 'chemicalentity_promotes_biologicalprocess': -0.9262, 'chemicalentity_inhibits_biologicalprocess': -0.7441, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7308}"
127,chemicalentity_chemicalentity,10243408,-0.2429009974002838,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)acetic acid,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
127,chemicalentity_protein,Q5STF9,-0.17953643202781677,-0.3552259656009227,ACCEPT,2-(4-hydroxyphenyl)acetic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
102526,chemicalentity_biologicalprocess,GO:0090403,-2.452709436416626,-0.232143107153421,REJECT,2-(4-hydroxyphenyl)propanoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,,
102526,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.079586386680603,-0.596142909254255,REJECT,2-(4-hydroxyphenyl)propanoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0796, 'chemicalentity_noeffect_biologicalprocess': -2.2657, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3075, 'chemicalentity_promotes_biologicalprocess': -1.8095, 'chemicalentity_inhibits_biologicalprocess': -1.6049, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4455}"
102526,chemicalentity_chemicalentity,10243408,-1.0104817152023315,-0.2425281074611494,REJECT,2-(4-hydroxyphenyl)propanoic acid,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
102526,chemicalentity_protein,Q5STF9,-0.8021601438522339,-0.3552259656009227,REJECT,2-(4-hydroxyphenyl)propanoic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_chemicalentity,10243408,-0.10338792949914932,-0.03613698155982,REJECT,oxidative stress-induced premature senescence,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
10243408,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.571012258529663,-0.596142909254255,REJECT,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.571, 'chemicalentity_noeffect_biologicalprocess': -3.3294, 'chemicalentity_notassociatedwith_biologicalprocess': -1.7835, 'chemicalentity_promotes_biologicalprocess': -2.6925, 'chemicalentity_inhibits_biologicalprocess': -2.547, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.9074}"
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
10243408,chemicalentity_protein,Q5STF9,-1.4394817352294922,-0.3552259656009227,REJECT,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
