head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PMP2,gene_protein,P07038,-0.07894833385944366,-0.0280984394514378,REJECT,peripheral myelin protein 2,Plasma membrane ATPase,[],False,False,False,False,,,
PMP2,gene_protein,Q7XPY2,-0.024908006191253662,-0.0280984394514378,ACCEPT,peripheral myelin protein 2,Plasma membrane ATPase,[],False,False,False,False,,,
PMP2,gene_protein,P83970,-0.07003309577703476,-0.0280984394514378,REJECT,peripheral myelin protein 2,Plasma membrane ATPase,[],False,False,False,False,,,
PMP2,gene_protein,P49380,-0.05021868646144867,-0.0280984394514378,REJECT,peripheral myelin protein 2,Plasma membrane ATPase,[],False,False,False,False,,,
PMP2,gene_biologicalprocess,GO:0055088,-0.007896781899034977,-0.0356325677219588,ACCEPT,peripheral myelin protein 2,lipid homeostasis,[],False,False,False,False,,,
PMP2,gene_promotes_biologicalprocess,GO:0055088,-0.09279405325651169,-0.0617563253450388,REJECT,peripheral myelin protein 2,lipid homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0959, 'gene_promotes_biologicalprocess': -0.0928, 'gene_negativelyassociatedwith_biologicalprocess': -0.1765, 'gene_positivelyassociatedwith_biologicalprocess': -0.1124, 'gene_notassociatedwith_biologicalprocess': -0.1737}"
PMP2,gene_biologicalprocess,GO:0033554,-0.02439921908080578,-0.0356325677219588,ACCEPT,peripheral myelin protein 2,cellular response to stress,[],False,False,False,False,,,
PMP2,gene_promotes_biologicalprocess,GO:0033554,-0.21726419031620026,-0.0617563253450388,REJECT,peripheral myelin protein 2,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2678, 'gene_promotes_biologicalprocess': -0.2173, 'gene_negativelyassociatedwith_biologicalprocess': -0.514, 'gene_positivelyassociatedwith_biologicalprocess': -0.2802, 'gene_notassociatedwith_biologicalprocess': -0.3935}"
PMP2,gene_biologicalprocess,GO:0080136,-0.05691922828555107,-0.0356325677219588,REJECT,peripheral myelin protein 2,priming of cellular response to stress,[],False,False,False,False,,,
PMP2,gene_positivelyassociatedwith_biologicalprocess,GO:0080136,-0.39921045303344727,-0.0730086550790463,REJECT,peripheral myelin protein 2,priming of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4552, 'gene_promotes_biologicalprocess': -0.5359, 'gene_negativelyassociatedwith_biologicalprocess': -0.442, 'gene_positivelyassociatedwith_biologicalprocess': -0.3992, 'gene_notassociatedwith_biologicalprocess': -0.528}"
PMP2,gene_biologicalprocess,GO:0080135,-0.01984425261616707,-0.0356325677219588,ACCEPT,peripheral myelin protein 2,regulation of cellular response to stress,[],False,False,False,False,,,
PMP2,gene_promotes_biologicalprocess,GO:0080135,-0.16573090851306915,-0.0617563253450388,REJECT,peripheral myelin protein 2,regulation of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1697, 'gene_promotes_biologicalprocess': -0.1657, 'gene_negativelyassociatedwith_biologicalprocess': -0.3602, 'gene_positivelyassociatedwith_biologicalprocess': -0.1938, 'gene_notassociatedwith_biologicalprocess': -0.3144}"
P07038,protein_protein,Q7XPY2,-1.3052418231964111,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
P07038,protein_protein,P83970,-0.85539311170578,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
P07038,protein_protein,P49380,-0.7577189207077026,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
P07038,protein_biologicalprocess,GO:0055088,-1.2001309394836426,-0.5776643345681309,REJECT,Plasma membrane ATPase,lipid homeostasis,[],False,False,False,False,,,
P07038,protein_biologicalprocess,GO:0033554,-1.1286040544509888,-0.5776643345681309,REJECT,Plasma membrane ATPase,cellular response to stress,[],False,False,False,False,,,
P07038,protein_biologicalprocess,GO:0080136,-1.2133204936981201,-0.5776643345681309,REJECT,Plasma membrane ATPase,priming of cellular response to stress,[],False,False,False,False,,,
P07038,protein_biologicalprocess,GO:0080135,-0.9733633995056152,-0.5776643345681309,REJECT,Plasma membrane ATPase,regulation of cellular response to stress,[],False,False,False,False,,,
Q7XPY2,protein_protein,P83970,-0.5879565477371216,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
Q7XPY2,protein_protein,P49380,-0.4737445116043091,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
Q7XPY2,protein_biologicalprocess,GO:0055088,-0.26390212774276733,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,lipid homeostasis,[],False,False,False,False,,,
Q7XPY2,protein_biologicalprocess,GO:0033554,-0.21504871547222137,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,cellular response to stress,[],False,False,False,False,,,
Q7XPY2,protein_biologicalprocess,GO:0080136,-0.5490028858184814,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,priming of cellular response to stress,[],False,False,False,False,,,
Q7XPY2,protein_biologicalprocess,GO:0080135,-0.1848146766424179,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,regulation of cellular response to stress,[],False,False,False,False,,,
P83970,protein_protein,P49380,-0.632100522518158,-0.2036837140803804,REJECT,Plasma membrane ATPase,Plasma membrane ATPase,[],False,False,False,False,,,
P83970,protein_biologicalprocess,GO:0055088,-0.8891686797142029,-0.5776643345681309,REJECT,Plasma membrane ATPase,lipid homeostasis,[],False,False,False,False,,,
P83970,protein_biologicalprocess,GO:0033554,-0.8362889289855957,-0.5776643345681309,REJECT,Plasma membrane ATPase,cellular response to stress,[],False,False,False,False,,,
P83970,protein_biologicalprocess,GO:0080136,-0.9770265817642212,-0.5776643345681309,REJECT,Plasma membrane ATPase,priming of cellular response to stress,[],False,False,False,False,,,
P83970,protein_biologicalprocess,GO:0080135,-0.7362119555473328,-0.5776643345681309,REJECT,Plasma membrane ATPase,regulation of cellular response to stress,[],False,False,False,False,,,
P49380,protein_biologicalprocess,GO:0055088,-0.5463473200798035,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,lipid homeostasis,[],False,False,False,False,,,
P49380,protein_biologicalprocess,GO:0033554,-0.4689198136329651,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,cellular response to stress,[],False,False,False,False,,,
P49380,protein_biologicalprocess,GO:0080136,-0.7890263795852661,-0.5776643345681309,REJECT,Plasma membrane ATPase,priming of cellular response to stress,[],False,False,False,False,,,
P49380,protein_biologicalprocess,GO:0080135,-0.40481120347976685,-0.5776643345681309,ACCEPT,Plasma membrane ATPase,regulation of cellular response to stress,[],False,False,False,False,,,
GO:0055088,biologicalprocess_biologicalprocess,GO:0033554,-0.0003656701010186225,-0.0422867482620858,ACCEPT,lipid homeostasis,cellular response to stress,[],False,False,False,False,,,
GO:0055088,biologicalprocess_biologicalprocess,GO:0080136,-0.012905631214380264,-0.0422867482620858,ACCEPT,lipid homeostasis,priming of cellular response to stress,[],False,False,False,False,,,
GO:0055088,biologicalprocess_biologicalprocess,GO:0080135,-0.00045153111568652093,-0.0422867482620858,ACCEPT,lipid homeostasis,regulation of cellular response to stress,[],False,False,False,False,,,
GO:0033554,biologicalprocess_biologicalprocess,GO:0080136,-0.016907548531889915,-0.0422867482620858,ACCEPT,cellular response to stress,priming of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0033554,biologicalprocess_biologicalprocess,GO:0080135,-0.0007648284663446248,-0.0422867482620858,ACCEPT,cellular response to stress,regulation of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0080136,biologicalprocess_biologicalprocess,GO:0080135,-0.1618594080209732,-0.0422867482620858,REJECT,priming of cellular response to stress,regulation of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
