head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
10253,chemicalentity_chemicalentity,54675850,-1.0629390478134155,-0.2425281074611494,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,salicylate,[],False,False,False,False,,,
10253,chemicalentity_chemicalentity,DB01398,-0.8348797559738159,-0.2425281074611494,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,Salicylate-sodium,[],False,False,False,False,,,
10253,chemicalentity_biologicalprocess,GO:1990046,-0.7923181653022766,-0.232143107153421,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,stress-induced mitochondrial fusion,[],False,False,False,False,,,
10253,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990046,-0.7736935615539551,-0.596142909254255,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,stress-induced mitochondrial fusion,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7737, 'chemicalentity_noeffect_biologicalprocess': -1.881, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9043, 'chemicalentity_promotes_biologicalprocess': -1.3756, 'chemicalentity_inhibits_biologicalprocess': -1.19, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8652}"
10253,chemicalentity_biologicalprocess,GO:0007250,-0.859381914138794,-0.232143107153421,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,,
10253,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007250,-0.5836368203163147,-0.596142909254255,ACCEPT,2-[(2-hydroxybenzoyl)amino]acetic acid,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5836, 'chemicalentity_noeffect_biologicalprocess': -1.996, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0086, 'chemicalentity_promotes_biologicalprocess': -1.239, 'chemicalentity_inhibits_biologicalprocess': -0.936, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9167}"
10253,chemicalentity_protein,Q5STF9,-0.4166281223297119,-0.3552259656009227,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
10253,chemicalentity_pathway,R-HSA-2559582,-0.8360359072685242,-0.3200630854546729,REJECT,2-[(2-hydroxybenzoyl)amino]acetic acid,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
54675850,chemicalentity_chemicalentity,DB01398,-0.30281591415405273,-0.2425281074611494,REJECT,salicylate,Salicylate-sodium,[],False,False,False,False,,,
54675850,chemicalentity_biologicalprocess,GO:1990046,-0.3649875521659851,-0.232143107153421,REJECT,salicylate,stress-induced mitochondrial fusion,[],False,False,False,False,,,
54675850,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:1990046,-0.65185546875,-0.5654679724376828,REJECT,salicylate,stress-induced mitochondrial fusion,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6701, 'chemicalentity_noeffect_biologicalprocess': -1.6895, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7184, 'chemicalentity_promotes_biologicalprocess': -1.2241, 'chemicalentity_inhibits_biologicalprocess': -0.9583, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6519}"
54675850,chemicalentity_biologicalprocess,GO:0007250,-0.26957112550735474,-0.232143107153421,REJECT,salicylate,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,,
54675850,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007250,-0.5595144629478455,-0.596142909254255,ACCEPT,salicylate,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5595, 'chemicalentity_noeffect_biologicalprocess': -1.7889, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7882, 'chemicalentity_promotes_biologicalprocess': -1.0782, 'chemicalentity_inhibits_biologicalprocess': -0.7217, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6362}"
54675850,chemicalentity_protein,Q5STF9,-0.3363199830055237,-0.3552259656009227,ACCEPT,salicylate,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
54675850,chemicalentity_pathway,R-HSA-2559582,-0.09986133128404617,-0.3200630854546729,ACCEPT,salicylate,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
DB01398,chemicalentity_biologicalprocess,GO:1990046,-0.5763195753097534,-0.232143107153421,REJECT,Salicylate-sodium,stress-induced mitochondrial fusion,[],False,False,False,False,,,
DB01398,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990046,-0.6160382628440857,-0.596142909254255,REJECT,Salicylate-sodium,stress-induced mitochondrial fusion,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.616, 'chemicalentity_noeffect_biologicalprocess': -1.5022, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7789, 'chemicalentity_promotes_biologicalprocess': -1.0301, 'chemicalentity_inhibits_biologicalprocess': -0.8447, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6769}"
DB01398,chemicalentity_biologicalprocess,GO:0007250,-0.5894654393196106,-0.232143107153421,REJECT,Salicylate-sodium,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,,
DB01398,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007250,-0.4253848195075989,-0.596142909254255,ACCEPT,Salicylate-sodium,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4254, 'chemicalentity_noeffect_biologicalprocess': -1.5458, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8637, 'chemicalentity_promotes_biologicalprocess': -0.8309, 'chemicalentity_inhibits_biologicalprocess': -0.5947, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6314}"
DB01398,chemicalentity_protein,Q5STF9,-0.16689613461494446,-0.3552259656009227,ACCEPT,Salicylate-sodium,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
DB01398,chemicalentity_pathway,R-HSA-2559582,-0.15288786590099335,-0.3200630854546729,ACCEPT,Salicylate-sodium,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
GO:1990046,biologicalprocess_biologicalprocess,GO:0007250,-0.12794522941112518,-0.0422867482620858,REJECT,stress-induced mitochondrial fusion,activation of NF-kappaB-inducing kinase activity,[],False,False,False,False,,,
GO:1990046,biologicalprocess_protein,Q5STF9,-0.6507509350776672,-0.4342587681103441,REJECT,stress-induced mitochondrial fusion,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0007250,biologicalprocess_protein,Q5STF9,-0.6240425109863281,-0.4342587681103441,REJECT,activation of NF-kappaB-inducing kinase activity,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
Q5STF9,protein_pathway,R-HSA-2559582,-0.05157822370529175,-0.0332625891724323,REJECT,Ribonuclease P protein subunit p21,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
