head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YKL188C,gene_cellularcomponent,GO:0005777,-0.026021255180239677,-0.0358198597771757,ACCEPT,ATP-binding cassette long-chain fatty acid transporter PXA2,peroxisome,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
YKL188C,gene_cellularcomponent,GO:0019823,-0.38106051087379456,-0.0358198597771757,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,P5 peroxisome,[],False,False,False,False,,,
YKL188C,gene_cellularcomponent,GO:0019824,-0.5528925657272339,-0.0358198597771757,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,P6 peroxisome,[],False,False,False,False,,,
YKL188C,gene_biologicalprocess,GO:0043574,-0.10812931507825851,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,peroxisomal transport,[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0043574,-0.5112113952636719,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,peroxisomal transport,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5793, 'gene_promotes_biologicalprocess': -0.636, 'gene_negativelyassociatedwith_biologicalprocess': -0.5417, 'gene_positivelyassociatedwith_biologicalprocess': -0.5112, 'gene_notassociatedwith_biologicalprocess': -0.6615}"
YKL188C,gene_biologicalprocess,GO:0019395,-0.04005888104438782,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid oxidation,[],False,False,False,False,,,
YKL188C,gene_promotes_biologicalprocess,GO:0019395,-0.2842896282672882,-0.0617563253450388,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid oxidation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.315, 'gene_promotes_biologicalprocess': -0.2843, 'gene_negativelyassociatedwith_biologicalprocess': -0.4304, 'gene_positivelyassociatedwith_biologicalprocess': -0.287, 'gene_notassociatedwith_biologicalprocess': -0.3865}"
YKL188C,gene_biologicalprocess,GO:0015908,-0.034166447818279266,-0.0356325677219588,ACCEPT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid transport,[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0015908,-0.18985439836978912,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid transport,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2392, 'gene_promotes_biologicalprocess': -0.2639, 'gene_negativelyassociatedwith_biologicalprocess': -0.2945, 'gene_positivelyassociatedwith_biologicalprocess': -0.1899, 'gene_notassociatedwith_biologicalprocess': -0.3277}"
YKL188C,gene_biologicalprocess,GO:0055089,-0.053452301770448685,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid homeostasis,[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0055089,-0.31167200207710266,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,fatty acid homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3823, 'gene_promotes_biologicalprocess': -0.3555, 'gene_negativelyassociatedwith_biologicalprocess': -0.4229, 'gene_positivelyassociatedwith_biologicalprocess': -0.3117, 'gene_notassociatedwith_biologicalprocess': -0.4003}"
YKL188C,gene_biologicalprocess,GO:0019368,-0.1333494931459427,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,"fatty acid elongation, unsaturated fatty acid",[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0019368,-0.5645300149917603,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,"fatty acid elongation, unsaturated fatty acid",[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6361, 'gene_promotes_biologicalprocess': -0.6723, 'gene_negativelyassociatedwith_biologicalprocess': -0.6614, 'gene_positivelyassociatedwith_biologicalprocess': -0.5645, 'gene_notassociatedwith_biologicalprocess': -0.5692}"
YKL188C,gene_biologicalprocess,GO:0019367,-0.022762294858694077,-0.0356325677219588,ACCEPT,ATP-binding cassette long-chain fatty acid transporter PXA2,"fatty acid elongation, saturated fatty acid",[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0019367,-0.20216548442840576,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,"fatty acid elongation, saturated fatty acid",[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2413, 'gene_promotes_biologicalprocess': -0.241, 'gene_negativelyassociatedwith_biologicalprocess': -0.293, 'gene_positivelyassociatedwith_biologicalprocess': -0.2022, 'gene_notassociatedwith_biologicalprocess': -0.3378}"
YKL188C,gene_biologicalprocess,GO:0009266,-0.05932869017124176,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,response to temperature stimulus,[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0009266,-0.287727415561676,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3578, 'gene_promotes_biologicalprocess': -0.3481, 'gene_negativelyassociatedwith_biologicalprocess': -0.5222, 'gene_positivelyassociatedwith_biologicalprocess': -0.2877, 'gene_notassociatedwith_biologicalprocess': -0.5316}"
YKL188C,gene_biologicalprocess,GO:0016048,-0.0421646423637867,-0.0356325677219588,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,detection of temperature stimulus,[],False,False,False,False,,,
YKL188C,gene_positivelyassociatedwith_biologicalprocess,GO:0016048,-0.3189575672149658,-0.0730086550790463,REJECT,ATP-binding cassette long-chain fatty acid transporter PXA2,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4002, 'gene_promotes_biologicalprocess': -0.385, 'gene_negativelyassociatedwith_biologicalprocess': -0.4911, 'gene_positivelyassociatedwith_biologicalprocess': -0.319, 'gene_notassociatedwith_biologicalprocess': -0.4394}"
