head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PLB1,gene_protein,P0CP74,-0.027478588744997978,-0.0280984394514378,ACCEPT,phospholipase B1,Phospholipase B,[],False,False,False,False,,,
PLB1,gene_phenotype,abnormal lipid metabolism,-0.020060542970895767,-0.0347684314162952,ACCEPT,phospholipase B1,abnormal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_phenotype,WBPhenotype:0000725,-0.030328240245580673,-0.0347684314162952,ACCEPT,phospholipase B1,lipid metabolism variant,[],False,False,False,False,,,
PLB1,gene_phenotype,MP:0013245,-0.021817175671458244,-0.0347684314162952,ACCEPT,phospholipase B1,abnormal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,hsa00565,-0.013043169863522053,-0.0346968297443117,ACCEPT,phospholipase B1,Ether lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,KEGG:map00565,-0.07468662410974503,-0.0346968297443117,REJECT,phospholipase B1,Ether lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,R-HSA-390918,-0.012645658105611801,-0.0346968297443117,ACCEPT,phospholipase B1,Peroxisomal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,R-RNO-390918,-0.04592448100447655,-0.0346968297443117,REJECT,phospholipase B1,Peroxisomal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_phenotype,WBPhenotype:0002484,-0.0360608734190464,-0.0347684314162952,REJECT,phospholipase B1,membrane fluidity variant,[],False,False,False,False,,,
PLB1,gene_phenotype,WBPhenotype:0002361,-0.06015218794345856,-0.0347684314162952,REJECT,phospholipase B1,membrane fluidity increased,[],False,False,False,False,,,
PLB1,gene_biologicalprocess,GO:0009266,-0.015481388196349144,-0.0356325677219588,ACCEPT,phospholipase B1,response to temperature stimulus,[],False,False,False,False,,,
PLB1,gene_inhibits_biologicalprocess,GO:0009266,-0.14356331527233124,-0.0559618705714699,REJECT,phospholipase B1,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1436, 'gene_promotes_biologicalprocess': -0.1767, 'gene_negativelyassociatedwith_biologicalprocess': -0.28, 'gene_positivelyassociatedwith_biologicalprocess': -0.1745, 'gene_notassociatedwith_biologicalprocess': -0.4078}"
PLB1,gene_biologicalprocess,GO:0016048,-0.011272369883954525,-0.0356325677219588,ACCEPT,phospholipase B1,detection of temperature stimulus,[],False,False,False,False,,,
PLB1,gene_inhibits_biologicalprocess,GO:0016048,-0.1961081176996231,-0.0559618705714699,REJECT,phospholipase B1,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1961, 'gene_promotes_biologicalprocess': -0.2075, 'gene_negativelyassociatedwith_biologicalprocess': -0.3332, 'gene_positivelyassociatedwith_biologicalprocess': -0.2576, 'gene_notassociatedwith_biologicalprocess': -0.3373}"
PLB1,gene_biologicalprocess,GO:0071502,-0.017791248857975006,-0.0356325677219588,ACCEPT,phospholipase B1,cellular response to temperature stimulus,[],False,False,False,False,,,
PLB1,gene_promotes_biologicalprocess,GO:0071502,-0.1294182389974594,-0.0617563253450388,REJECT,phospholipase B1,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1371, 'gene_promotes_biologicalprocess': -0.1294, 'gene_negativelyassociatedwith_biologicalprocess': -0.173, 'gene_positivelyassociatedwith_biologicalprocess': -0.1481, 'gene_notassociatedwith_biologicalprocess': -0.2438}"
PLB1,gene_biologicalprocess,GO:0050951,-0.025581710040569305,-0.0356325677219588,ACCEPT,phospholipase B1,sensory perception of temperature stimulus,[],False,False,False,False,,,
PLB1,gene_inhibits_biologicalprocess,GO:0050951,-0.21175311505794525,-0.0559618705714699,REJECT,phospholipase B1,sensory perception of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2118, 'gene_promotes_biologicalprocess': -0.225, 'gene_negativelyassociatedwith_biologicalprocess': -0.342, 'gene_positivelyassociatedwith_biologicalprocess': -0.2957, 'gene_notassociatedwith_biologicalprocess': -0.3106}"
P0CP74,protein_phenotype,abnormal lipid metabolism,-1.0959469079971313,-0.0497034494975703,REJECT,Phospholipase B,abnormal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_phenotype,WBPhenotype:0000725,-1.2540425062179565,-0.0497034494975703,REJECT,Phospholipase B,lipid metabolism variant,[],False,False,False,False,,,
P0CP74,protein_phenotype,MP:0013245,-0.8887594938278198,-0.0497034494975703,REJECT,Phospholipase B,abnormal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,hsa00565,-2.4398434162139893,-0.0332625891724323,REJECT,Phospholipase B,Ether lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,KEGG:map00565,-0.6332271099090576,-0.0332625891724323,REJECT,Phospholipase B,Ether lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,R-HSA-390918,-1.3447790145874023,-0.0332625891724323,REJECT,Phospholipase B,Peroxisomal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,R-RNO-390918,-0.8381106853485107,-0.0332625891724323,REJECT,Phospholipase B,Peroxisomal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_phenotype,WBPhenotype:0002484,-0.9192889332771301,-0.0497034494975703,REJECT,Phospholipase B,membrane fluidity variant,[],False,False,False,False,,,
P0CP74,protein_phenotype,WBPhenotype:0002361,-0.6825504899024963,-0.0497034494975703,REJECT,Phospholipase B,membrane fluidity increased,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0009266,-0.3637220561504364,-0.5776643345681309,ACCEPT,Phospholipase B,response to temperature stimulus,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0016048,-0.4178090989589691,-0.5776643345681309,ACCEPT,Phospholipase B,detection of temperature stimulus,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0071502,-0.46846339106559753,-0.5776643345681309,ACCEPT,Phospholipase B,cellular response to temperature stimulus,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0050951,-0.533423662185669,-0.5776643345681309,ACCEPT,Phospholipase B,sensory perception of temperature stimulus,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,WBPhenotype:0000725,-0.075218066573143,-0.150242852206178,ACCEPT,abnormal lipid metabolism,lipid metabolism variant,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,MP:0013245,-0.03014252707362175,-0.150242852206178,ACCEPT,abnormal lipid metabolism,abnormal lipid metabolism,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,WBPhenotype:0002484,-0.0485377162694931,-0.150242852206178,ACCEPT,abnormal lipid metabolism,membrane fluidity variant,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,WBPhenotype:0002361,-0.07228396087884903,-0.150242852206178,ACCEPT,abnormal lipid metabolism,membrane fluidity increased,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0009266,-0.01910202018916607,-0.607891854730636,ACCEPT,abnormal lipid metabolism,response to temperature stimulus,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0016048,-0.021116133779287338,-0.607891854730636,ACCEPT,abnormal lipid metabolism,detection of temperature stimulus,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0071502,-0.04181354120373726,-0.607891854730636,ACCEPT,abnormal lipid metabolism,cellular response to temperature stimulus,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0050951,-0.053091250360012054,-0.607891854730636,ACCEPT,abnormal lipid metabolism,sensory perception of temperature stimulus,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_phenotype,MP:0013245,-1.3060206174850464,-0.150242852206178,REJECT,lipid metabolism variant,abnormal lipid metabolism,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_phenotype,WBPhenotype:0002484,-0.6896319389343262,-0.150242852206178,REJECT,lipid metabolism variant,membrane fluidity variant,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_phenotype,WBPhenotype:0002361,-0.8545998334884644,-0.150242852206178,REJECT,lipid metabolism variant,membrane fluidity increased,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_biologicalprocess,GO:0009266,-0.5009775757789612,-0.607891854730636,ACCEPT,lipid metabolism variant,response to temperature stimulus,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_biologicalprocess,GO:0016048,-0.3680807054042816,-0.607891854730636,ACCEPT,lipid metabolism variant,detection of temperature stimulus,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_biologicalprocess,GO:0071502,-0.5494019985198975,-0.607891854730636,ACCEPT,lipid metabolism variant,cellular response to temperature stimulus,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_biologicalprocess,GO:0050951,-0.60719233751297,-0.607891854730636,ACCEPT,lipid metabolism variant,sensory perception of temperature stimulus,[],False,False,False,False,,,
MP:0013245,phenotype_phenotype,WBPhenotype:0002484,-0.3585686981678009,-0.150242852206178,REJECT,abnormal lipid metabolism,membrane fluidity variant,[],False,False,False,False,,,
MP:0013245,phenotype_phenotype,WBPhenotype:0002361,-0.4783173203468323,-0.150242852206178,REJECT,abnormal lipid metabolism,membrane fluidity increased,[],False,False,False,False,,,
MP:0013245,phenotype_biologicalprocess,GO:0009266,-0.13800357282161713,-0.607891854730636,ACCEPT,abnormal lipid metabolism,response to temperature stimulus,[],False,False,False,False,,,
MP:0013245,phenotype_biologicalprocess,GO:0016048,-0.11050187051296234,-0.607891854730636,ACCEPT,abnormal lipid metabolism,detection of temperature stimulus,[],False,False,False,False,,,
MP:0013245,phenotype_biologicalprocess,GO:0071502,-0.20174521207809448,-0.607891854730636,ACCEPT,abnormal lipid metabolism,cellular response to temperature stimulus,[],False,False,False,False,,,
MP:0013245,phenotype_biologicalprocess,GO:0050951,-0.23548628389835358,-0.607891854730636,ACCEPT,abnormal lipid metabolism,sensory perception of temperature stimulus,[],False,False,False,False,,,
hsa00565,pathway_pathway,KEGG:map00565,-0.21604475378990173,-0.0291625673052831,REJECT,Ether lipid metabolism,Ether lipid metabolism,[],False,False,False,False,,,
hsa00565,pathway_pathway,R-HSA-390918,-0.23671281337738037,-0.0291625673052831,REJECT,Ether lipid metabolism,Peroxisomal lipid metabolism,[],False,False,False,False,,,
hsa00565,pathway_pathway,R-RNO-390918,-0.2674224376678467,-0.0291625673052831,REJECT,Ether lipid metabolism,Peroxisomal lipid metabolism,[],False,False,False,False,,,
KEGG:map00565,pathway_pathway,R-HSA-390918,-2.931304931640625,-0.0291625673052831,REJECT,Ether lipid metabolism,Peroxisomal lipid metabolism,[],False,False,False,False,,,
KEGG:map00565,pathway_pathway,R-RNO-390918,-1.6867605447769165,-0.0291625673052831,REJECT,Ether lipid metabolism,Peroxisomal lipid metabolism,[],False,False,False,False,,,
R-HSA-390918,pathway_pathway,R-RNO-390918,-0.08035243302583694,-0.0291625673052831,REJECT,Peroxisomal lipid metabolism,Peroxisomal lipid metabolism,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0002361,-1.7013975381851196,-0.150242852206178,REJECT,membrane fluidity variant,membrane fluidity increased,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0009266,-0.8228869438171387,-0.607891854730636,REJECT,membrane fluidity variant,response to temperature stimulus,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0016048,-0.6237412095069885,-0.607891854730636,REJECT,membrane fluidity variant,detection of temperature stimulus,[],False,False,False,False,,,
