head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P54781,protein_molecularfunction,GO:0000249,-0.6153222322463989,-0.5690634813738988,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},C-22 sterol desaturase (NADPH) activity,['Protein_MolecularFunction'],False,True,True,False,Protein_MolecularFunction
P54781,protein_cellularcomponent,GO:0097478,-1.4085688591003418,-0.143767219171222,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},leaflet of membrane bilayer,[],False,False,False,False,
P54781,protein_phenotype,embryo phenotype,-0.6938072443008423,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},embryo phenotype,[],False,False,False,False,
P54781,protein_phenotype,muscle phenotype,-0.6295482516288757,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},muscle phenotype,[],False,False,False,False,
P54781,protein_phenotype,terminal phenotype,-0.8194385170936584,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},terminal phenotype,[],False,False,False,False,
P54781,protein_phenotype,skeleton phenotype,-0.5642581582069397,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},skeleton phenotype,[],False,False,False,False,
P54781,protein_phenotype,cellular phenotype,-0.6122381091117859,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},cellular phenotype,[],False,False,False,False,
P54781,protein_phenotype,WBPhenotype:0000138,-0.6344628930091858,-0.0497034494975703,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},lipid composition variant,[],False,False,False,False,
P54781,protein_cellularcomponent,GO:0016020,-0.7602139115333557,-0.143767219171222,REJECT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},membrane,[],False,False,False,False,
P54781,protein_biologicalprocess,GO:0006810,-0.05706324055790901,-0.5776643345681309,ACCEPT,C-22 sterol desaturase ERG5 {ECO:0000303|PubMed:8635732},transport,[],False,False,False,False,
GO:0000249,molecularfunction_biologicalprocess,GO:0006810,-0.11388978362083435,-0.0147993624499696,REJECT,C-22 sterol desaturase (NADPH) activity,transport,[],False,False,False,False,
GO:0097478,cellularcomponent_cellularcomponent,GO:0016020,-0.0004292739904485643,-0.0349261329401597,ACCEPT,leaflet of membrane bilayer,membrane,['CellularComponent_CellularComponent'],False,True,True,False,CellularComponent_CellularComponent
embryo phenotype,phenotype_molecularfunction,GO:0000249,-0.763954758644104,-0.4457983972888497,REJECT,embryo phenotype,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
embryo phenotype,phenotype_cellularcomponent,GO:0097478,-0.9370248913764954,-0.6698990933960958,REJECT,embryo phenotype,leaflet of membrane bilayer,[],False,False,False,False,
embryo phenotype,phenotype_phenotype,muscle phenotype,-2.5466511249542236,-0.150242852206178,REJECT,embryo phenotype,muscle phenotype,[],False,False,False,False,
embryo phenotype,phenotype_phenotype,terminal phenotype,-1.143524169921875,-0.150242852206178,REJECT,embryo phenotype,terminal phenotype,[],False,False,False,False,
embryo phenotype,phenotype_phenotype,skeleton phenotype,-2.262286424636841,-0.150242852206178,REJECT,embryo phenotype,skeleton phenotype,[],False,False,False,False,
embryo phenotype,phenotype_phenotype,cellular phenotype,-1.927912950515747,-0.150242852206178,REJECT,embryo phenotype,cellular phenotype,[],False,False,False,False,
embryo phenotype,phenotype_phenotype,WBPhenotype:0000138,-4.030235290527344,-0.150242852206178,REJECT,embryo phenotype,lipid composition variant,[],False,False,False,False,
embryo phenotype,phenotype_cellularcomponent,GO:0016020,-0.44361746311187744,-0.6698990933960958,ACCEPT,embryo phenotype,membrane,[],False,False,False,False,
embryo phenotype,phenotype_biologicalprocess,GO:0006810,-0.3496926426887512,-0.607891854730636,ACCEPT,embryo phenotype,transport,[],False,False,False,False,
muscle phenotype,phenotype_molecularfunction,GO:0000249,-0.8419121503829956,-0.4457983972888497,REJECT,muscle phenotype,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
muscle phenotype,phenotype_cellularcomponent,GO:0097478,-0.2658533751964569,-0.6698990933960958,ACCEPT,muscle phenotype,leaflet of membrane bilayer,[],False,False,False,False,
muscle phenotype,phenotype_phenotype,terminal phenotype,-0.3060673773288727,-0.150242852206178,REJECT,muscle phenotype,terminal phenotype,[],False,False,False,False,
muscle phenotype,phenotype_phenotype,skeleton phenotype,-0.39636462926864624,-0.150242852206178,REJECT,muscle phenotype,skeleton phenotype,[],False,False,False,False,
muscle phenotype,phenotype_phenotype,cellular phenotype,-0.3275887668132782,-0.150242852206178,REJECT,muscle phenotype,cellular phenotype,[],False,False,False,False,
muscle phenotype,phenotype_phenotype,WBPhenotype:0000138,-0.48990535736083984,-0.150242852206178,REJECT,muscle phenotype,lipid composition variant,[],False,False,False,False,
muscle phenotype,phenotype_cellularcomponent,GO:0016020,-0.127149760723114,-0.6698990933960958,ACCEPT,muscle phenotype,membrane,[],False,False,False,False,
muscle phenotype,phenotype_biologicalprocess,GO:0006810,-0.06657862663269043,-0.607891854730636,ACCEPT,muscle phenotype,transport,[],False,False,False,False,
terminal phenotype,phenotype_molecularfunction,GO:0000249,-0.8526752591133118,-0.4457983972888497,REJECT,terminal phenotype,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
terminal phenotype,phenotype_cellularcomponent,GO:0097478,-1.1282612085342407,-0.6698990933960958,REJECT,terminal phenotype,leaflet of membrane bilayer,[],False,False,False,False,
terminal phenotype,phenotype_phenotype,skeleton phenotype,-2.512457847595215,-0.150242852206178,REJECT,terminal phenotype,skeleton phenotype,[],False,False,False,False,
terminal phenotype,phenotype_phenotype,cellular phenotype,-2.0944302082061768,-0.150242852206178,REJECT,terminal phenotype,cellular phenotype,[],False,False,False,False,
terminal phenotype,phenotype_phenotype,WBPhenotype:0000138,-4.287508487701416,-0.150242852206178,REJECT,terminal phenotype,lipid composition variant,[],False,False,False,False,
terminal phenotype,phenotype_cellularcomponent,GO:0016020,-0.531897246837616,-0.6698990933960958,ACCEPT,terminal phenotype,membrane,[],False,False,False,False,
terminal phenotype,phenotype_biologicalprocess,GO:0006810,-0.708910346031189,-0.607891854730636,REJECT,terminal phenotype,transport,[],False,False,False,False,
skeleton phenotype,phenotype_molecularfunction,GO:0000249,-0.7985013723373413,-0.4457983972888497,REJECT,skeleton phenotype,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
skeleton phenotype,phenotype_cellularcomponent,GO:0097478,-0.3848915994167328,-0.6698990933960958,ACCEPT,skeleton phenotype,leaflet of membrane bilayer,[],False,False,False,False,
skeleton phenotype,phenotype_phenotype,cellular phenotype,-0.6975116729736328,-0.150242852206178,REJECT,skeleton phenotype,cellular phenotype,[],False,False,False,False,
skeleton phenotype,phenotype_phenotype,WBPhenotype:0000138,-1.351457953453064,-0.150242852206178,REJECT,skeleton phenotype,lipid composition variant,[],False,False,False,False,
skeleton phenotype,phenotype_cellularcomponent,GO:0016020,-0.1890920102596283,-0.6698990933960958,ACCEPT,skeleton phenotype,membrane,[],False,False,False,False,
skeleton phenotype,phenotype_biologicalprocess,GO:0006810,-0.09475430846214294,-0.607891854730636,ACCEPT,skeleton phenotype,transport,[],False,False,False,False,
cellular phenotype,phenotype_molecularfunction,GO:0000249,-0.9685139656066895,-0.4457983972888497,REJECT,cellular phenotype,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
cellular phenotype,phenotype_cellularcomponent,GO:0097478,-0.9933841228485107,-0.6698990933960958,REJECT,cellular phenotype,leaflet of membrane bilayer,[],False,False,False,False,
cellular phenotype,phenotype_phenotype,WBPhenotype:0000138,-3.291353464126587,-0.150242852206178,REJECT,cellular phenotype,lipid composition variant,[],False,False,False,False,
cellular phenotype,phenotype_cellularcomponent,GO:0016020,-0.4122052490711212,-0.6698990933960958,ACCEPT,cellular phenotype,membrane,[],False,False,False,False,
cellular phenotype,phenotype_biologicalprocess,GO:0006810,-0.4661281108856201,-0.607891854730636,ACCEPT,cellular phenotype,transport,[],False,False,False,False,
WBPhenotype:0000138,phenotype_molecularfunction,GO:0000249,-0.5877094864845276,-0.4457983972888497,REJECT,lipid composition variant,C-22 sterol desaturase (NADPH) activity,[],False,False,False,False,
WBPhenotype:0000138,phenotype_cellularcomponent,GO:0097478,-0.049273841083049774,-0.6698990933960958,ACCEPT,lipid composition variant,leaflet of membrane bilayer,[],False,False,False,False,
WBPhenotype:0000138,phenotype_cellularcomponent,GO:0016020,-0.028426971286535263,-0.6698990933960958,ACCEPT,lipid composition variant,membrane,[],False,False,False,False,
WBPhenotype:0000138,phenotype_biologicalprocess,GO:0006810,-0.008933290839195251,-0.607891854730636,ACCEPT,lipid composition variant,transport,[],False,False,False,False,
GO:0006810,biologicalprocess_cellularcomponent,GO:0097478,-8.316829917021096e-05,-0.3461928175792534,ACCEPT,transport,leaflet of membrane bilayer,[],False,False,False,False,
GO:0006810,biologicalprocess_cellularcomponent,GO:0016020,-0.0003857383271679282,-0.3461928175792534,ACCEPT,transport,membrane,[],False,False,False,False,
