head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YMR058W,gene_protein,Q96WT3,-0.04913099482655525,-0.0280984394514378,REJECT,ferroxidase FET3,Iron transport multicopper oxidase FET3,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,5359597,-0.11486224830150604,-0.0285922419958417,REJECT,ferroxidase FET3,superoxide,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,14809,-0.06439529359340668,-0.0285922419958417,REJECT,ferroxidase FET3,hydrogen peroxide;zinc,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,5460556,-0.08990534394979477,-0.0285922419958417,REJECT,ferroxidase FET3,,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,9548897,-0.10781892389059067,-0.0285922419958417,REJECT,ferroxidase FET3,,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,5460593,-0.07305210083723068,-0.0285922419958417,REJECT,ferroxidase FET3,,[],False,False,False,False,,,
YMR058W,gene_chemicalentity,10243408,-0.07939436286687851,-0.0285922419958417,REJECT,ferroxidase FET3,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
YMR058W,gene_biologicalprocess,GO:0070370,-0.034990839660167694,-0.0356325677219588,ACCEPT,ferroxidase FET3,cellular heat acclimation,[],False,False,False,False,,,
YMR058W,gene_notassociatedwith_biologicalprocess,GO:0070370,-0.34597545862197876,-0.1941926147433079,REJECT,ferroxidase FET3,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3939, 'gene_promotes_biologicalprocess': -0.394, 'gene_negativelyassociatedwith_biologicalprocess': -0.5118, 'gene_positivelyassociatedwith_biologicalprocess': -0.3533, 'gene_notassociatedwith_biologicalprocess': -0.346}"
Q96WT3,protein_chemicalentity,5359597,-0.8354998826980591,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,superoxide,[],False,False,False,False,,,
Q96WT3,protein_chemicalentity,14809,-0.8286665081977844,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,hydrogen peroxide;zinc,[],False,False,False,False,,,
Q96WT3,protein_chemicalentity,5460556,-0.6761179566383362,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,,[],False,False,False,False,,,
Q96WT3,protein_chemicalentity,9548897,-0.6917471289634705,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,,[],False,False,False,False,,,
Q96WT3,protein_chemicalentity,5460593,-0.7597699761390686,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,,[],False,False,False,False,,,
Q96WT3,protein_chemicalentity,10243408,-0.8400478363037109,-0.1571110372511136,REJECT,Iron transport multicopper oxidase FET3,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
Q96WT3,protein_biologicalprocess,GO:0070370,-0.5131737589836121,-0.5776643345681309,ACCEPT,Iron transport multicopper oxidase FET3,cellular heat acclimation,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,14809,-0.12052535265684128,-0.2425281074611494,ACCEPT,superoxide,hydrogen peroxide;zinc,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,5460556,-0.14922206103801727,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,9548897,-0.17042967677116394,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,5460593,-0.18592609465122223,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,10243408,-0.15253280103206635,-0.2425281074611494,ACCEPT,superoxide,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
5359597,chemicalentity_biologicalprocess,GO:0070370,-0.1006665900349617,-0.232143107153421,ACCEPT,superoxide,cellular heat acclimation,[],False,False,False,False,,,
5359597,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.47471773624420166,-0.7050372264239742,ACCEPT,superoxide,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4813, 'chemicalentity_noeffect_biologicalprocess': -1.2065, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7224, 'chemicalentity_promotes_biologicalprocess': -0.7112, 'chemicalentity_inhibits_biologicalprocess': -0.4747, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5877}"
14809,chemicalentity_chemicalentity,5460556,-0.4046822190284729,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,,,
14809,chemicalentity_chemicalentity,9548897,-0.3624131679534912,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,,,
14809,chemicalentity_chemicalentity,5460593,-0.578744113445282,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,,[],False,False,False,False,,,
14809,chemicalentity_chemicalentity,10243408,-0.33586379885673523,-0.2425281074611494,REJECT,hydrogen peroxide;zinc,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
14809,chemicalentity_biologicalprocess,GO:0070370,-0.7992140054702759,-0.232143107153421,REJECT,hydrogen peroxide;zinc,cellular heat acclimation,[],False,False,False,False,,,
14809,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.5386061072349548,-0.7050372264239742,ACCEPT,hydrogen peroxide;zinc,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6401, 'chemicalentity_noeffect_biologicalprocess': -1.382, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9706, 'chemicalentity_promotes_biologicalprocess': -0.8535, 'chemicalentity_inhibits_biologicalprocess': -0.5386, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0226}"
5460556,chemicalentity_chemicalentity,9548897,-0.6305530071258545,-0.2425281074611494,REJECT,,,[],False,False,False,False,,,
5460556,chemicalentity_chemicalentity,5460593,-1.0793617963790894,-0.2425281074611494,REJECT,,,[],False,False,False,False,,,
5460556,chemicalentity_chemicalentity,10243408,-0.6105546951293945,-0.2425281074611494,REJECT,,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
5460556,chemicalentity_biologicalprocess,GO:0070370,-1.5656967163085938,-0.232143107153421,REJECT,,cellular heat acclimation,[],False,False,False,False,,,
5460556,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0070370,-0.9567770957946777,-0.596142909254255,REJECT,,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9568, 'chemicalentity_noeffect_biologicalprocess': -2.0029, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1458, 'chemicalentity_promotes_biologicalprocess': -1.4929, 'chemicalentity_inhibits_biologicalprocess': -1.1653, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.31}"
9548897,chemicalentity_chemicalentity,5460593,-1.3889758586883545,-0.2425281074611494,REJECT,,,[],False,False,False,False,,,
9548897,chemicalentity_chemicalentity,10243408,-0.8226742744445801,-0.2425281074611494,REJECT,,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
9548897,chemicalentity_biologicalprocess,GO:0070370,-1.920483112335205,-0.232143107153421,REJECT,,cellular heat acclimation,[],False,False,False,False,,,
9548897,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0070370,-0.9401816129684448,-0.596142909254255,REJECT,,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9402, 'chemicalentity_noeffect_biologicalprocess': -2.2511, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3669, 'chemicalentity_promotes_biologicalprocess': -1.8855, 'chemicalentity_inhibits_biologicalprocess': -1.5588, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2841}"
5460593,chemicalentity_chemicalentity,10243408,-0.4582012891769409,-0.2425281074611494,REJECT,,N-[3-(1H-imidazol-5-yl)propyl]-1H-benzimidazol-2-amine,[],False,False,False,False,,,
