head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
6175,chemicalentity_chemicalentity,7058165,-0.04657595232129097,-0.2425281074611494,ACCEPT,cytidine,cytidine 5'-monophosphate(2-),[],False,False,False,False,,,
6175,chemicalentity_biologicalprocess,GO:0007049,-0.0009830904891714454,-0.232143107153421,ACCEPT,cytidine,cell cycle,[],False,False,False,False,,,
6175,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007049,-0.023866575211286545,-0.596142909254255,ACCEPT,cytidine,cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0239, 'chemicalentity_noeffect_biologicalprocess': -1.221, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0762, 'chemicalentity_promotes_biologicalprocess': -0.0949, 'chemicalentity_inhibits_biologicalprocess': -0.0302, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0425}"
6175,chemicalentity_biologicalprocess,GO:0006974,-0.0011409746948629618,-0.232143107153421,ACCEPT,cytidine,DNA damage response,[],False,False,False,False,,,
6175,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006974,-0.04036109521985054,-0.596142909254255,ACCEPT,cytidine,DNA damage response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0404, 'chemicalentity_noeffect_biologicalprocess': -1.1578, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1072, 'chemicalentity_promotes_biologicalprocess': -0.14, 'chemicalentity_inhibits_biologicalprocess': -0.0416, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0794}"
6175,chemicalentity_protein,D3VVE9,-0.8347703218460083,-0.3552259656009227,REJECT,cytidine,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
6175,chemicalentity_protein,Q5STF9,-0.01628033258020878,-0.3552259656009227,ACCEPT,cytidine,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
6175,chemicalentity_gene,Lus,-0.43832874298095703,-0.2458965898096785,REJECT,cytidine,lymphoid cytostasis suppressor,[],False,False,False,False,,,
7058165,chemicalentity_biologicalprocess,GO:0007049,-0.5868213176727295,-0.232143107153421,REJECT,cytidine 5'-monophosphate(2-),cell cycle,[],False,False,False,False,,,
7058165,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007049,-0.5983541011810303,-0.596142909254255,REJECT,cytidine 5'-monophosphate(2-),cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5984, 'chemicalentity_noeffect_biologicalprocess': -2.1467, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9192, 'chemicalentity_promotes_biologicalprocess': -1.0722, 'chemicalentity_inhibits_biologicalprocess': -0.7177, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7854}"
7058165,chemicalentity_biologicalprocess,GO:0006974,-0.5241112112998962,-0.232143107153421,REJECT,cytidine 5'-monophosphate(2-),DNA damage response,[],False,False,False,False,,,
7058165,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006974,-0.6250118613243103,-0.596142909254255,REJECT,cytidine 5'-monophosphate(2-),DNA damage response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.625, 'chemicalentity_noeffect_biologicalprocess': -2.2084, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9941, 'chemicalentity_promotes_biologicalprocess': -1.2732, 'chemicalentity_inhibits_biologicalprocess': -0.7829, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8426}"
7058165,chemicalentity_protein,D3VVE9,-0.9873993396759033,-0.3552259656009227,REJECT,cytidine 5'-monophosphate(2-),Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
7058165,chemicalentity_protein,Q5STF9,-0.5460603833198547,-0.3552259656009227,REJECT,cytidine 5'-monophosphate(2-),Ribonuclease P protein subunit p21,[],False,False,False,False,,,
