head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
UQCRB,gene_protein,P51130,-0.026952669024467468,-0.0280984394514378,ACCEPT,ubiquinol-cytochrome c reductase binding protein,Ubiquinol-cytochrome c reductase iron-sulfur subunit,[],False,False,False,False,,,
UQCRB,gene_protein,Q9ZDQ5,-0.03024843893945217,-0.0280984394514378,REJECT,ubiquinol-cytochrome c reductase binding protein,Ubiquinol-cytochrome c reductase iron-sulfur subunit,[],False,False,False,False,,,
UQCRB,gene_protein,D5ANZ2,-0.02412288263440132,-0.0280984394514378,ACCEPT,ubiquinol-cytochrome c reductase binding protein,Ubiquinol-cytochrome c reductase iron-sulfur subunit,[],False,False,False,False,,,
UQCRB,gene_protein,O31214,-0.041834402829408646,-0.0280984394514378,REJECT,ubiquinol-cytochrome c reductase binding protein,Ubiquinol-cytochrome c reductase iron-sulfur subunit,[],False,False,False,False,,,
UQCRB,gene_biologicalprocess,GO:0022900,-0.007638939656317234,-0.0356325677219588,ACCEPT,ubiquinol-cytochrome c reductase binding protein,electron transport chain,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
UQCRB,gene_promotes_biologicalprocess,GO:0022900,-0.12427615374326706,-0.0617563253450388,REJECT,ubiquinol-cytochrome c reductase binding protein,electron transport chain,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.1854, 'gene_promotes_biologicalprocess': -0.1243, 'gene_negativelyassociatedwith_biologicalprocess': -0.306, 'gene_positivelyassociatedwith_biologicalprocess': -0.3105, 'gene_notassociatedwith_biologicalprocess': -0.3108}"
UQCRB,gene_biologicalprocess,GO:0022904,-0.004896325524896383,-0.0356325677219588,ACCEPT,ubiquinol-cytochrome c reductase binding protein,respiratory electron transport chain,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
UQCRB,gene_promotes_biologicalprocess,GO:0022904,-0.18297550082206726,-0.0617563253450388,REJECT,ubiquinol-cytochrome c reductase binding protein,respiratory electron transport chain,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.2186, 'gene_promotes_biologicalprocess': -0.183, 'gene_negativelyassociatedwith_biologicalprocess': -0.2956, 'gene_positivelyassociatedwith_biologicalprocess': -0.3953, 'gene_notassociatedwith_biologicalprocess': -0.2396}"
UQCRB,gene_biologicalprocess,GO:0019646,-0.024014713242650032,-0.0356325677219588,ACCEPT,ubiquinol-cytochrome c reductase binding protein,aerobic electron transport chain,[],False,False,False,False,,,
UQCRB,gene_promotes_biologicalprocess,GO:0019646,-0.13553453981876373,-0.0617563253450388,REJECT,ubiquinol-cytochrome c reductase binding protein,aerobic electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1668, 'gene_promotes_biologicalprocess': -0.1355, 'gene_negativelyassociatedwith_biologicalprocess': -0.211, 'gene_positivelyassociatedwith_biologicalprocess': -0.2314, 'gene_notassociatedwith_biologicalprocess': -0.1819}"
UQCRB,gene_phenotype,WBPhenotype:0001090,-0.007027755491435528,-0.0347684314162952,ACCEPT,ubiquinol-cytochrome c reductase binding protein,thermotolerance reduced,[],False,False,False,False,,,
UQCRB,gene_phenotype,WBPhenotype:0000295,-0.01472861971706152,-0.0347684314162952,ACCEPT,ubiquinol-cytochrome c reductase binding protein,thermotolerance increased,[],False,False,False,False,,,
UQCRB,gene_phenotype,WBPhenotype:0002138,-0.01588302291929722,-0.0347684314162952,ACCEPT,ubiquinol-cytochrome c reductase binding protein,acquired thermotolerance variant,[],False,False,False,False,,,
UQCRB,gene_phenotype,oxidative stress,-0.03502366319298744,-0.0347684314162952,REJECT,ubiquinol-cytochrome c reductase binding protein,oxidative stress,[],False,False,False,False,,,
UQCRB,gene_phenotype,MP:0003674,-0.012222192250192165,-0.0347684314162952,ACCEPT,ubiquinol-cytochrome c reductase binding protein,oxidative stress,[],False,False,False,False,,,
UQCRB,gene_phenotype,abnormal oxidative stress response,-0.013574735261499882,-0.0347684314162952,ACCEPT,ubiquinol-cytochrome c reductase binding protein,abnormal oxidative stress response,[],False,False,False,False,,,
