head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
387316,chemicalentity_biologicalprocess,GO:0006954,-0.0072509911842644215,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",inflammatory response,[],False,False,False,False,,,
387316,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-0.07085392624139786,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0709, 'chemicalentity_noeffect_biologicalprocess': -1.6174, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2356, 'chemicalentity_promotes_biologicalprocess': -0.2625, 'chemicalentity_inhibits_biologicalprocess': -0.1082, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1516}"
387316,chemicalentity_pathway,R-HSA-2559582,-0.005984733812510967,-0.3200630854546729,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
387316,chemicalentity_protein,P54379,-0.6348122358322144,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
387316,chemicalentity_biologicalprocess,GO:0007249,-0.015737351030111313,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",canonical NF-kappaB signal transduction,[],False,False,False,False,,,
387316,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007249,-0.16692864894866943,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",canonical NF-kappaB signal transduction,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1669, 'chemicalentity_noeffect_biologicalprocess': -1.7728, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5886, 'chemicalentity_promotes_biologicalprocess': -0.4272, 'chemicalentity_inhibits_biologicalprocess': -0.3005, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3397}"
387316,chemicalentity_pathway,R-HSA-6788467,-0.010213429108262062,-0.3200630854546729,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
387316,chemicalentity_gene,IL-6,-0.3281860649585724,-0.2458965898096785,REJECT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",interleukin 6,[],False,False,False,False,,,
387316,chemicalentity_protein,B2R4L8,-0.018910681828856468,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",IL-8(9-77),[],False,False,False,False,,,
387316,chemicalentity_protein,Q9UCR8,-0.018482597544789314,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]ethanesulfonic acid",IL-8(9-77),[],False,False,False,False,,,
