head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
MTHFR,gene_gene,YGL125W,-0.006787626072764397,-0.071739344080056,ACCEPT,methylenetetrahydrofolate reductase,methylenetetrahydrofolate reductase (NAD(P)H) MET13,[],False,False,False,False,,,
MTHFR,gene_pathway,KEGG:map00270,-0.044507477432489395,-0.0346968297443117,REJECT,methylenetetrahydrofolate reductase,Cysteine and methionine metabolism,[],False,False,False,False,,,
MTHFR,gene_pathway,hsa00270,-0.009482055902481079,-0.0346968297443117,ACCEPT,methylenetetrahydrofolate reductase,Cysteine and methionine metabolism,[],False,False,False,False,,,
MTHFR,gene_biologicalprocess,GO:0044527,-0.04747874289751053,-0.0356325677219588,REJECT,methylenetetrahydrofolate reductase,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
MTHFR,gene_positivelyassociatedwith_biologicalprocess,GO:0044527,-0.3211163878440857,-0.0730086550790463,REJECT,methylenetetrahydrofolate reductase,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3229, 'gene_promotes_biologicalprocess': -0.4053, 'gene_negativelyassociatedwith_biologicalprocess': -0.4368, 'gene_positivelyassociatedwith_biologicalprocess': -0.3211, 'gene_notassociatedwith_biologicalprocess': -0.3247}"
MTHFR,gene_phenotype,cellular response to heat increased duration abnormal,-0.017801906913518906,-0.0347684314162952,ACCEPT,methylenetetrahydrofolate reductase,    cellular response to heat increased duration abnormal  ,[],False,False,False,False,,,
MTHFR,gene_phenotype,ZP:0008472,-0.03397844359278679,-0.0347684314162952,ACCEPT,methylenetetrahydrofolate reductase,"cellular response to heat increased duration, abnormal",[],False,False,False,False,,,
MTHFR,gene_phenotype,ZP:0017231,-0.010067539289593697,-0.0347684314162952,ACCEPT,methylenetetrahydrofolate reductase,"optic tectum process quality cellular response to heat, abnormal",[],False,False,False,False,,,
YGL125W,gene_pathway,KEGG:map00270,-0.08372870832681656,-0.0346968297443117,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,Cysteine and methionine metabolism,[],False,False,False,False,,,
YGL125W,gene_pathway,hsa00270,-0.02311069332063198,-0.0346968297443117,ACCEPT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,Cysteine and methionine metabolism,[],False,False,False,False,,,
YGL125W,gene_biologicalprocess,GO:0044527,-0.08951001614332199,-0.0356325677219588,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
YGL125W,gene_notassociatedwith_biologicalprocess,GO:0044527,-0.42213553190231323,-0.1941926147433079,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.45, 'gene_promotes_biologicalprocess': -0.5053, 'gene_negativelyassociatedwith_biologicalprocess': -0.4959, 'gene_positivelyassociatedwith_biologicalprocess': -0.4354, 'gene_notassociatedwith_biologicalprocess': -0.4221}"
YGL125W,gene_phenotype,cellular response to heat increased duration abnormal,-0.043842848390340805,-0.0347684314162952,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,    cellular response to heat increased duration abnormal  ,[],False,False,False,False,,,
YGL125W,gene_phenotype,ZP:0008472,-0.06910187751054764,-0.0347684314162952,REJECT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,"cellular response to heat increased duration, abnormal",[],False,False,False,False,,,
YGL125W,gene_phenotype,ZP:0017231,-0.025503400713205338,-0.0347684314162952,ACCEPT,methylenetetrahydrofolate reductase (NAD(P)H) MET13,"optic tectum process quality cellular response to heat, abnormal",[],False,False,False,False,,,
KEGG:map00270,pathway_pathway,hsa00270,-2.3605451583862305,-0.0291625673052831,REJECT,Cysteine and methionine metabolism,Cysteine and methionine metabolism,[],False,False,False,False,,,
cellular response to heat increased duration abnormal,phenotype_biologicalprocess,GO:0044527,-1.7565202713012695,-0.607891854730636,REJECT,    cellular response to heat increased duration abnormal  ,obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
cellular response to heat increased duration abnormal,phenotype_phenotype,ZP:0008472,-1.0408220291137695,-0.150242852206178,REJECT,    cellular response to heat increased duration abnormal  ,"cellular response to heat increased duration, abnormal",[],False,False,False,False,,,
cellular response to heat increased duration abnormal,phenotype_phenotype,ZP:0017231,-1.5474567413330078,-0.150242852206178,REJECT,    cellular response to heat increased duration abnormal  ,"optic tectum process quality cellular response to heat, abnormal",[],False,False,False,False,,,
ZP:0008472,phenotype_biologicalprocess,GO:0044527,-1.929137945175171,-0.607891854730636,REJECT,"cellular response to heat increased duration, abnormal",obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
ZP:0008472,phenotype_phenotype,ZP:0017231,-2.0855519771575928,-0.150242852206178,REJECT,"cellular response to heat increased duration, abnormal","optic tectum process quality cellular response to heat, abnormal",[],False,False,False,False,,,
ZP:0017231,phenotype_biologicalprocess,GO:0044527,-1.6585254669189453,-0.607891854730636,REJECT,"optic tectum process quality cellular response to heat, abnormal",obsolete formation of peptidyl-cystine persulfide by sulphur transfer from H2S,[],False,False,False,False,,,
