head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
4,chemicalentity_chemicalentity,439938,-0.3847413957118988,-0.2425281074611494,REJECT,1-aminopropan-2-ol,(2R)-1-aminopropan-2-ol,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity
4,chemicalentity_chemicalentity,527,-0.4092499315738678,-0.2425281074611494,REJECT,1-aminopropan-2-ol,propanal,[],False,False,False,False,
4,chemicalentity_chemicalentity,10197622,-0.22523203492164612,-0.2425281074611494,ACCEPT,1-aminopropan-2-ol,2-(dimethylamino)acetaldehyde,[],False,False,False,False,
4,chemicalentity_chemicalentity,5086084,-0.3437580466270447,-0.2425281074611494,REJECT,1-aminopropan-2-ol,2-(1-adamantyl)acetaldehyde,[],False,False,False,False,
4,chemicalentity_chemicalentity,81958,-0.2708817422389984,-0.2425281074611494,REJECT,1-aminopropan-2-ol,2-(2-oxoethoxy)acetaldehyde,[],False,False,False,False,
4,chemicalentity_chemicalentity,20440863,-0.21663720905780792,-0.2425281074611494,ACCEPT,1-aminopropan-2-ol,2-(4-aminophenyl)acetaldehyde,[],False,False,False,False,
4,chemicalentity_chemicalentity,11528408,-0.37401625514030457,-0.2425281074611494,REJECT,1-aminopropan-2-ol,2-(3-nitrophenyl)acetaldehyde,[],False,False,False,False,
4,chemicalentity_protein,Q5STF9,-0.18181626498699188,-0.3552259656009227,ACCEPT,1-aminopropan-2-ol,Ribonuclease P protein subunit p21,[],False,False,False,False,
4,chemicalentity_chemicalentity,517957,-0.3952786922454834,-0.2425281074611494,REJECT,1-aminopropan-2-ol,carbonyl dicyanide,[],False,False,False,False,
4,chemicalentity_chemicalentity,10039,-0.7115753889083862,-0.2425281074611494,REJECT,1-aminopropan-2-ol,carbonyl sulfide,[],False,False,False,False,
439938,chemicalentity_chemicalentity,527,-0.7430132627487183,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,propanal,[],False,False,False,False,
439938,chemicalentity_chemicalentity,10197622,-0.34849637746810913,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,2-(dimethylamino)acetaldehyde,[],False,False,False,False,
439938,chemicalentity_chemicalentity,5086084,-0.5109357237815857,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,2-(1-adamantyl)acetaldehyde,[],False,False,False,False,
439938,chemicalentity_chemicalentity,81958,-0.3475571870803833,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,2-(2-oxoethoxy)acetaldehyde,[],False,False,False,False,
439938,chemicalentity_chemicalentity,20440863,-0.30627748370170593,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,2-(4-aminophenyl)acetaldehyde,[],False,False,False,False,
439938,chemicalentity_chemicalentity,11528408,-0.5390064120292664,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,2-(3-nitrophenyl)acetaldehyde,[],False,False,False,False,
439938,chemicalentity_protein,Q5STF9,-0.43974652886390686,-0.3552259656009227,REJECT,(2R)-1-aminopropan-2-ol,Ribonuclease P protein subunit p21,[],False,False,False,False,
439938,chemicalentity_chemicalentity,517957,-0.5965211391448975,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,carbonyl dicyanide,[],False,False,False,False,
439938,chemicalentity_chemicalentity,10039,-1.0554189682006836,-0.2425281074611494,REJECT,(2R)-1-aminopropan-2-ol,carbonyl sulfide,[],False,False,False,False,
527,chemicalentity_chemicalentity,10197622,-0.15603865683078766,-0.2425281074611494,ACCEPT,propanal,2-(dimethylamino)acetaldehyde,[],False,False,False,False,
527,chemicalentity_chemicalentity,5086084,-0.2340468168258667,-0.2425281074611494,ACCEPT,propanal,2-(1-adamantyl)acetaldehyde,[],False,False,False,False,
527,chemicalentity_chemicalentity,81958,-0.22958388924598694,-0.2425281074611494,ACCEPT,propanal,2-(2-oxoethoxy)acetaldehyde,[],False,False,False,False,
527,chemicalentity_chemicalentity,20440863,-0.16654980182647705,-0.2425281074611494,ACCEPT,propanal,2-(4-aminophenyl)acetaldehyde,[],False,False,False,False,
527,chemicalentity_chemicalentity,11528408,-0.2592370808124542,-0.2425281074611494,REJECT,propanal,2-(3-nitrophenyl)acetaldehyde,[],False,False,False,False,
527,chemicalentity_protein,Q5STF9,-0.05326066166162491,-0.3552259656009227,ACCEPT,propanal,Ribonuclease P protein subunit p21,[],False,False,False,False,
527,chemicalentity_chemicalentity,517957,-0.25919783115386963,-0.2425281074611494,REJECT,propanal,carbonyl dicyanide,[],False,False,False,False,
527,chemicalentity_chemicalentity,10039,-0.44947871565818787,-0.2425281074611494,REJECT,propanal,carbonyl sulfide,[],False,False,False,False,
10197622,chemicalentity_chemicalentity,5086084,-1.0070120096206665,-0.2425281074611494,REJECT,2-(dimethylamino)acetaldehyde,2-(1-adamantyl)acetaldehyde,[],False,False,False,False,
10197622,chemicalentity_chemicalentity,81958,-0.3849223256111145,-0.2425281074611494,REJECT,2-(dimethylamino)acetaldehyde,2-(2-oxoethoxy)acetaldehyde,[],False,False,False,False,
10197622,chemicalentity_chemicalentity,20440863,-0.42239025235176086,-0.2425281074611494,REJECT,2-(dimethylamino)acetaldehyde,2-(4-aminophenyl)acetaldehyde,[],False,False,False,False,
10197622,chemicalentity_chemicalentity,11528408,-1.0477575063705444,-0.2425281074611494,REJECT,2-(dimethylamino)acetaldehyde,2-(3-nitrophenyl)acetaldehyde,[],False,False,False,False,
