head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
25244770,chemicalentity_chemicalentity,898,-1.0457115173339844,-0.2425281074611494,REJECT,alpha-D-glucosamine 6-phosphate(1-),"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",[],False,False,False,False,,,
25244770,chemicalentity_biologicalprocess,GO:0097370,-1.5423643589019775,-0.232143107153421,REJECT,alpha-D-glucosamine 6-phosphate(1-),protein O-GlcNAcylation via threonine,[],False,False,False,False,,,
25244770,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097370,-1.118975043296814,-0.596142909254255,REJECT,alpha-D-glucosamine 6-phosphate(1-),protein O-GlcNAcylation via threonine,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.119, 'chemicalentity_noeffect_biologicalprocess': -2.1028, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1989, 'chemicalentity_promotes_biologicalprocess': -1.8032, 'chemicalentity_inhibits_biologicalprocess': -1.7122, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4464}"
25244770,chemicalentity_protein,Q5STF9,-1.2864422798156738,-0.3552259656009227,REJECT,alpha-D-glucosamine 6-phosphate(1-),Ribonuclease P protein subunit p21,[],False,False,False,False,,,
25244770,chemicalentity_pathway,R-HSA-2559582,-0.8572764992713928,-0.3200630854546729,REJECT,alpha-D-glucosamine 6-phosphate(1-),Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
25244770,chemicalentity_protein,P54379,-1.2069895267486572,-0.3552259656009227,REJECT,alpha-D-glucosamine 6-phosphate(1-),Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
25244770,chemicalentity_protein,A0A8V8TPI4,-1.8713587522506714,-0.3552259656009227,REJECT,alpha-D-glucosamine 6-phosphate(1-),O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},[],False,False,False,False,,,
898,chemicalentity_biologicalprocess,GO:0097370,-0.677200436592102,-0.232143107153421,REJECT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",protein O-GlcNAcylation via threonine,[],False,False,False,False,,,
898,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097370,-0.6129938364028931,-0.596142909254255,REJECT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",protein O-GlcNAcylation via threonine,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.613, 'chemicalentity_noeffect_biologicalprocess': -1.4816, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9129, 'chemicalentity_promotes_biologicalprocess': -0.949, 'chemicalentity_inhibits_biologicalprocess': -0.7975, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8732}"
898,chemicalentity_protein,Q5STF9,-0.15845948457717896,-0.3552259656009227,ACCEPT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
898,chemicalentity_pathway,R-HSA-2559582,-0.5410681962966919,-0.3200630854546729,REJECT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
898,chemicalentity_protein,P54379,-0.7785130143165588,-0.3552259656009227,REJECT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
898,chemicalentity_protein,A0A8V8TPI4,-0.25651809573173523,-0.3552259656009227,ACCEPT,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},[],False,False,False,False,,,
GO:0097370,biologicalprocess_protein,Q5STF9,-0.6323356032371521,-0.4342587681103441,REJECT,protein O-GlcNAcylation via threonine,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0097370,biologicalprocess_protein,P54379,-0.7051058411598206,-0.4342587681103441,REJECT,protein O-GlcNAcylation via threonine,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
GO:0097370,biologicalprocess_protein,A0A8V8TPI4,-0.5942542552947998,-0.4342587681103441,REJECT,protein O-GlcNAcylation via threonine,O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},[],False,False,False,False,,,
Q5STF9,protein_pathway,R-HSA-2559582,-0.05157822370529175,-0.0332625891724323,REJECT,Ribonuclease P protein subunit p21,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
Q5STF9,protein_protein,P54379,-0.28367477655410767,-0.2036837140803804,REJECT,Ribonuclease P protein subunit p21,Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
Q5STF9,protein_protein,A0A8V8TPI4,-0.04875395819544792,-0.2036837140803804,ACCEPT,Ribonuclease P protein subunit p21,O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},[],False,False,False,False,,,
P54379,protein_pathway,R-HSA-2559582,-2.377398729324341,-0.0332625891724323,REJECT,Sigma-G-dependent sporulation-specific SASP protein,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
P54379,protein_protein,A0A8V8TPI4,-3.0503852367401123,-0.2036837140803804,REJECT,Sigma-G-dependent sporulation-specific SASP protein,O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},[],False,False,False,False,,,
A0A8V8TPI4,protein_pathway,R-HSA-2559582,-0.49826186895370483,-0.0332625891724323,REJECT,O-linked N-acetylglucosamine (GlcNAc) transferase {ECO:0000313|Ensembl:ENSP00000514585.1},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
