head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
Q5DRK6,protein_protein,O74475,-1.1488804817199707,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component FKS1","1,3-beta-glucan synthase component bgs4",[],False,False,False,False,
Q5DRK6,protein_protein,A2QLK4,-1.0112581253051758,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component FKS1","1,3-beta-glucan synthase component FKS1",[],False,False,False,False,
Q5DRK6,protein_protein,Q10287,-1.066683292388916,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component FKS1","1,3-beta-glucan synthase component bgs1",[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:1903137,-1.243788719177246,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",regulation of cell wall integrity MAPK cascade,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:0071433,-1.677608847618103,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",cell wall repair,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:0071555,-1.1300296783447266,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",cell wall organization,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:0042545,-0.8343556523323059,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",cell wall modification,[],False,False,False,False,
Q5DRK6,protein_phenotype,delayed hair regrowth,-1.7128263711929321,-0.0497034494975703,REJECT,"1,3-beta-glucan synthase component FKS1",delayed hair regrowth,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:0009408,-1.6947810649871826,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",response to heat,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:0034605,-1.7054191827774048,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",cellular response to heat,[],False,False,False,False,
Q5DRK6,protein_biologicalprocess,GO:1900034,-1.9914233684539795,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",regulation of cellular response to heat,[],False,False,False,False,
O74475,protein_protein,A2QLK4,-0.6695590019226074,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component bgs4","1,3-beta-glucan synthase component FKS1",[],False,False,False,False,
O74475,protein_protein,Q10287,-0.7357351779937744,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component bgs4","1,3-beta-glucan synthase component bgs1",[],False,False,False,False,
O74475,protein_biologicalprocess,GO:1903137,-0.5593723058700562,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",regulation of cell wall integrity MAPK cascade,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:0071433,-0.8467694520950317,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component bgs4",cell wall repair,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:0071555,-0.17680178582668304,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",cell wall organization,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:0042545,-0.20409946143627167,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",cell wall modification,[],False,False,False,False,
O74475,protein_phenotype,delayed hair regrowth,-1.0618325471878052,-0.0497034494975703,REJECT,"1,3-beta-glucan synthase component bgs4",delayed hair regrowth,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:0009408,-0.23902995884418488,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",response to heat,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:0034605,-0.273891419172287,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",cellular response to heat,[],False,False,False,False,
O74475,protein_biologicalprocess,GO:1900034,-0.484713613986969,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs4",regulation of cellular response to heat,[],False,False,False,False,
A2QLK4,protein_protein,Q10287,-0.8548688292503357,-0.2036837140803804,REJECT,"1,3-beta-glucan synthase component FKS1","1,3-beta-glucan synthase component bgs1",[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:1903137,-0.6328961849212646,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",regulation of cell wall integrity MAPK cascade,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:0071433,-1.0566823482513428,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",cell wall repair,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:0071555,-0.19360382854938507,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component FKS1",cell wall organization,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:0042545,-0.19964469969272614,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component FKS1",cell wall modification,[],False,False,False,False,
A2QLK4,protein_phenotype,delayed hair regrowth,-1.2439974546432495,-0.0497034494975703,REJECT,"1,3-beta-glucan synthase component FKS1",delayed hair regrowth,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:0009408,-0.3047427237033844,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component FKS1",response to heat,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:0034605,-0.35034286975860596,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component FKS1",cellular response to heat,[],False,False,False,False,
A2QLK4,protein_biologicalprocess,GO:1900034,-0.6458380222320557,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component FKS1",regulation of cellular response to heat,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:1903137,-0.6302587985992432,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component bgs1",regulation of cell wall integrity MAPK cascade,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:0071433,-0.8948206305503845,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component bgs1",cell wall repair,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:0071555,-0.2759414315223694,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs1",cell wall organization,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:0042545,-0.29193589091300964,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs1",cell wall modification,[],False,False,False,False,
Q10287,protein_phenotype,delayed hair regrowth,-0.8643685579299927,-0.0497034494975703,REJECT,"1,3-beta-glucan synthase component bgs1",delayed hair regrowth,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:0009408,-0.3625689744949341,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs1",response to heat,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:0034605,-0.40209197998046875,-0.5776643345681309,ACCEPT,"1,3-beta-glucan synthase component bgs1",cellular response to heat,[],False,False,False,False,
Q10287,protein_biologicalprocess,GO:1900034,-0.6014739871025085,-0.5776643345681309,REJECT,"1,3-beta-glucan synthase component bgs1",regulation of cellular response to heat,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:0071433,-0.42282307147979736,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,cell wall repair,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:0071555,-0.29953980445861816,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,cell wall organization,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:0042545,-0.24918702244758606,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,cell wall modification,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:0009408,-0.34931907057762146,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,response to heat,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:0034605,-0.37752366065979004,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,cellular response to heat,[],False,False,False,False,
GO:1903137,biologicalprocess_biologicalprocess,GO:1900034,-0.4093679189682007,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,regulation of cellular response to heat,[],False,False,False,False,
GO:0071433,biologicalprocess_biologicalprocess,GO:0071555,-1.1187589168548584,-0.0422867482620858,REJECT,cell wall repair,cell wall organization,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0071433,biologicalprocess_biologicalprocess,GO:0042545,-0.7625385522842407,-0.0422867482620858,REJECT,cell wall repair,cell wall modification,[],False,False,False,False,
GO:0071433,biologicalprocess_biologicalprocess,GO:0009408,-1.3914241790771484,-0.0422867482620858,REJECT,cell wall repair,response to heat,[],False,False,False,False,
GO:0071433,biologicalprocess_biologicalprocess,GO:0034605,-1.2909953594207764,-0.0422867482620858,REJECT,cell wall repair,cellular response to heat,[],False,False,False,False,
GO:0071433,biologicalprocess_biologicalprocess,GO:1900034,-1.1473474502563477,-0.0422867482620858,REJECT,cell wall repair,regulation of cellular response to heat,[],False,False,False,False,
GO:0071555,biologicalprocess_biologicalprocess,GO:0042545,-0.0005102086579427123,-0.0422867482620858,ACCEPT,cell wall organization,cell wall modification,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess
GO:0071555,biologicalprocess_biologicalprocess,GO:0009408,-0.00012172071728855371,-0.0422867482620858,ACCEPT,cell wall organization,response to heat,[],False,False,False,False,
GO:0071555,biologicalprocess_biologicalprocess,GO:0034605,-0.000309157301671803,-0.0422867482620858,ACCEPT,cell wall organization,cellular response to heat,[],False,False,False,False,
GO:0071555,biologicalprocess_biologicalprocess,GO:1900034,-0.001105069532059133,-0.0422867482620858,ACCEPT,cell wall organization,regulation of cellular response to heat,[],False,False,False,False,
GO:0042545,biologicalprocess_biologicalprocess,GO:0009408,-0.032436951994895935,-0.0422867482620858,ACCEPT,cell wall modification,response to heat,[],False,False,False,False,
GO:0042545,biologicalprocess_biologicalprocess,GO:0034605,-0.04507633298635483,-0.0422867482620858,REJECT,cell wall modification,cellular response to heat,[],False,False,False,False,
GO:0042545,biologicalprocess_biologicalprocess,GO:1900034,-0.0693882554769516,-0.0422867482620858,REJECT,cell wall modification,regulation of cellular response to heat,[],False,False,False,False,
delayed hair regrowth,phenotype_biologicalprocess,GO:1903137,-0.6411106586456299,-0.607891854730636,REJECT,delayed hair regrowth,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,
delayed hair regrowth,phenotype_biologicalprocess,GO:0071433,-0.8817622065544128,-0.607891854730636,REJECT,delayed hair regrowth,cell wall repair,[],False,False,False,False,
delayed hair regrowth,phenotype_biologicalprocess,GO:0071555,-0.12959618866443634,-0.607891854730636,ACCEPT,delayed hair regrowth,cell wall organization,[],False,False,False,False,
